"PC.No."	"AC.No."	"BOOTH.No."	"BOOTH.EXT"	"ARCHN.A.CHAND.RA"	"NIKHIL.KUMAR"	"SHAKIL.AHMAD.KHAN"	"SUSHIL.KUMAR.SINGH"	"ANIL.KUMAR.SINGH"	"AMERIK.A.MAHTO"	"RAM.KUMAR.MEHTA"	"VIJAY.PASWA.N"	"ASLAM.ANSARI"	"INDRA.DEO.RAM"	"UDAY.PASWA.N"	"PUNA.DAS"	"RANJEET.KUMAR"	"RAJEND.RA.YADAV"	"RAMSWA.RUP.PRASAD.YADAV"	"SANTOS.H.KUMAR"	"TOTAL"
"1"	37	223	1	""	57	70	69	149	2	3	1	4	0	0	3	5	1	1	1	3	369
"2"	37	223	2	""	120	38	17	55	1	0	2	1	1	0	1	3	5	3	3	7	257
"3"	37	223	3	""	18	71	88	198	6	3	6	3	3	4	4	3	7	6	4	16	440
"4"	37	223	4	""	58	52	91	121	7	4	2	1	1	0	0	5	1	0	1	3	347
"5"	37	223	5	""	64	65	14	202	2	1	0	3	0	2	3	3	9	4	2	6	380
"6"	37	223	6	""	60	63	42	191	2	3	1	1	0	3	6	6	5	0	4	16	403
"7"	37	223	7	""	30	66	36	115	1	0	1	0	2	0	1	1	0	0	0	2	255
"8"	37	223	8	""	3	15	123	119	3	4	26	0	0	0	2	4	3	1	3	3	309
"9"	37	223	9	""	10	50	81	110	0	1	7	1	0	1	1	3	1	1	3	4	274
"10"	37	223	10	""	14	135	116	142	5	3	18	1	1	0	3	3	2	7	1	7	458
"11"	37	223	11	""	8	165	67	39	0	0	4	1	5	1	4	3	7	5	7	3	319
"12"	37	223	12	""	10	21	92	179	6	0	2	0	0	0	3	2	4	0	1	2	322
"13"	37	223	13	""	24	17	88	216	3	7	10	2	2	0	0	3	5	0	0	1	378
"14"	37	223	14	""	4	3	95	82	3	3	19	3	0	0	1	0	1	1	0	0	215
"15"	37	223	15	""	18	24	7	485	3	3	0	0	0	0	0	2	3	0	0	2	547
"16"	37	223	16	""	163	13	221	103	1	1	1	1	1	0	1	4	4	8	1	11	534
"17"	37	223	17	""	8	51	81	130	4	1	3	0	4	0	2	5	4	2	3	5	303
"18"	37	223	18	""	88	96	58	66	0	5	1	2	1	0	5	8	2	6	4	3	345
"19"	37	223	19	""	59	2	215	61	3	0	0	1	0	0	2	0	3	5	1	6	358
"20"	37	223	20	""	63	59	16	221	1	4	0	0	1	1	1	2	2	0	3	9	383
"21"	37	223	21	""	12	83	35	120	4	2	2	3	2	2	3	3	7	5	4	6	293
"22"	37	223	22	""	1	637	0	212	1	0	0	0	0	0	0	0	0	1	0	0	852
"23"	37	223	23	""	8	181	7	403	2	0	0	1	0	0	0	0	0	0	0	1	603
"24"	37	223	24	""	35	73	181	84	1	0	3	2	0	1	0	5	0	3	1	3	392
"25"	37	223	25	""	13	22	203	50	7	4	1	0	0	1	3	2	2	2	0	1	311
"26"	37	223	26	""	6	10	146	199	4	5	6	1	0	0	2	1	1	0	0	0	381
"27"	37	223	27	""	85	69	81	121	1	1	4	2	1	0	0	2	0	1	0	2	370
"28"	37	223	28	""	13	56	70	128	5	2	2	1	0	3	0	5	2	4	1	1	293
"29"	37	223	29	""	4	20	221	75	3	0	0	2	0	0	0	1	1	1	0	1	329
"30"	37	223	30	""	108	80	69	123	6	2	3	9	2	1	9	13	2	3	7	8	445
"31"	37	223	30	"A"	25	58	88	120	3	1	3	5	3	2	4	6	6	6	6	4	340
"32"	37	223	31	""	31	240	24	175	1	0	3	5	2	1	0	7	3	0	6	3	501
"33"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"34"	37	223	32	""	34	28	114	214	3	1	4	0	2	1	3	15	6	4	3	6	438
"35"	37	223	33	""	13	29	101	109	3	4	15	2	1	4	0	8	6	3	1	4	303
"36"	37	223	34	""	58	169	30	63	2	2	4	1	2	2	0	2	0	2	4	3	344
"37"	37	223	35	""	92	144	83	75	1	4	21	2	1	1	1	4	2	2	2	8	443
"38"	37	223	36	""	168	201	79	71	2	2	0	2	1	1	0	3	2	0	1	7	540
"39"	37	223	37	""	6	8	95	117	4	2	3	5	0	3	4	11	13	10	3	8	292
"40"	37	223	38	""	27	22	55	100	4	1	81	7	3	2	0	9	6	1	4	18	340
"41"	37	223	39	""	12	6	102	44	1	2	1	1	0	1	0	6	0	1	2	1	180
"42"	37	223	40	""	5	21	72	56	0	0	0	0	0	0	0	0	1	1	0	0	156
