"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-    207244"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 152-Bihpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"8"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"9"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"10"	"1"	"1"	"114"	"61"	"17"	"2"	"269"	"4"	"2"	"2"	"0"	"4"	"3"	"2"	"3"	"2"	"3"	"14"	"1"	"1"	"1"	"1"	"4"	"510"	"0"	"510"	"0"
"11"	"2"	"2"	"121"	"16"	"24"	"3"	"173"	"4"	"1"	"2"	"2"	"3"	"2"	"2"	"4"	"1"	"2"	"5"	"4"	"0"	"3"	"0"	"2"	"374"	"0"	"374"	"0"
"12"	"3"	"3"	"108"	"21"	"101"	"7"	"227"	"7"	"2"	"3"	"1"	"1"	"2"	"3"	"7"	"6"	"6"	"14"	"3"	"1"	"3"	"2"	"1"	"526"	"0"	"526"	"0"
"13"	"4"	"4"	"15"	"80"	"40"	"5"	"476"	"8"	"3"	"2"	"4"	"3"	"7"	"5"	"2"	"0"	"0"	"4"	"4"	"0"	"1"	"1"	"4"	"664"	"0"	"664"	"0"
"14"	"5"	"5"	"34"	"23"	"14"	"13"	"371"	"10"	"3"	"2"	"3"	"2"	"7"	"5"	"1"	"2"	"2"	"5"	"1"	"0"	"1"	"0"	"2"	"501"	"0"	"501"	"0"
"15"	"6"	"6"	"22"	"29"	"15"	"1"	"193"	"5"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"271"	"0"	"271"	"0"
"16"	"7"	"7"	"75"	"86"	"20"	"1"	"113"	"3"	"0"	"1"	"1"	"0"	"4"	"1"	"1"	"2"	"3"	"10"	"1"	"0"	"0"	"1"	"2"	"325"	"0"	"325"	"0"
"17"	"8"	"8"	"133"	"20"	"27"	"6"	"133"	"2"	"2"	"1"	"5"	"3"	"4"	"2"	"2"	"1"	"2"	"6"	"2"	"0"	"1"	"0"	"0"	"352"	"0"	"352"	"0"
"18"	"9"	"9"	"19"	"0"	"23"	"3"	"223"	"9"	"1"	"0"	"0"	"2"	"14"	"15"	"4"	"3"	"2"	"6"	"3"	"4"	"3"	"4"	"22"	"360"	"0"	"360"	"0"
"19"	"10"	"10"	"22"	"26"	"29"	"2"	"149"	"2"	"0"	"0"	"0"	"0"	"1"	"4"	"2"	"1"	"1"	"5"	"3"	"0"	"0"	"0"	"1"	"248"	"0"	"248"	"0"
"20"	"11"	"11"	"26"	"81"	"18"	"5"	"163"	"4"	"0"	"2"	"2"	"2"	"5"	"2"	"2"	"2"	"1"	"13"	"3"	"25"	"1"	"0"	"1"	"358"	"0"	"358"	"0"
"21"	"12"	"12"	"97"	"328"	"20"	"9"	"101"	"3"	"2"	"5"	"1"	"2"	"10"	"1"	"4"	"4"	"13"	"36"	"39"	"8"	"7"	"2"	"14"	"706"	"0"	"706"	"0"
"22"	"13"	"13"	"14"	"196"	"10"	"12"	"94"	"3"	"0"	"2"	"0"	"2"	"3"	"1"	"3"	"5"	"11"	"12"	"11"	"5"	"3"	"3"	"4"	"394"	"0"	"394"	"0"
"23"	"14"	"14"	"15"	"118"	"8"	"4"	"136"	"1"	"0"	"0"	"1"	"2"	"1"	"1"	"1"	"1"	"7"	"13"	"6"	"1"	"1"	"0"	"4"	"321"	"0"	"321"	"0"
