"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favou.r.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejecte.d.votes"	"Total"	"No..of.Tendered.votes"
"1"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"2"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"3"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"4"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"5"	"1"	"1"	"128"	"86"	"9"	"201"	"22"	"13"	"63"	"2"	"4"	"3"	"3"	"12"	"546"	"0"	"546"	""
"6"	"2"	"2"	"72"	"49"	"4"	"219"	"15"	"7"	"5"	"3"	"4"	"2"	"2"	"20"	"402"	"0"	"402"	""
"7"	"3"	"3"	"146"	"51"	"10"	"360"	"31"	"8"	"4"	"5"	"5"	"4"	"4"	"14"	"642"	"0"	"642"	""
"8"	"4"	"4"	"79"	"119"	"1"	"45"	"29"	"5"	"100"	"0"	"2"	"0"	"2"	"4"	"386"	"0"	"386"	""
"9"	"5"	"5"	"54"	"177"	"3"	"27"	"3"	"0"	"75"	"0"	"0"	"0"	"1"	"0"	"340"	"0"	"340"	""
"10"	"6"	"6"	"67"	"30"	"5"	"113"	"7"	"8"	"304"	"2"	"3"	"4"	"1"	"1"	"545"	"0"	"545"	""
"11"	"7"	"7"	"111"	"22"	"3"	"102"	"10"	"6"	"390"	"7"	"8"	"3"	"2"	"19"	"683"	"0"	"683"	""
"12"	"8"	"8"	"98"	"18"	"8"	"185"	"56"	"16"	"194"	"11"	"11"	"6"	"4"	"13"	"620"	"0"	"620"	""
"13"	"9"	"9"	"37"	"24"	"5"	"215"	"24"	"17"	"297"	"8"	"4"	"2"	"6"	"23"	"662"	"0"	"662"	""
"14"	"10"	"10"	"32"	"14"	"0"	"97"	"12"	"0"	"5"	"0"	"1"	"0"	"2"	"6"	"169"	"0"	"169"	""
"15"	"11"	"11"	"48"	"10"	"2"	"198"	"17"	"6"	"33"	"1"	"4"	"2"	"3"	"10"	"334"	"0"	"334"	""
