"TOTAL.NO.OF.ELECTORS.IN.94.MUZAFFARPUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X271354"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"1"	"PS NO"	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"2"	"1"	""	"122"	"69"	"37"	""	"0"	"0"	"1"	"3"	"1"	"3"	"5"	"0"	"0"	"1"	"6"	"10"	"3"	"1"	"11"	"0"	"41"	"0"	"0"	"2"	"0"	"316"	""	""	""
"3"	"2"	""	"230"	"98"	"71"	""	"4"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"2"	"12"	"0"	"13"	"1"	"0"	"0"	"2"	"438"	""	""	""
"4"	"3"	""	"129"	"196"	"58"	""	"8"	"4"	"2"	"0"	"5"	"1"	"0"	"1"	"4"	"6"	"2"	"21"	"7"	"3"	"6"	"2"	"81"	"0"	"0"	"0"	"3"	"539"	""	""	""
"5"	"4"	""	"238"	"142"	"7"	""	"2"	"2"	"1"	"0"	"1"	"0"	"4"	"1"	"0"	"3"	"7"	"4"	"9"	"10"	"3"	"0"	"5"	"0"	"0"	"2"	"1"	"442"	""	""	""
"6"	"5"	""	"107"	"229"	"8"	""	"0"	"0"	"3"	"1"	"1"	"0"	"2"	"1"	"2"	"0"	"0"	"4"	"15"	"14"	"14"	"3"	"8"	"4"	"2"	"5"	"4"	"427"	""	""	""
"7"	"6"	""	"145"	"78"	"194"	""	"3"	"1"	"1"	"4"	"3"	"2"	"3"	"1"	"2"	"1"	"2"	"15"	"13"	"1"	"20"	"0"	"83"	"3"	"0"	"0"	"7"	"582"	""	""	""
"8"	"7"	""	"170"	"124"	"205"	""	"7"	"0"	"0"	"0"	"4"	"11"	"4"	"0"	"1"	"0"	"5"	"17"	"8"	"4"	"18"	"4"	"41"	"2"	"0"	"0"	"1"	"626"	""	""	""
"9"	"8"	""	"4"	"27"	"86"	""	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"3"	"3"	"16"	"1"	"1"	"0"	"4"	"151"	""	""	""
"10"	"9"	""	"252"	"53"	"132"	""	"1"	"1"	"1"	"1"	"6"	"5"	"0"	"0"	"1"	"2"	"2"	"3"	"2"	"3"	"23"	"0"	"37"	"1"	"0"	"1"	"2"	"529"	""	""	""
"11"	"10"	""	"212"	"31"	"89"	""	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"2"	"4"	"0"	"1"	"32"	"1"	"55"	"2"	"0"	"1"	"1"	"437"	""	""	""
"12"	"11"	""	"110"	"6"	"61"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"13"	"3"	"5"	"0"	"0"	"0"	"0"	"202"	""	""	""
"13"	"12"	""	"191"	"196"	"39"	""	"2"	"1"	"1"	"4"	"5"	"1"	"4"	"1"	"2"	"0"	"11"	"14"	"10"	"14"	"10"	"5"	"49"	"5"	"0"	"2"	"6"	"573"	""	""	""
"14"	"13"	""	"194"	"40"	"18"	""	"2"	"1"	"0"	"0"	"3"	"1"	"2"	"0"	"1"	"1"	"3"	"3"	"2"	"4"	"9"	"0"	"26"	"0"	"0"	"2"	"1"	"313"	""	""	""
"15"	"14"	""	"163"	"127"	"129"	""	"1"	"2"	"7"	"4"	"7"	"1"	"2"	"2"	"6"	"3"	"5"	"7"	"3"	"13"	"27"	"5"	"94"	"3"	"1"	"0"	"2"	"614"	""	""	""
"16"	"15"	""	"129"	"44"	"37"	""	"1"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"7"	"16"	"4"	"64"	"0"	"1"	"2"	"1"	"315"	""	""	""
"17"	"16"	""	"209"	"95"	"60"	""	"4"	"0"	"0"	"3"	"4"	"1"	"3"	"0"	"0"	"0"	"3"	"4"	"0"	"0"	"13"	"2"	"50"	"0"	"1"	"0"	"4"	"456"	""	""	""
"18"	"17"	""	"72"	"29"	"302"	""	"3"	"0"	"0"	"1"	"3"	"1"	"2"	"1"	"0"	"2"	"1"	"4"	"6"	"3"	"11"	"1"	"23"	"1"	"1"	"1"	"0"	"468"	""	""	""
"19"	"18"	""	"122"	"59"	"115"	""	"1"	"0"	"0"	"0"	"2"	"6"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"25"	"1"	"19"	"1"	"1"	"0"	"1"	"358"	""	""	""
"20"	"19"	""	"137"	"72"	"198"	""	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"3"	"4"	"7"	"1"	"9"	"25"	"0"	"144"	"1"	"6"	"5"	"3"	"620"	""	""	""
"21"	"20"	""	"194"	"17"	"108"	""	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"2"	"10"	"1"	"21"	"0"	"0"	"0"	"0"	"359"	""	""	""
"22"	"21"	""	"177"	"196"	"118"	""	"4"	"2"	"2"	"3"	"0"	"1"	"3"	"1"	"1"	"3"	"5"	"9"	"1"	"8"	"4"	"4"	"49"	"1"	"3"	"1"	"2"	"598"	""	""	""
"23"	"22"	""	"31"	"55"	"209"	""	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"13"	"3"	"0"	"0"	"2"	"1"	"37"	"0"	"0"	"1"	"0"	"361"	""	""	""
"24"	"TOTAL NO OF ELECTORS IN 94-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"271354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
