"Sl..No."	"No..of.Polli.n.g.Statio.n"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendered.votes"
"1"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"2"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"3"	"1"	"1"	"77"	"5"	"383"	"23"	"95"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"2"	"592"	"0"	"592"	""
"4"	"2"	"2"	"68"	"5"	"73"	"6"	"124"	"4"	"1"	"2"	"2"	"0"	"1"	"2"	"3"	"6"	"6"	"303"	"0"	"303"	""
"5"	"3"	"3"	"8"	"4"	"310"	"9"	"142"	"8"	"2"	"1"	"3"	"4"	"1"	"5"	"15"	"9"	"8"	"529"	"0"	"529"	""
"6"	"4"	"4"	"3"	"18"	"298"	"19"	"100"	"2"	"2"	"0"	"0"	"2"	"1"	"2"	"9"	"9"	"6"	"471"	"0"	"471"	""
"7"	"5"	"5"	"7"	"6"	"370"	"8"	"94"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"7"	"4"	"4"	"506"	"0"	"506"	""
"8"	"6"	"6"	"176"	"8"	"47"	"11"	"112"	"1"	"3"	"1"	"0"	"3"	"1"	"0"	"1"	"1"	"6"	"371"	"0"	"371"	""
"9"	"7"	"7"	"154"	"11"	"97"	"17"	"118"	"3"	"0"	"2"	"0"	"0"	"2"	"1"	"2"	"7"	"4"	"418"	"0"	"418"	""
"10"	"8"	"8"	"66"	"16"	"173"	"52"	"20"	"1"	"1"	"1"	"1"	"0"	"2"	"0"	"2"	"7"	"11"	"353"	"0"	"353"	""
"11"	"9"	"9"	"12"	"8"	"302"	"41"	"31"	"2"	"1"	"1"	"1"	"0"	"2"	"2"	"2"	"1"	"1"	"407"	"0"	"407"	""
"12"	"10"	"10"	"38"	"2"	"9"	"4"	"192"	"4"	"1"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"2"	"258"	"0"	"258"	""
"13"	"11"	"11"	"380"	"6"	"54"	"12"	"25"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"486"	"0"	"486"	""
"14"	"12"	"12"	"244"	"14"	"103"	"30"	"34"	"2"	"4"	"1"	"1"	"2"	"1"	"3"	"2"	"3"	"8"	"452"	"0"	"452"	""
"15"	"13"	"13"	"43"	"21"	"314"	"88"	"24"	"1"	"2"	"4"	"2"	"2"	"2"	"5"	"16"	"12"	"10"	"546"	"0"	"546"	""
"16"	"14"	"14"	"79"	"36"	"118"	"83"	"140"	"8"	"5"	"2"	"5"	"5"	"2"	"0"	"11"	"8"	"9"	"511"	"0"	"511"	""
"17"	"15"	"15"	"10"	"8"	"20"	"31"	"250"	"6"	"3"	"3"	"1"	"0"	"2"	"0"	"1"	"0"	"1"	"336"	"0"	"336"	""
"18"	"16"	"16"	"214"	"15"	"97"	"35"	"116"	"0"	"3"	"2"	"1"	"5"	"4"	"3"	"3"	"6"	"31"	"535"	"0"	"535"	""
"19"	"17"	"17"	"28"	"2"	"108"	"8"	"215"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"364"	"0"	"364"	""
"20"	"18"	"18"	"47"	"19"	"391"	"56"	"91"	"7"	"2"	"5"	"3"	"1"	"2"	"6"	"3"	"5"	"9"	"647"	"0"	"647"	""
"21"	"19"	"19"	"443"	"13"	"4"	"17"	"96"	"5"	"1"	"2"	"2"	"0"	"1"	"2"	"2"	"2"	"10"	"600"	"0"	"600"	""
"22"	"20"	"20"	"118"	"23"	"266"	"57"	"31"	"1"	"6"	"2"	"0"	"1"	"2"	"0"	"6"	"5"	"2"	"520"	"0"	"520"	""
"23"	"21"	"21"	"43"	"3"	"186"	"27"	"21"	"1"	"2"	"3"	"1"	"2"	"0"	"7"	"5"	"6"	"8"	"315"	"0"	"315"	""
"24"	"22"	"22"	"61"	"1"	"29"	"14"	"62"	"6"	"2"	"2"	"1"	"0"	"0"	"0"	"1"	"2"	"8"	"189"	"0"	"189"	""
"25"	"23"	"23"	"86"	"26"	"300"	"45"	"196"	"2"	"7"	"5"	"2"	"2"	"3"	"3"	"3"	"6"	"6"	"692"	"0"	"692"	""
"26"	"24"	"24"	"126"	"13"	"109"	"67"	"65"	"1"	"4"	"1"	"4"	"3"	"1"	"5"	"4"	"5"	"7"	"415"	"0"	"415"	""
"27"	"25"	"25"	"172"	"9"	"138"	"8"	"40"	"1"	"3"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"3"	"380"	"0"	"380"	""
"28"	"26"	"26"	"102"	"4"	"123"	"5"	"13"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"3"	"1"	"255"	"0"	"255"	""
"29"	"27"	"27"	"185"	"12"	"402"	"42"	"42"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"4"	"2"	"3"	"698"	"0"	"698"	""
"30"	"28"	"28"	"34"	"17"	"272"	"84"	"41"	"1"	"4"	"3"	"0"	"1"	"1"	"13"	"8"	"15"	"16"	"510"	"0"	"510"	""
"31"	"29"	"29"	"120"	"10"	"322"	"17"	"53"	"1"	"0"	"2"	"0"	"4"	"0"	"4"	"5"	"4"	"14"	"556"	"0"	"556"	""
"32"	"30"	"30"	"102"	"21"	"318"	"52"	"94"	"4"	"3"	"5"	"3"	"1"	"3"	"5"	"12"	"7"	"17"	"647"	"0"	"647"	""
"33"	"31"	"31"	"108"	"19"	"381"	"28"	"97"	"7"	"7"	"6"	"4"	"4"	"3"	"4"	"10"	"13"	"19"	"710"	"0"	"710"	""
"34"	"32"	"32"	"171"	"12"	"164"	"64"	"53"	"5"	"4"	"1"	"3"	"2"	"4"	"6"	"8"	"12"	"32"	"541"	"0"	"541"	""
"35"	"33"	"33"	"2"	"4"	"89"	"10"	"35"	"3"	"3"	"1"	"0"	"0"	"0"	"2"	"7"	"0"	"2"	"158"	"0"	"158"	""
"36"	"34"	"34"	"130"	"17"	"71"	"21"	"87"	"1"	"2"	"1"	"0"	"2"	"1"	"1"	"5"	"2"	"2"	"343"	"0"	"343"	""
"37"	"35"	"35"	"3"	"5"	"298"	"40"	"16"	"3"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"2"	"6"	"379"	"0"	"379"	""
"38"	"36"	"36"	"69"	"11"	"199"	"46"	"98"	"6"	"4"	"1"	"1"	"0"	"3"	"4"	"4"	"3"	"13"	"462"	"0"	"462"	""
"39"	"37"	"37"	"9"	"13"	"176"	"31"	"193"	"5"	"2"	"3"	"3"	"1"	"4"	"5"	"6"	"5"	"15"	"471"	"0"	"471"	""
"40"	"38"	"38"	"32"	"17"	"74"	"25"	"79"	"3"	"3"	"5"	"4"	"4"	"5"	"1"	"10"	"13"	"12"	"287"	"0"	"287"	""
"41"	"Sl.
No."	"No. of Polli n g
Statio n"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
