"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19- MAHARAJGANJ PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment- 225458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly/segment - 115-BANIYAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No.    01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"9"	""	"Umashanker Singh"	"Tarkeshwar Singh"	"Prabhu Nath Singh"	"Ravindra Nath Mishra"	"Ramesh Singh Kushwaha"	"Satyendra Kr. Sahani"	"Gautam Prasad"	"Dhurendra Ram"	"Nayan Prasad"	"Pradeep Manjhi"	"Banke Bihari Singh"	"Rajesh Kumar Singh"	"Breenda Pathak"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"11"	"1"	"27"	"146"	"150"	"3"	"3"	"2"	"0"	"2"	"5"	"1"	"1"	"1"	"10"	"351"	"0"	"351"	"0"
"12"	"2"	"43"	"153"	"138"	"6"	"4"	"4"	"2"	"5"	"6"	"7"	"22"	"15"	"45"	"450"	"0"	"450"	"0"
"13"	"3"	"26"	"142"	"143"	"10"	"5"	"0"	"1"	"3"	"4"	"2"	"3"	"3"	"6"	"348"	"0"	"348"	"0"
"14"	"4"	"57"	"97"	"213"	"4"	"2"	"3"	"1"	"1"	"2"	"5"	"12"	"2"	"14"	"413"	"0"	"413"	"0"
"15"	"5"	"23"	"342"	"210"	"8"	"4"	"6"	"3"	"7"	"5"	"11"	"40"	"23"	"63"	"745"	"0"	"745"	"0"
"16"	"6"	"36"	"187"	"157"	"8"	"4"	"2"	"3"	"4"	"4"	"4"	"3"	"4"	"9"	"425"	"0"	"425"	"0"
"17"	"7"	"1"	"9"	"415"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"425"	"0"	"425"	"0"
"18"	"8"	"6"	"161"	"504"	"4"	"1"	"2"	"1"	"0"	"2"	"3"	"10"	"5"	"12"	"711"	"0"	"711"	"0"
"19"	"9"	"14"	"182"	"176"	"12"	"4"	"5"	"3"	"5"	"5"	"9"	"21"	"17"	"41"	"494"	"0"	"494"	"0"
"20"	"10"	"22"	"426"	"172"	"18"	"9"	"5"	"7"	"5"	"14"	"8"	"11"	"13"	"33"	"743"	"0"	"743"	"0"
