"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"1"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"3"	"1"	"59"	"196"	"36"	"3"	"2"	"1"	"6"	"3"	"1"	"1"	"1"	"309"	"0"	"309"	"0"
"4"	"2"	"111"	"155"	"48"	"4"	"6"	"1"	"6"	"1"	"1"	"0"	"3"	"336"	"0"	"336"	"0"
"5"	"3"	"84"	"31"	"166"	"4"	"1"	"1"	"0"	"2"	"5"	"0"	"2"	"296"	"0"	"296"	"0"
"6"	"4"	"219"	"27"	"42"	"2"	"0"	"2"	"3"	"3"	"4"	"5"	"3"	"310"	"0"	"310"	"0"
"7"	"5"	"193"	"38"	"110"	"4"	"3"	"3"	"5"	"2"	"4"	"2"	"9"	"373"	"0"	"373"	"0"
"8"	"6"	"18"	"63"	"328"	"10"	"7"	"3"	"5"	"4"	"6"	"0"	"2"	"446"	"0"	"446"	"0"
"9"	"7"	"184"	"212"	"46"	"2"	"3"	"10"	"8"	"1"	"10"	"10"	"22"	"508"	"0"	"508"	"0"
"10"	"8"	"164"	"156"	"90"	"4"	"9"	"3"	"4"	"2"	"4"	"2"	"8"	"446"	"0"	"446"	"0"
"11"	"9"	"66"	"88"	"93"	"13"	"3"	"1"	"1"	"2"	"6"	"3"	"3"	"279"	"0"	"279"	"0"
"12"	"10"	"104"	"193"	"60"	"6"	"4"	"6"	"13"	"3"	"8"	"7"	"17"	"421"	"0"	"421"	"0"
"13"	"11"	"93"	"200"	"49"	"4"	"0"	"8"	"24"	"2"	"7"	"14"	"26"	"427"	"0"	"427"	"0"
"14"	"12"	"93"	"251"	"41"	"2"	"1"	"1"	"3"	"3"	"2"	"5"	"8"	"410"	"0"	"410"	"0"
"15"	"13"	"353"	"33"	"61"	"1"	"2"	"17"	"6"	"2"	"8"	"10"	"31"	"524"	"0"	"524"	"0"
"16"	"14"	"257"	"94"	"108"	"9"	"11"	"12"	"8"	"16"	"15"	"9"	"32"	"571"	"0"	"571"	"0"
"17"	"l hV dk
; ksx"	"1998"	"1737"	"1278"	"68"	"52"	"69"	"92"	"46"	"81"	"68"	"167"	"5656"	"0"	"5656"	"0"
