"er.nku.dsUnz.l.a....k"	"vfu....i.zl.kn.mQZ.l.k.kq...kno"	"i.zdk..k..k"	"j.kekJ..fl.ag"	"X..kEHkw.i.zl.kn.xqIr.k"	"Mk0.l.at...t.k..l.oky"	"QS..kt.qy.vkt.e"	"eukst...dqekj"	"l.S..n...kehe.v..r.j"	"uQhl...vgen"	"Jheku.feJk"	"l.S..n.bj.l.kn.v..r.j"	"oS....er.i...dk...ksx"	"vLohd.r.er.i...dk...ksx"	"X..ksx"	"fufonr.er.i..ksa.dh.l.a....k"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"2"	1	139	287	67	16	47	7	5	7	12	16	14	617	NA	617	NA
"3"	2	9	78	17	7	193	15	5	5	6	11	12	358	NA	358	NA
"4"	3	37	57	49	3	190	9	4	4	3	9	26	391	NA	391	NA
"5"	4	166	267	9	4	15	5	1	1	11	19	18	516	NA	516	NA
"6"	5	6	468	2	1	18	0	0	0	0	0	1	496	NA	496	NA
"7"	6	26	326	1	0	30	0	1	1	0	0	0	385	NA	385	NA
"8"	7	79	63	3	2	119	8	5	4	2	4	3	292	NA	292	NA
"9"	8	50	32	15	6	171	10	1	1	2	4	3	295	NA	295	NA
"10"	9	18	31	17	9	137	4	2	0	4	1	2	225	NA	225	NA
"11"	10	66	25	8	1	26	0	1	6	1	2	0	136	NA	136	NA
"12"	11	54	144	8	5	12	1	1	5	3	3	2	238	NA	238	NA
"13"	12	72	198	21	59	68	6	6	2	5	8	4	449	NA	449	NA
"14"	13	56	59	48	22	122	12	10	7	10	14	19	379	NA	379	NA
"15"	14	7	106	12	3	227	23	18	4	11	18	9	438	NA	438	NA
"16"	NA	785	2141	277	138	1375	100	60	47	70	109	113	5215	0	5215	0
"17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"19"	15	51	135	15	11	126	10	9	7	5	11	13	393	NA	393	NA
"20"	16	24	34	21	1	71	5	0	0	1	5	1	163	NA	163	NA
