"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 197-Jagdishpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"9"	"32"	"197"	"1"	"107"	"84"	""	"8"	"35"	"14"	"301"	"8"	"3"	"0"	"1"	"4"	"4"	"5"	"1"	"17"	"8"	"600"
"10"	"32"	"197"	"2"	"72"	"48"	""	"0"	"9"	"0"	"118"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"1"	"13"	"3"	"269"
"11"	"32"	"197"	"3"	"87"	"126"	""	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"223"
"12"	"32"	"197"	"4"	"106"	"122"	""	"5"	"3"	"4"	"99"	"4"	"7"	"2"	"1"	"1"	"2"	"3"	"3"	"10"	"10"	"382"
"13"	"32"	"197"	"5"	"207"	"64"	""	"13"	"1"	"1"	"81"	"0"	"3"	"1"	"1"	"1"	"0"	"0"	"1"	"9"	"3"	"386"
"14"	"32"	"197"	"6"	"249"	"160"	""	"1"	"3"	"0"	"4"	"0"	"3"	"0"	"1"	"0"	"0"	"2"	"1"	"4"	"0"	"428"
"15"	"32"	"197"	"7"	"106"	"57"	""	"3"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"4"	"0"	"0"	"1"	"6"	"3"	"185"
"16"	"32"	"197"	"8"	"120"	"88"	""	"95"	"7"	"2"	"9"	"0"	"3"	"2"	"2"	"2"	"1"	"1"	"9"	"5"	"1"	"347"
"17"	"32"	"197"	"9"	"65"	"449"	""	"11"	"3"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"535"
"18"	"32"	"197"	"10"	"37"	"184"	""	"1"	"14"	"0"	"47"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"12"	"4"	"304"
"19"	"32"	"197"	"11"	"107"	"155"	""	"11"	"15"	"2"	"16"	"2"	"4"	"0"	"8"	"4"	"4"	"2"	"16"	"14"	"4"	"364"
"20"	"32"	"197"	"12"	"140"	"124"	""	"61"	"9"	"3"	"38"	"5"	"6"	"3"	"9"	"2"	"9"	"7"	"8"	"30"	"19"	"473"
"21"	"32"	"197"	"13"	"121"	"24"	""	"14"	"14"	"0"	"7"	"4"	"2"	"1"	"0"	"0"	"2"	"2"	"4"	"9"	"4"	"208"
"22"	"32"	"197"	"14"	"87"	"76"	""	"1"	"3"	"2"	"7"	"2"	"6"	"0"	"1"	"1"	"1"	"3"	"3"	"4"	"15"	"212"
"23"	"32"	"197"	"15"	"125"	"140"	""	"7"	"10"	"2"	"60"	"2"	"4"	"0"	"3"	"5"	"0"	"0"	"4"	"5"	"13"	"380"
"24"	"32"	"197"	"16"	"93"	"354"	""	"7"	"3"	"2"	"28"	"0"	"3"	"1"	"1"	"0"	"2"	"0"	"3"	"8"	"6"	"511"
"25"	"32"	"197"	"17"	"0"	"303"	""	"20"	"0"	"0"	"6"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"332"
"26"	"32"	"197"	"18"	"69"	"87"	""	"13"	"45"	"4"	"173"	"10"	"4"	"0"	"6"	"9"	"2"	"2"	"3"	"13"	"10"	"450"
"27"	"32"	"197"	"19"	"33"	"26"	""	"36"	"20"	"1"	"267"	"4"	"8"	"1"	"3"	"8"	"8"	"2"	"6"	"21"	"7"	"451"
"28"	"32"	"197"	"20"	"147"	"83"	""	"39"	"6"	"3"	"155"	"6"	"4"	"0"	"5"	"4"	"1"	"0"	"0"	"11"	"6"	"470"
"29"	"32"	"197"	"21"	"132"	"158"	""	"6"	"14"	"2"	"60"	"3"	"3"	"2"	"3"	"1"	"1"	"3"	"3"	"20"	"8"	"419"
"30"	"32"	"197"	"22"	"215"	"223"	""	"5"	"17"	"4"	"102"	"5"	"2"	"0"	"3"	"1"	"0"	"0"	"0"	"9"	"2"	"588"
"31"	"32"	"197"	"23"	"135"	"51"	""	"97"	"4"	"6"	"181"	"10"	"7"	"1"	"13"	"13"	"5"	"5"	"4"	"20"	"31"	"583"
"32"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 197-Jagdishpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
