"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193-BARHARA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"PC No."	"AC No."	"BOOTH No."	"BOOTH EXT"	"Meena Singh"	""	"Rama Kishore Singh"	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar
Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad
Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"9"	"32"	"193"	"1"	""	"4"	""	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"26"
"10"	"32"	"193"	"2"	""	"3"	""	"273"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"282"
"11"	"32"	"193"	"3"	""	"1"	""	"55"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"60"
"12"	"32"	"193"	"4"	""	"0"	""	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"52"
"13"	"32"	"193"	"5"	""	"17"	""	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"38"
"14"	"32"	"193"	"6"	""	"3"	""	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"
"15"	"32"	"193"	"7"	""	"0"	""	"22"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"24"
"16"	"32"	"193"	"8"	""	"2"	""	"43"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"54"
"17"	"32"	"193"	"9"	""	"8"	""	"69"	"8"	"1"	"2"	"2"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"0"	"97"
"18"	"32"	"193"	"10"	""	"110"	""	"115"	"12"	"17"	"1"	"59"	"1"	"5"	"2"	"4"	"1"	"2"	"2"	"2"	"12"	"8"	"353"
"19"	"32"	"193"	"11"	""	"76"	""	"200"	"3"	"6"	"0"	"16"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"2"	"8"	"319"
"20"	"32"	"193"	"12"	""	"136"	""	"89"	"1"	"10"	"1"	"3"	"0"	"0"	"1"	"2"	"1"	"0"	"2"	"2"	"9"	"6"	"263"
"21"	"32"	"193"	"13"	""	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"22"	"32"	"193"	"14"	""	"169"	""	"70"	"7"	"4"	"1"	"26"	"7"	"1"	"2"	"0"	"0"	"1"	"2"	"1"	"1"	"2"	"294"
"23"	"32"	"193"	"15"	""	"174"	""	"39"	"8"	"3"	"0"	"3"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"235"
"24"	"32"	"193"	"16"	""	"113"	""	"71"	"2"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"5"	"198"
"25"	"32"	"193"	"17"	""	"99"	""	"59"	"1"	"3"	"2"	"7"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"179"
"26"	"32"	"193"	"18"	""	"107"	""	"23"	"5"	"10"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"151"
"27"	"32"	"193"	"19"	""	"142"	""	"21"	"9"	"42"	"0"	"2"	"6"	"2"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"3"	"233"
"28"	"32"	"193"	"20"	""	"134"	""	"9"	"4"	"9"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"166"
"29"	"32"	"193"	"21"	""	"208"	""	"70"	"22"	"16"	"0"	"25"	"3"	"3"	"1"	"2"	"1"	"1"	"2"	"3"	"9"	"16"	"382"
"30"	"32"	"193"	"22"	""	"187"	""	"56"	"17"	"3"	"0"	"36"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"3"	"2"	"307"
"31"	"32"	"193"	"23"	""	"216"	""	"21"	"14"	"9"	"1"	"20"	"2"	"2"	"0"	"1"	"0"	"4"	"0"	"1"	"0"	"2"	"293"
"32"	"32"	"193"	"24"	""	"213"	""	"26"	"9"	"8"	"2"	"10"	"3"	"1"	"4"	"3"	"1"	"4"	"3"	"4"	"8"	"17"	"316"
"33"	"32"	"193"	"25"	""	"8"	""	"91"	"12"	"8"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"
"34"	"32"	"193"	"26"	""	"121"	""	"190"	"6"	"25"	"5"	"9"	"2"	"9"	"0"	"2"	"0"	"0"	"2"	"5"	"11"	"7"	"394"
"35"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193-BARHARA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"PC No."	"AC No."	"BOOTH No."	"BOOTH EXT"	"Meena Singh"	""	"Rama Kishore Singh"	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar
Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad
Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"44"	"32"	"193"	"27"	""	"391"	""	"88"	"23"	"8"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"515"
"45"	"32"	"193"	"28"	""	"113"	""	"73"	"32"	"16"	"3"	"92"	"4"	"1"	"2"	"1"	"2"	"4"	"1"	"1"	"11"	"4"	"360"
"46"	"32"	"193"	"29"	""	"58"	""	"148"	"74"	"5"	"3"	"41"	"2"	"5"	"1"	"0"	"0"	"0"	"2"	"4"	"6"	"0"	"349"
"47"	"32"	"193"	"30"	""	"62"	""	"106"	"8"	"5"	"2"	"25"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"2"	"217"
"48"	"32"	"193"	"31"	""	"20"	""	"73"	"3"	"7"	"0"	"2"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"109"
"49"	"32"	"193"	"32"	""	"49"	""	"44"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"139"
"50"	"32"	"193"	"33"	""	"107"	""	"41"	"43"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"204"
"51"	"32"	"193"	"34"	""	"89"	""	"2"	"273"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"376"
"52"	"32"	"193"	"35"	""	"65"	""	"6"	"268"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"348"
"53"	"32"	"193"	"36"	""	"46"	""	"7"	"68"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"126"
"54"	"32"	"193"	"37"	""	"33"	""	"5"	"163"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"205"
"55"	"32"	"193"	"38"	""	"47"	""	"3"	"204"	"3"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"264"
"56"	"32"	"193"	"39"	""	"145"	""	"215"	"6"	"2"	"1"	"8"	"0"	"2"	"0"	"3"	"0"	"2"	"1"	"1"	"3"	"8"	"397"
"57"	"32"	"193"	"40"	""	"60"	""	"43"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"3"	"1"	"112"
"58"	"32"	"193"	"41"	""	"50"	""	"118"	"8"	"5"	"4"	"65"	"8"	"7"	"1"	"9"	"3"	"4"	"5"	"5"	"13"	"12"	"317"
"59"	"32"	"193"	"42"	""	"206"	""	"97"	"4"	"14"	"1"	"13"	"0"	"2"	"1"	"3"	"1"	"1"	"2"	"3"	"11"	"23"	"382"
"60"	"32"	"193"	"43"	""	"185"	""	"75"	"33"	"9"	"0"	"58"	"5"	"2"	"3"	"2"	"1"	"2"	"1"	"5"	"5"	"9"	"395"
"61"	"32"	"193"	"44"	""	"192"	""	"62"	"9"	"7"	"1"	"45"	"1"	"1"	"0"	"2"	"2"	"1"	"0"	"2"	"5"	"3"	"333"
"62"	"32"	"193"	"45"	""	"62"	""	"104"	"7"	"1"	"0"	"32"	"2"	"6"	"1"	"4"	"4"	"2"	"2"	"5"	"7"	"9"	"248"
"63"	"32"	"193"	"46"	""	"151"	""	"44"	"5"	"3"	"2"	"47"	"1"	"1"	"0"	"1"	"2"	"0"	"1"	"5"	"7"	"5"	"275"
"64"	"32"	"193"	"47"	""	"121"	""	"86"	"4"	"8"	"1"	"55"	"1"	"3"	"0"	"1"	"1"	"1"	"0"	"4"	"14"	"5"	"305"
"65"	"32"	"193"	"48"	""	"122"	""	"85"	"6"	"16"	"1"	"31"	"2"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"3"	"2"	"273"
"66"	"32"	"193"	"49"	""	"143"	""	"191"	"31"	"6"	"3"	"78"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"2"	"5"	"1"	"465"
"67"	"32"	"193"	"50"	""	"103"	""	"255"	"15"	"1"	"4"	"67"	"1"	"6"	"1"	"3"	"2"	"0"	"2"	"7"	"12"	"7"	"486"
"68"	"32"	"193"	"51"	""	"294"	""	"88"	"17"	"9"	"1"	"13"	"1"	"1"	"2"	"3"	"0"	"1"	"0"	"0"	"4"	"7"	"441"
"69"	"32"	"193"	"52"	""	"239"	""	"12"	"3"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"5"	"266"
"70"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193-BARHARA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"PC No."	"AC No."	"BOOTH No."	"BOOTH EXT"	"Meena Singh"	""	"Rama Kishore Singh"	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar
Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad
Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"79"	"32"	"193"	"53"	""	"138"	""	"35"	"4"	"14"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"3"	"1"	"201"
"80"	"32"	"193"	"54"	""	"58"	""	"229"	"2"	"3"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"302"
"81"	"32"	"193"	"55"	""	"58"	""	"264"	"6"	"5"	"3"	"18"	"2"	"3"	"0"	"2"	"3"	"0"	"2"	"1"	"9"	"2"	"378"
"82"	"32"	"193"	"56"	""	"49"	""	"89"	"3"	"3"	"0"	"2"	"1"	"3"	"1"	"2"	"1"	"0"	"1"	"0"	"9"	"5"	"169"
"83"	"32"	"193"	"57"	""	"118"	""	"2"	"0"	"17"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"
"84"	"32"	"193"	"58"	""	"57"	""	"74"	"24"	"11"	"1"	"54"	"1"	"4"	"6"	"7"	"1"	"2"	"1"	"2"	"4"	"14"	"263"
"85"	"32"	"193"	"59"	""	"87"	""	"44"	"4"	"6"	"5"	"74"	"4"	"6"	"1"	"10"	"6"	"4"	"4"	"4"	"10"	"8"	"277"
"86"	"32"	"193"	"60"	""	"108"	""	"63"	"36"	"8"	"0"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"2"	"7"	"5"	"236"
"87"	"32"	"193"	"61"	""	"164"	""	"20"	"1"	"27"	"0"	"78"	"4"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"5"	"6"	"309"
"88"	"32"	"193"	"62"	""	"58"	""	"146"	"6"	"4"	"1"	"20"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"240"
"89"	"32"	"193"	"63"	""	"193"	""	"197"	"4"	"4"	"2"	"8"	"1"	"5"	"4"	"3"	"2"	"2"	"3"	"2"	"27"	"25"	"482"
"90"	"32"	"193"	"64"	""	"150"	""	"141"	"19"	"30"	"5"	"69"	"5"	"2"	"3"	"2"	"5"	"3"	"3"	"3"	"11"	"8"	"459"
"91"	"32"	"193"	"65"	""	"160"	""	"74"	"3"	"28"	"2"	"57"	"2"	"3"	"3"	"1"	"2"	"3"	"0"	"1"	"6"	"7"	"352"
"92"	"32"	"193"	"66"	""	"41"	""	"14"	"31"	"12"	"0"	"49"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"154"
"93"	"32"	"193"	"67"	""	"90"	""	"55"	"24"	"5"	"0"	"37"	"0"	"1"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"1"	"219"
"94"	"32"	"193"	"68"	""	"79"	""	"65"	"8"	"18"	"1"	"91"	"7"	"6"	"2"	"1"	"2"	"2"	"0"	"2"	"9"	"5"	"298"
"95"	"32"	"193"	"69"	""	"117"	""	"103"	"9"	"24"	"0"	"29"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	"296"
"96"	"32"	"193"	"70"	""	"215"	""	"104"	"18"	"12"	"0"	"4"	"0"	"1"	"2"	"4"	"1"	"1"	"1"	"1"	"0"	"9"	"373"
"97"	"32"	"193"	"71"	""	"316"	""	"56"	"21"	"5"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"408"
"98"	"32"	"193"	"72"	""	"256"	""	"35"	"12"	"12"	"6"	"122"	"1"	"4"	"4"	"2"	"4"	"7"	"6"	"1"	"11"	"15"	"498"
"99"	"32"	"193"	"73"	""	"88"	""	"41"	"10"	"4"	"3"	"28"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"180"
"100"	"32"	"193"	"74"	""	"108"	""	"124"	"0"	"5"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"245"
"101"	"32"	"193"	"75"	""	"333"	""	"35"	"2"	"14"	"1"	"4"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"2"	"398"
"102"	"32"	"193"	"76"	""	"225"	""	"70"	"11"	"10"	"0"	"6"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"6"	"334"
"103"	"32"	"193"	"77"	""	"82"	""	"153"	"44"	"7"	"2"	"17"	"1"	"0"	"1"	"5"	"4"	"2"	"5"	"4"	"19"	"14"	"360"
"104"	"32"	"193"	"78"	""	"155"	""	"51"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"214"
"105"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
