"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-     273079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 156-Bhagalpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"8"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"9"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"10"	"1"	"1"	"6"	"35"	"12"	"205"	"91"	"1"	"1"	"3"	"0"	"0"	"0"	"1"	"2"	"3"	"3"	"3"	"3"	"5"	"1"	"2"	"4"	"381"	"0"	"381"	"0"
"11"	"2"	"2"	"30"	"62"	"16"	"51"	"147"	"35"	"4"	"4"	"1"	"4"	"9"	"6"	"10"	"2"	"3"	"44"	"3"	"155"	"5"	"4"	"7"	"602"	"0"	"602"	"0"
"12"	"3"	"3"	"85"	"77"	"12"	"4"	"149"	"6"	"0"	"3"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"343"	"0"	"343"	"0"
"13"	"4"	"4"	"102"	"39"	"7"	"11"	"101"	"2"	"0"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"6"	"0"	"0"	"3"	"284"	"0"	"284"	"0"
"14"	"5"	"5"	"20"	"142"	"10"	"3"	"151"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"4"	"3"	"3"	"0"	"1"	"2"	"348"	"0"	"348"	"0"
"15"	"6"	"6"	"3"	"162"	"9"	"3"	"154"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"340"	"0"	"340"	"0"
"16"	"7"	"7"	"163"	"101"	"12"	"16"	"236"	"4"	"1"	"17"	"1"	"4"	"5"	"1"	"4"	"2"	"2"	"9"	"3"	"0"	"0"	"0"	"3"	"584"	"0"	"584"	"0"
"17"	"8"	"8"	"44"	"69"	"11"	"39"	"192"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"3"	"0"	"0"	"1"	"3"	"0"	"1"	"0"	"3"	"373"	"0"	"373"	"0"
"18"	"9"	"9"	"33"	"99"	"19"	"17"	"99"	"3"	"3"	"16"	"4"	"4"	"10"	"7"	"1"	"3"	"4"	"16"	"4"	"187"	"2"	"1"	"3"	"535"	"0"	"535"	"0"
"19"	"10"	"10"	"6"	"59"	"13"	"3"	"206"	"5"	"3"	"1"	"2"	"0"	"7"	"7"	"3"	"0"	"1"	"5"	"1"	"0"	"0"	"3"	"8"	"333"	"0"	"333"	"0"
"20"	"11"	"11"	"10"	"70"	"4"	"1"	"233"	"5"	"0"	"0"	"0"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"332"	"0"	"332"	"0"
"21"	"12"	"12"	"5"	"178"	"32"	"7"	"68"	"2"	"0"	"1"	"0"	"1"	"2"	"1"	"2"	"2"	"1"	"6"	"3"	"26"	"0"	"1"	"5"	"343"	"0"	"343"	"0"
"22"	"13"	"13"	"18"	"71"	"26"	"9"	"116"	"3"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"1"	"6"	"5"	"46"	"0"	"0"	"0"	"309"	"0"	"309"	"0"
"23"	"14"	"14"	"18"	"304"	"23"	"14"	"129"	"3"	"5"	"3"	"1"	"3"	"8"	"4"	"3"	"5"	"11"	"8"	"5"	"5"	"1"	"1"	"4"	"558"	"0"	"558"	"0"
