"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-297381"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 182-BANKIPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"10"	""	"Vijay Kumar"	"Shatrughan Sinha"	"Shekhar Suman"	"On Masumi"	"Dr. Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""
"11"	"1"	"128"	"269"	"36"	"2"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"4"	"3"	"451"	"0"	"451"	"0"
"12"	"2"	"54"	"281"	"26"	"0"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"369"	"0"	"369"	"0"
"13"	"3"	"62"	"271"	"37"	"2"	"3"	"1"	"0"	"1"	"0"	"0"	"3"	"2"	"1"	"3"	"3"	"3"	"392"	"0"	"392"	"0"
"14"	"4"	"130"	"120"	"60"	"2"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"322"	"0"	"322"	"0"
"15"	"5"	"53"	"156"	"44"	"0"	"1"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"263"	"0"	"263"	"0"
"16"	"6"	"78"	"211"	"60"	"0"	"1"	"5"	"3"	"2"	"1"	"3"	"8"	"2"	"8"	"3"	"1"	"2"	"388"	"0"	"388"	"0"
"17"	"7"	"36"	"278"	"38"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"358"	"0"	"358"	"0"
"18"	"8"	"30"	"313"	"54"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"404"	"0"	"404"	"0"
"19"	"9"	"16"	"291"	"57"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"369"	"0"	"369"	"0"
"20"	"10"	"17"	"248"	"22"	"0"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"297"	"0"	"297"	"0"
"21"	"11"	"15"	"149"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"176"	"0"	"176"	"0"
"22"	"12"	"12"	"315"	"46"	"0"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"380"	"0"	"380"	"0"
"23"	"13"	"22"	"307"	"40"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"376"	"0"	"376"	"0"
"24"	"14"	"29"	"345"	"47"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"426"	"0"	"426"	"0"
"25"	"Total :-"	"682"	"3554"	"577"	"10"	"15"	"27"	"15"	"5"	"4"	"5"	"16"	"8"	"12"	"6"	"12"	"23"	"4971"	"0"	"4971"	"0"
"26"	"Till Last Total :-"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"27"	"Grand Total
:-"	"682"	"3554"	"577"	"10"	"15"	"27"	"15"	"5"	"4"	"5"	"16"	"8"	"12"	"6"	"12"	"23"	"4971"	"0"	"4971"	"0"
"28"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
