"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendered.votes"
"1"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"2"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"3"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"4"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"5"	"1"	"1"	"8"	"18"	"4"	"130"	"7"	"0"	"41"	"1"	"3"	"3"	"0"	"4"	"219"	"0"	"219"	""
"6"	"2"	"2"	"6"	"67"	"3"	"262"	"7"	"4"	"0"	"2"	"2"	"0"	"2"	"1"	"356"	"0"	"356"	""
"7"	"3"	"3"	"110"	"99"	"21"	"160"	"23"	"15"	"14"	"7"	"7"	"2"	"8"	"30"	"496"	"0"	"496"	""
"8"	"4"	"4"	"28"	"10"	"25"	"333"	"11"	"5"	"0"	"1"	"3"	"0"	"1"	"3"	"420"	"0"	"420"	""
"9"	"5"	"5"	"250"	"10"	"11"	"68"	"8"	"3"	"5"	"1"	"6"	"2"	"1"	"5"	"370"	"0"	"370"	""
"10"	"6"	"6"	"126"	"77"	"7"	"186"	"14"	"8"	"5"	"3"	"3"	"4"	"7"	"22"	"462"	"0"	"462"	""
"11"	"7"	"7"	"50"	"16"	"5"	"145"	"12"	"6"	"3"	"1"	"3"	"2"	"1"	"5"	"249"	"0"	"249"	""
"12"	"8"	"8"	"49"	"68"	"10"	"99"	"9"	"7"	"47"	"2"	"1"	"4"	"1"	"6"	"303"	"0"	"303"	""
"13"	"9"	"9"	"60"	"21"	"7"	"168"	"7"	"7"	"50"	"2"	"5"	"1"	"0"	"9"	"337"	"0"	"337"	""
"14"	"10"	"10"	"81"	"6"	"5"	"205"	"17"	"4"	"0"	"4"	"2"	"1"	"2"	"3"	"330"	"0"	"330"	""
"15"	"11"	"11"	"74"	"101"	"19"	"272"	"22"	"9"	"6"	"4"	"6"	"8"	"2"	"16"	"539"	"0"	"539"	""
