"Candidate.s.Name...........BOTH.NO.."	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"3"	"1"	"3"	"4"	"2"	"3"	"74"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"3"	"0"	"0"	"5"	"0"	"1"	"4"	"104"	""	"104"	""
"4"	"2"	"9"	"7"	"4"	"7"	"150"	"2"	"1"	"0"	"1"	"1"	"15"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"200"	""	"200"	""
"5"	"3"	"15"	"5"	"0"	"93"	"62"	"2"	"0"	"1"	"0"	"1"	"13"	"1"	"6"	"1"	"1"	"3"	"3"	"1"	"2"	"210"	""	"210"	""
"6"	"4"	"20"	"41"	"2"	"73"	"74"	"2"	"1"	"0"	"1"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	""	"225"	""
"7"	"5"	"94"	"52"	"3"	"78"	"32"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"1"	"0"	"3"	"1"	"1"	"2"	"0"	"274"	""	"274"	""
"8"	"6"	"66"	"41"	"3"	"120"	"41"	"3"	"1"	"3"	"1"	"1"	"38"	"4"	"5"	"3"	"1"	"4"	"3"	"0"	"9"	"347"	""	"347"	""
"9"	"7"	"10"	"3"	"1"	"13"	"513"	"2"	"2"	"0"	"0"	"2"	"13"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"562"	""	"562"	""
"10"	"8"	"83"	"29"	"6"	"51"	"63"	"5"	"4"	"5"	"2"	"0"	"22"	"1"	"0"	"2"	"1"	"2"	"2"	"1"	"0"	"279"	""	"279"	""
"11"	"9"	"111"	"8"	"3"	"34"	"27"	"1"	"1"	"0"	"1"	"1"	"14"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"205"	""	"205"	""
"12"	"10"	"79"	"20"	"11"	"64"	"147"	"9"	"6"	"5"	"3"	"2"	"18"	"3"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"371"	""	"371"	""
"13"	"11"	"100"	"5"	"0"	"7"	"63"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"182"	""	"182"	""
"14"	"12"	"27"	"79"	"8"	"69"	"107"	"9"	"2"	"3"	"4"	"1"	"18"	"3"	"3"	"3"	"4"	"5"	"6"	"2"	"3"	"356"	""	"356"	""
"15"	"13"	"4"	"3"	"1"	"56"	"105"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"173"	""	"173"	""
"16"	"14"	"36"	"15"	"3"	"143"	"271"	"11"	"1"	"1"	"0"	"0"	"15"	"4"	"2"	"1"	"2"	"7"	"4"	"3"	"3"	"522"	""	"522"	""
"17"	"15"	"42"	"24"	"7"	"35"	"100"	"12"	"2"	"4"	"5"	"2"	"13"	"5"	"4"	"4"	"3"	"4"	"3"	"2"	"2"	"273"	""	"273"	""
"18"	"16"	"57"	"105"	"3"	"137"	"18"	"1"	"2"	"0"	"2"	"0"	"8"	"0"	"1"	"1"	"2"	"1"	"1"	"0"	"1"	"340"	""	"340"	""
"19"	"17"	"69"	"4"	"1"	"81"	"173"	"5"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"352"	""	"352"	""
"20"	"18"	"6"	"1"	"0"	"137"	"98"	"2"	"2"	"1"	"0"	"0"	"7"	"0"	"4"	"0"	"1"	"4"	"0"	"0"	"0"	"263"	""	"263"	""
"21"	"19"	"15"	"23"	"21"	"129"	"49"	"7"	"3"	"1"	"0"	"3"	"26"	"1"	"5"	"2"	"0"	"4"	"4"	"1"	"2"	"296"	""	"296"	""
"22"	"20"	"16"	"23"	"2"	"52"	"206"	"10"	"1"	"3"	"3"	"1"	"27"	"4"	"1"	"2"	"1"	"2"	"2"	"0"	"0"	"356"	""	"356"	""
"23"	"21"	"17"	"7"	"0"	"255"	"10"	"2"	"0"	"0"	"0"	"0"	"13"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	""	"305"	""
"24"	"22"	"9"	"2"	"5"	"171"	"44"	"0"	"4"	"1"	"1"	"0"	"13"	"2"	"2"	"1"	"1"	"2"	"0"	"0"	"2"	"260"	""	"260"	""
"25"	"23"	"15"	"4"	"3"	"90"	"115"	"8"	"1"	"1"	"1"	"1"	"14"	"3"	"4"	"1"	"0"	"3"	"3"	"3"	"3"	"273"	""	"273"	""
"26"	"24"	"79"	"26"	"24"	"77"	"75"	"10"	"4"	"0"	"2"	"2"	"11"	"2"	"5"	"0"	"1"	"1"	"1"	"0"	"1"	"321"	""	"321"	""
"27"	"Candidate s
Name
-------->
BOTH NO
|"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"28"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"29"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"30"	"25"	"22"	"2"	"1"	"363"	"15"	"0"	"0"	"0"	"0"	"1"	"17"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"424"	""	"424"	""
"31"	"26"	"34"	"0"	"0"	"356"	"15"	"2"	"0"	"0"	"0"	"0"	"10"	"1"	"4"	"0"	"0"	"0"	"0"	"2"	"0"	"424"	""	"424"	""
"32"	"27"	"27"	"22"	"1"	"184"	"8"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"251"	""	"251"	""
"33"	"28"	"35"	"18"	"1"	"158"	"24"	"0"	"0"	"0"	"2"	"1"	"10"	"2"	"2"	"1"	"2"	"3"	"0"	"0"	"0"	"259"	""	"259"	""
"34"	"29"	"77"	"41"	"3"	"47"	"73"	"5"	"1"	"1"	"5"	"1"	"14"	"1"	"3"	"1"	"0"	"2"	"4"	"3"	"2"	"284"	""	"284"	""
"35"	"30"	"18"	"7"	"4"	"7"	"305"	"1"	"0"	"3"	"1"	"1"	"7"	"1"	"4"	"2"	"3"	"3"	"3"	"0"	"1"	"371"	""	"371"	""
"36"	"31"	"8"	"2"	"1"	"25"	"60"	"4"	"0"	"0"	"0"	"0"	"10"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"113"	""	"113"	""
"37"	"32"	"9"	"23"	"4"	"77"	"204"	"3"	"2"	"2"	"3"	"0"	"16"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"347"	""	"347"	""
"38"	"33"	"33"	"28"	"5"	"151"	"53"	"5"	"0"	"0"	"0"	"0"	"12"	"3"	"5"	"0"	"1"	"2"	"5"	"1"	"1"	"305"	""	"305"	""
"39"	"34"	"25"	"62"	"6"	"29"	"115"	"2"	"0"	"0"	"0"	"0"	"8"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"252"	""	"252"	""
"40"	"35"	"8"	"21"	"3"	"69"	"125"	"3"	"0"	"3"	"3"	"1"	"7"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"246"	""	"246"	""
"41"	"36"	"36"	"12"	"2"	"20"	"86"	"3"	"0"	"0"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"168"	""	"168"	""
"42"	"37"	"14"	"64"	"0"	"16"	"141"	"3"	"0"	"0"	"0"	"1"	"8"	"0"	"1"	"1"	"0"	"2"	"2"	"1"	"3"	"257"	""	"257"	""
"43"	"38"	"89"	"91"	"3"	"3"	"65"	"1"	"0"	"5"	"2"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"265"	""	"265"	""
"44"	"39"	"122"	"7"	"1"	"9"	"54"	"3"	"1"	"1"	"0"	"1"	"3"	"0"	"4"	"1"	"1"	"3"	"0"	"1"	"0"	"212"	""	"212"	""
"45"	"40"	"125"	"5"	"1"	"31"	"94"	"3"	"1"	"0"	"1"	"2"	"8"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"276"	""	"276"	""
"46"	"41"	"10"	"45"	"34"	"76"	"29"	"4"	"1"	"2"	"1"	"0"	"8"	"1"	"0"	"0"	"1"	"2"	"4"	"1"	"2"	"221"	""	"221"	""
"47"	"42"	"8"	"2"	"1"	"229"	"47"	"2"	"0"	"0"	"2"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"298"	""	"298"	""
"48"	"43"	"6"	"11"	"2"	"151"	"66"	"1"	"0"	"0"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	""	"242"	""
"49"	"44"	"33"	"50"	"17"	"103"	"96"	"15"	"0"	"5"	"5"	"2"	"42"	"2"	"4"	"2"	"1"	"7"	"3"	"0"	"1"	"388"	""	"388"	""
"50"	"45"	"16"	"3"	"1"	"5"	"202"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	""	"229"	""
"51"	"46"	"23"	"82"	"6"	"113"	"70"	"7"	"0"	"0"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	""	"307"	""
"52"	"47"	"24"	"42"	"10"	"118"	"34"	"8"	"0"	"0"	"5"	"3"	"37"	"6"	"8"	"6"	"7"	"13"	"2"	"1"	"2"	"326"	""	"326"	""
"53"	"48"	"63"	"14"	"4"	"7"	"60"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"156"	""	"156"	""
"54"	"Candidate s
Name
-------->
BOTH NO
|"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"55"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"57"	"49"	"50"	"8"	"3"	"53"	"86"	"2"	"0"	"0"	"0"	"0"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	""	"209"	""
"58"	"50"	"42"	"80"	"2"	"187"	"75"	"6"	"0"	"0"	"2"	"0"	"15"	"1"	"4"	"2"	"1"	"12"	"4"	"2"	"4"	"439"	""	"439"	""
"59"	"51"	"142"	"77"	"6"	"119"	"19"	"4"	"0"	"0"	"0"	"0"	"12"	"1"	"3"	"0"	"0"	"1"	"1"	"1"	"0"	"386"	""	"386"	""
"60"	"52"	"38"	"21"	"3"	"167"	"126"	"9"	"2"	"5"	"3"	"2"	"24"	"6"	"6"	"2"	"0"	"17"	"2"	"1"	"2"	"436"	""	"436"	""
"61"	"53"	"30"	"22"	"2"	"32"	"176"	"3"	"0"	"1"	"0"	"1"	"6"	"2"	"1"	"1"	"1"	"0"	"2"	"1"	"2"	"283"	""	"283"	""
"62"	"54"	"20"	"12"	"2"	"154"	"123"	"3"	"0"	"1"	"1"	"0"	"18"	"2"	"1"	"0"	"0"	"1"	"2"	"1"	"3"	"344"	""	"344"	""
"63"	"55"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	"1"	""
"64"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"65"	"57"	"13"	"11"	"6"	"247"	"79"	"9"	"1"	"0"	"0"	"1"	"71"	"1"	"6"	"1"	"2"	"0"	"2"	"2"	"8"	"460"	""	"460"	""
"66"	"58"	"29"	"6"	"2"	"268"	"103"	"11"	"6"	"5"	"4"	"0"	"36"	"4"	"5"	"1"	"1"	"6"	"1"	"0"	"1"	"489"	""	"489"	""
"67"	"59"	"17"	"11"	"4"	"76"	"55"	"9"	"1"	"0"	"5"	"1"	"27"	"3"	"12"	"0"	"2"	"11"	"1"	"1"	"3"	"239"	""	"239"	""
