"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 9---ARARIA CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :9---ARARIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Assembly Constituency :48---Forbesganj                                                                                                                                       No of Voters :231508"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"7"	""	"ZAKIR HUSSAIN KHAN"	"PRADEEP KUMAR SINGH"	""	"RAJA RAMAN BHASKAR"	""	"DR. SHAKEEL AHMAD KHAN"	""	"AYAJUDIN"	""	"KAMALI DEVI"	""	"NASIM AHMAD GHAZI"	""	"ABDUL GAFOOR"	""	"ABDUL WAHAB"	""	"OM PRAKASH"	""	"KANHAIYA KUMAR DAS"	""	"DINESH RATHOUR"	"NAND LAL PASWAN"	""	""
"8"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	"14"	""	"15"
"9"	"1"	"426"	"120"	""	"4"	""	"30"	""	"4"	""	"2"	""	"1"	""	"2"	""	"1"	""	"0"	""	"0"	""	"2"	"1"	""	"593"
"10"	"2"	"356"	"37"	""	"0"	""	"11"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"406"
"11"	"3"	"175"	"239"	""	"4"	""	"44"	""	"3"	""	"0"	""	"4"	""	"0"	""	"0"	""	"1"	""	"0"	""	"1"	"1"	""	"472"
"12"	"4"	"173"	"197"	""	"4"	""	"54"	""	"2"	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	""	"1"	"2"	""	"435"
"13"	"5"	"333"	"318"	""	"12"	""	"29"	""	"0"	""	"2"	""	"1"	""	"2"	""	"6"	""	"2"	""	"3"	""	"2"	"1"	""	"711"
"14"	"6"	"158"	"180"	""	"2"	""	"10"	""	"2"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"1"	"0"	""	"354"
"15"	"7"	"348"	"70"	""	"0"	""	"5"	""	"4"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	"0"	""	"428"
"16"	"8"	"302"	"225"	""	"9"	""	"9"	""	"3"	""	"2"	""	"1"	""	"2"	""	"5"	""	"2"	""	"0"	""	"0"	"1"	""	"561"
"17"	"9"	"225"	"360"	""	"6"	""	"18"	""	"2"	""	"2"	""	"2"	""	"0"	""	"1"	""	"0"	""	"0"	""	"1"	"3"	""	"620"
