"TOTAL.NO.OF.ELECTORS.IN.90.MINAPUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	196417	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"3"	1	"142"	"302"	"9"	"4"	"14"	"3"	"5"	"6"	"2"	"11"	"12"	"6"	"516"	""	""	""
"4"	2	"135"	"168"	"8"	"10"	"10"	"8"	"6"	"2"	"8"	"6"	"3"	"14"	"378"	""	""	""
"5"	3	"111"	"326"	"15"	"7"	"18"	"11"	"8"	"1"	"8"	"18"	"22"	"29"	"574"	""	""	""
"6"	4	"86"	"160"	"7"	"3"	"6"	"1"	"5"	"2"	"4"	"4"	"3"	"22"	"303"	""	""	""
"7"	5	"212"	"258"	"6"	"8"	"6"	"1"	"0"	"4"	"3"	"4"	"4"	"3"	"509"	""	""	""
"8"	6	"299"	"227"	"20"	"9"	"8"	"2"	"3"	"6"	"10"	"10"	"23"	"43"	"660"	""	""	""
"9"	7	"216"	"216"	"8"	"22"	"8"	"3"	"5"	"4"	"5"	"9"	"10"	"21"	"527"	""	""	""
"10"	8	"287"	"335"	"7"	"24"	"4"	"1"	"1"	"1"	"0"	"2"	"2"	"0"	"664"	""	""	""
"11"	9	"260"	"162"	"6"	"28"	"11"	"9"	"15"	"5"	"10"	"8"	"14"	"24"	"552"	""	""	""
"12"	10	"246"	"33"	"8"	"17"	"0"	"2"	"2"	"0"	"2"	"4"	"2"	"2"	"318"	""	""	""
"13"	11	"280"	"43"	"6"	"47"	"6"	"3"	"3"	"2"	"3"	"8"	"4"	"29"	"434"	""	""	""
"14"	12	"97"	"67"	"0"	"9"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"177"	""	""	""
"15"	13	"193"	"84"	"5"	"13"	"1"	"3"	"2"	"1"	"3"	"1"	"4"	"5"	"315"	""	""	""
"16"	14	"179"	"127"	"2"	"8"	"1"	"0"	"1"	"1"	"1"	"1"	"7"	"21"	"349"	""	""	""
"17"	15	"131"	"9"	"0"	"40"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"186"	""	""	""
"18"	16	"209"	"170"	"7"	"7"	"3"	"7"	"2"	"6"	"2"	"8"	"6"	"26"	"453"	""	""	""
