"PC.No."	"AC.No."	"BOOTH.No."	"BOOTH.EXT"	"ARCHN.A.CHAND.RA"	"NIKHIL.KUMAR"	"SHAKIL.AHMAD.KHAN"	"SUSHIL.KUMAR.SINGH"	"ANIL.KUMAR.SINGH"	"AMERIK.A.MAHTO"	"RAM.KUMAR.MEHTA"	"VIJAY.PASWA.N"	"ASLAM.ANSARI"	"INDRA.DEO.RAM"	"UDAY.PASWAN"	"PUNA.DAS"	"RANJEE.T.KUMAR"	"RAJEND.RA.YADAV"	"RAMSWA.RUP.PRASAD.YADAV"	"SANTOS.H.KUMAR"	"TOTAL"
"1"	37	224	1	""	24	17	63	290	4	4	2	2	1	1	3	0	4	0	2	5	422
"2"	37	224	2	""	37	110	53	144	2	2	0	1	1	0	0	6	1	0	1	1	359
"3"	37	224	3	""	5	17	100	76	1	1	0	0	0	0	0	0	0	0	0	1	201
"4"	37	224	4	""	95	16	131	121	4	2	1	0	1	0	0	1	1	1	0	2	376
"5"	37	224	5	""	16	12	234	223	9	2	0	3	3	0	2	4	8	10	5	11	542
"6"	37	224	6	""	40	3	124	28	1	0	0	1	0	1	1	1	0	0	0	0	200
"7"	37	224	7	""	42	16	197	171	6	0	53	1	2	1	0	1	0	0	1	0	491
"8"	37	224	8	""	20	36	131	153	1	5	7	2	1	0	1	1	3	0	2	1	364
"9"	37	224	9	""	6	181	4	321	1	0	0	0	0	0	0	2	0	0	0	0	515
"10"	37	224	10	""	33	22	213	86	1	0	0	1	0	0	2	3	1	0	0	0	362
"11"	37	224	11	""	58	23	185	256	4	1	6	1	2	0	1	3	6	3	2	1	552
"12"	37	224	12	""	71	14	59	247	1	1	0	0	1	0	0	4	3	5	0	5	411
"13"	37	224	13	""	70	0	91	65	1	81	28	0	3	0	0	2	0	1	1	1	344
"14"	37	224	14	""	13	3	349	6	0	0	2	0	0	1	0	0	0	2	0	0	376
"15"	37	224	15	""	30	8	42	496	2	3	0	0	0	0	0	0	3	0	0	1	585
"16"	37	224	16	""	14	103	76	436	2	0	0	2	0	0	0	0	1	1	0	0	635
"17"	37	224	17	""	16	22	257	66	5	4	2	2	0	1	0	1	2	2	0	2	382
"18"	37	224	18	""	16	9	241	96	3	0	1	0	0	0	0	0	2	0	0	1	369
"19"	37	224	19	""	4	43	32	160	2	2	2	1	1	0	1	5	6	1	0	2	262
"20"	37	224	20	""	44	48	211	113	3	3	6	5	2	3	3	5	9	5	4	11	475
"21"	37	224	21	""	93	93	46	136	2	3	5	4	2	3	4	5	5	12	8	14	435
"22"	37	224	22	""	67	6	42	71	0	0	0	1	0	0	0	2	1	3	0	1	194
