"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"1"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"2"	"1"	"8"	"39"	"258"	"19"	"0"	"6"	"0"	"2"	"1"	"2"	"1"	"2"	"2"	"6"	"2"	"4"	"1"	"6"	"359"	"0"	"359"	"0"
"3"	"2"	"1"	"27"	"199"	"21"	"2"	"2"	"0"	"1"	"3"	"1"	"1"	"1"	"1"	"3"	"3"	"2"	"0"	"3"	"271"	"0"	"271"	"0"
"4"	"3"	"9"	"49"	"212"	"53"	"4"	"4"	"7"	"3"	"7"	"3"	"6"	"9"	"10"	"10"	"8"	"16"	"7"	"16"	"433"	"0"	"433"	"0"
"5"	"4"	"14"	"83"	"241"	"97"	"5"	"8"	"7"	"5"	"12"	"13"	"4"	"7"	"11"	"18"	"12"	"33"	"4"	"6"	"580"	"0"	"580"	"0"
"6"	"5"	"10"	"98"	"158"	"213"	"4"	"3"	"1"	"0"	"8"	"3"	"2"	"5"	"15"	"19"	"1"	"19"	"2"	"12"	"573"	"0"	"573"	"0"
"7"	"6"	"14"	"59"	"416"	"68"	"7"	"6"	"3"	"4"	"6"	"7"	"6"	"6"	"10"	"17"	"11"	"15"	"2"	"12"	"669"	"0"	"669"	"0"
"8"	"7"	"18"	"14"	"411"	"95"	"4"	"3"	"4"	"9"	"0"	"1"	"2"	"2"	"4"	"5"	"1"	"2"	"4"	"3"	"582"	"0"	"582"	"0"
"9"	"8"	"13"	"125"	"36"	"3"	"1"	"2"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"2"	"4"	"4"	"9"	"5"	"209"	"0"	"209"	"0"
"10"	"9"	"15"	"105"	"308"	"165"	"8"	"4"	"1"	"4"	"6"	"1"	"2"	"0"	"3"	"5"	"1"	"4"	"0"	"7"	"639"	"0"	"639"	"0"
"11"	"10"	"28"	"54"	"119"	"191"	"11"	"5"	"2"	"4"	"3"	"2"	"3"	"1"	"2"	"2"	"2"	"8"	"3"	"1"	"441"	"0"	"441"	"0"
"12"	"11"	"8"	"63"	"218"	"59"	"1"	"2"	"6"	"0"	"2"	"1"	"3"	"3"	"4"	"7"	"4"	"7"	"1"	"0"	"389"	"0"	"389"	"0"
