"X."	"X..1"	"No..of.valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"3"	"1"	"1"	"5"	"53"	"1"	"7"	"2"	"0"	"2"	"0"	"0"	"2"	"37"	"141"	"3"	"6"	"1"	"8"	"56"	"2"	"1"	"0"	"3"	"330"	"0"	"330"	"0"
"4"	"2"	"2"	"2"	"2"	"20"	"24"	"5"	"1"	"1"	"1"	"3"	"4"	"3"	"99"	"6"	"5"	"1"	"3"	"33"	"0"	"0"	"1"	"1"	"215"	"0"	"215"	"0"
"5"	"3"	"3"	"5"	"27"	"8"	"16"	"4"	"3"	"7"	"1"	"1"	"6"	"13"	"114"	"5"	"8"	"6"	"6"	"50"	"5"	"0"	"0"	"3"	"288"	"0"	"288"	"0"
"6"	"4"	"4"	"12"	"18"	"8"	"10"	"3"	"4"	"1"	"0"	"2"	"5"	"58"	"329"	"8"	"17"	"12"	"6"	"5"	"1"	"0"	"0"	"0"	"499"	"0"	"499"	"0"
"7"	"5"	"5"	"3"	"12"	"0"	"1"	"2"	"1"	"33"	"2"	"4"	"4"	"30"	"57"	"1"	"10"	"1"	"2"	"3"	"0"	"1"	"1"	"2"	"170"	"0"	"170"	"0"
"8"	"6"	"6"	"15"	"21"	"3"	"5"	"13"	"6"	"5"	"4"	"11"	"5"	"65"	"95"	"5"	"9"	"4"	"7"	"24"	"2"	"3"	"1"	"2"	"305"	"0"	"305"	"0"
"9"	"7"	"7"	"8"	"71"	"2"	"543"	"9"	"1"	"0"	"1"	"0"	"19"	"1"	"10"	"9"	"1"	"0"	"3"	"5"	"2"	"0"	"0"	"2"	"687"	"0"	"687"	"0"
"10"	"8"	"8"	"1"	"66"	"0"	"402"	"49"	"1"	"1"	"2"	"1"	"41"	"6"	"4"	"6"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"1"	"586"	"0"	"586"	"0"
"11"	"9"	"9"	"15"	"49"	"6"	"21"	"2"	"3"	"3"	"4"	"2"	"8"	"28"	"191"	"3"	"16"	"6"	"8"	"92"	"6"	"5"	"6"	"19"	"493"	"0"	"493"	"0"
"12"	"10"	"10"	"11"	"93"	"13"	"61"	"2"	"9"	"11"	"1"	"4"	"1"	"7"	"41"	"2"	"8"	"6"	"10"	"52"	"3"	"5"	"1"	"3"	"344"	"0"	"344"	"0"
"13"	"11"	"11"	"5"	"60"	"3"	"18"	"1"	"1"	"1"	"1"	"2"	"6"	"5"	"33"	"1"	"4"	"2"	"4"	"10"	"0"	"1"	"0"	"2"	"160"	"0"	"160"	"0"
"14"	"12"	"12"	"14"	"14"	"80"	"6"	"10"	"24"	"3"	"2"	"5"	"9"	"3"	"148"	"3"	"17"	"8"	"6"	"91"	"9"	"8"	"3"	"2"	"465"	"0"	"465"	"0"
"15"	"13"	"13"	"10"	"31"	"5"	"43"	"10"	"5"	"11"	"4"	"1"	"2"	"23"	"35"	"10"	"3"	"2"	"9"	"32"	"3"	"0"	"5"	"4"	"248"	"0"	"248"	"0"
"16"	"14"	"14"	"0"	"16"	"1"	"274"	"2"	"1"	"0"	"14"	"1"	"11"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"323"	"0"	"323"	"0"
"17"	"Total Votes Polled"	""	"106"	"533"	"150"	"1431"	"114"	"60"	"79"	"37"	"37"	"123"	"279"	"1297"	"62"	"105"	"49"	"75"	"454"	"33"	"24"	"20"	"45"	"5113"	"0"	"5113"	"0"
"18"	"Place - Nawada
Date -            25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"22"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"23"	"1"	"15"	"14"	"7"	"16"	"8"	"12"	"7"	"6"	"5"	"2"	"7"	"8"	"73"	"4"	"9"	"3"	"11"	"99"	"9"	"4"	"8"	"19"	"331"	"0"	"331"	"0"
"24"	"2"	"16"	"6"	"200"	"6"	"60"	"8"	"5"	"4"	"39"	"5"	"4"	"145"	"8"	"4"	"1"	"5"	"5"	"10"	"1"	"1"	"1"	"0"	"518"	"0"	"518"	"0"
"25"	"3"	"17"	"34"	"129"	"58"	"50"	"4"	"5"	"3"	"8"	"1"	"0"	"0"	"3"	"1"	"2"	"1"	"1"	"19"	"8"	"2"	"0"	"1"	"330"	"0"	"330"	"0"
"26"	"4"	"18"	"0"	"51"	"1"	"33"	"2"	"0"	"2"	"13"	"0"	"1"	"38"	"7"	"3"	"1"	"3"	"2"	"18"	"4"	"1"	"2"	"6"	"188"	"0"	"188"	"0"
"27"	"5"	"19"	"4"	"77"	"1"	"35"	"7"	"2"	"5"	"7"	"0"	"3"	"10"	"7"	"3"	"4"	"1"	"5"	"1"	"3"	"0"	"3"	"0"	"178"	"0"	"178"	"0"
"28"	"6"	"20"	"0"	"151"	"11"	"15"	"12"	"6"	"0"	"7"	"2"	"3"	"144"	"30"	"2"	"3"	"6"	"8"	"50"	"2"	"1"	"0"	"2"	"455"	"0"	"455"	"0"
"29"	"7"	"21"	"4"	"49"	"1"	"10"	"1"	"4"	"0"	"6"	"3"	"4"	"95"	"7"	"1"	"2"	"2"	"7"	"1"	"2"	"0"	"1"	"0"	"200"	"0"	"200"	"0"
"30"	"8"	"22"	"10"	"73"	"7"	"9"	"0"	"1"	"1"	"1"	"2"	"10"	"119"	"43"	"1"	"1"	"0"	"4"	"194"	"3"	"1"	"2"	"1"	"483"	"0"	"483"	"0"
"31"	"9"	"23"	"0"	"17"	"14"	"8"	"1"	"2"	"1"	"0"	"2"	"2"	"76"	"35"	"0"	"0"	"2"	"5"	"37"	"0"	"1"	"1"	"0"	"204"	"0"	"204"	"0"
"32"	"10"	"24"	"8"	"123"	"55"	"32"	"5"	"1"	"9"	"2"	"6"	"0"	"13"	"40"	"4"	"4"	"2"	"2"	"140"	"19"	"22"	"12"	"5"	"504"	"0"	"504"	"0"
"33"	"11"	"25"	"7"	"35"	"4"	"4"	"2"	"7"	"6"	"2"	"5"	"4"	"214"	"50"	"6"	"1"	"2"	"8"	"11"	"1"	"2"	"2"	"5"	"378"	"0"	"378"	"0"
"34"	"12"	"26"	"7"	"90"	"50"	"6"	"3"	"3"	"4"	"2"	"0"	"4"	"2"	"61"	"2"	"3"	"0"	"8"	"102"	"4"	"1"	"2"	"2"	"356"	"0"	"356"	"0"
"35"	"13"	"27"	"10"	"25"	"16"	"5"	"5"	"17"	"5"	"8"	"2"	"6"	"6"	"69"	"8"	"3"	"6"	"3"	"67"	"5"	"3"	"1"	"1"	"271"	"0"	"271"	"0"
"36"	"14"	"28"	"11"	"65"	"67"	"57"	"14"	"9"	"7"	"5"	"3"	"5"	"127"	"31"	"3"	"8"	"4"	"10"	"33"	"6"	"6"	"4"	"7"	"482"	"0"	"482"	"0"
