"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X231191.35.Bisfi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"4"	"Round No.1"	"1"	"132"	"6"	"23"	"65"	"8"	"8"	"1"	"2"	"1"	"4"	"3"	"3"	"9"	"110"	"375"	""	"375"	""
"5"	""	"2"	"97"	"8"	"11"	"38"	"7"	"5"	"2"	"1"	"3"	"1"	"2"	"2"	"4"	"91"	"272"	""	"272"	""
"6"	""	"3"	"122"	"6"	"24"	"69"	"6"	"3"	"4"	"2"	"2"	"2"	"9"	"6"	"9"	"138"	"402"	""	"402"	""
"7"	""	"4"	"151"	"7"	"139"	"18"	"6"	"4"	"2"	"5"	"4"	"3"	"5"	"8"	"8"	"58"	"418"	""	"418"	""
"8"	""	"5"	"97"	"6"	"146"	"8"	"9"	"1"	"2"	"0"	"3"	"1"	"2"	"2"	"2"	"19"	"298"	""	"298"	""
"9"	""	"6"	"16"	"2"	"8"	"20"	"3"	"4"	"3"	"4"	"121"	"6"	"5"	"4"	"3"	"187"	"386"	""	"386"	""
"10"	""	"7"	"102"	"2"	"106"	"9"	"3"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"6"	"155"	"388"	""	"388"	""
"11"	""	"8"	"98"	"5"	"192"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"29"	"338"	""	"338"	""
"12"	""	"9"	"140"	"6"	"42"	"13"	"5"	"2"	"1"	"4"	"5"	"3"	"1"	"9"	"13"	"223"	"467"	""	"467"	""
