"TOTAL.NO.OF.ELECTORS.IN.91.BOCHHAN.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X199351"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"1"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"2"	"1"	""	""	"117"	""	"267"	"86"	"34"	"4"	"8"	"5"	"3"	"4"	"9"	"3"	"7"	"4"	"6"	"13"	"22"	"1"	"5"	"1"	"17"	"0"	"5"	"4"	"2"	"627"	""	""	""
"3"	"2"	""	""	"221"	""	"100"	"97"	"3"	"3"	"4"	"2"	"2"	"3"	"2"	"0"	"0"	"2"	"1"	"1"	"1"	"10"	"15"	"4"	"50"	"5"	"3"	"5"	"2"	"536"	""	""	""
"4"	"3"	""	""	"198"	""	"219"	"47"	"0"	"2"	"2"	"2"	"3"	"2"	"6"	"0"	"0"	"0"	"3"	"2"	"0"	"7"	"9"	"1"	"24"	"2"	"0"	"1"	"3"	"533"	""	""	""
"5"	"4"	""	""	"236"	""	"30"	"11"	"8"	"0"	"4"	"1"	"4"	"9"	"0"	"2"	"0"	"1"	"16"	"5"	"6"	"11"	"5"	"4"	"9"	"3"	"5"	"4"	"4"	"378"	""	""	""
"6"	"5"	""	""	"315"	""	"4"	"149"	"2"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"3"	"0"	"2"	"2"	"2"	"1"	"7"	"0"	"0"	"0"	"0"	"493"	""	""	""
"7"	"6"	""	""	"152"	""	"31"	"55"	"6"	"1"	"1"	"0"	"3"	"2"	"0"	"1"	"1"	"1"	"5"	"2"	"7"	"2"	"2"	"3"	"7"	"0"	"1"	"0"	"1"	"284"	""	""	""
"8"	"7"	""	""	"231"	""	"20"	"46"	"9"	"8"	"1"	"5"	"9"	"7"	"2"	"6"	"4"	"8"	"19"	"26"	"22"	"16"	"3"	"5"	"99"	"7"	"1"	"3"	"4"	"561"	""	""	""
"9"	"8"	""	""	"442"	""	"36"	"22"	"7"	"20"	"1"	"3"	"2"	"7"	"0"	"4"	"1"	"1"	"8"	"4"	"16"	"19"	"5"	"4"	"26"	"1"	"3"	"2"	"3"	"637"	""	""	""
"10"	"9"	""	""	"293"	""	"135"	"28"	"3"	"7"	"5"	"5"	"4"	"6"	"4"	"2"	"4"	"4"	"17"	"8"	"11"	"9"	"3"	"2"	"52"	"1"	"0"	"2"	"5"	"610"	""	""	""
"11"	"10"	""	""	"490"	""	"40"	"38"	"5"	"6"	"2"	"3"	"5"	"13"	"1"	"5"	"6"	"5"	"10"	"9"	"25"	"16"	"3"	"8"	"17"	"1"	"2"	"10"	"8"	"728"	""	""	""
"12"	"11"	""	""	"489"	""	"110"	"44"	"4"	"6"	"3"	"1"	"1"	"4"	"2"	"2"	"1"	"2"	"4"	"3"	"4"	"21"	"7"	"6"	"20"	"2"	"5"	"5"	"5"	"751"	""	""	""
"13"	"12"	""	""	"332"	""	"51"	"144"	"45"	"7"	"2"	"1"	"3"	"8"	"1"	"4"	"5"	"2"	"14"	"10"	"43"	"25"	"3"	"3"	"4"	"1"	"0"	"10"	"6"	"724"	""	""	""
"14"	"13"	""	""	"291"	""	"61"	"38"	"6"	"0"	"1"	"0"	"5"	"6"	"1"	"2"	"3"	"3"	"8"	"3"	"11"	"6"	"10"	"4"	"27"	"1"	"2"	"3"	"1"	"493"	""	""	""
"15"	"14"	""	""	"364"	""	"118"	"52"	"11"	"1"	"3"	"5"	"5"	"3"	"1"	"2"	"2"	"10"	"7"	"7"	"21"	"17"	"8"	"4"	"11"	"8"	"3"	"4"	"7"	"674"	""	""	""
"16"	"15"	""	""	"134"	""	"210"	"63"	"3"	"17"	"2"	"2"	"1"	"4"	"1"	"1"	"0"	"0"	"4"	"1"	"4"	"5"	"3"	"3"	"20"	"1"	"0"	"2"	"2"	"483"	""	""	""
"17"	"16"	""	""	"112"	""	"25"	"172"	"2"	"12"	"1"	"0"	"1"	"5"	"4"	"0"	"2"	"0"	"2"	"3"	"5"	"1"	"7"	"2"	"6"	"2"	"0"	"0"	"0"	"364"	""	""	""
"18"	"17"	""	""	"183"	""	"72"	"100"	"5"	"0"	"1"	"1"	"0"	"5"	"2"	"0"	"4"	"2"	"4"	"6"	"20"	"7"	"3"	"1"	"6"	"1"	"1"	"3"	"1"	"428"	""	""	""
"19"	"18"	""	""	"106"	""	"16"	"81"	"0"	"0"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"4"	"3"	"0"	"5"	"0"	"0"	"0"	"0"	"223"	""	""	""
"20"	"19"	""	""	"192"	""	"31"	"130"	"23"	"0"	"2"	"1"	"2"	"3"	"0"	"3"	"3"	"2"	"5"	"6"	"13"	"4"	"0"	"0"	"11"	"0"	"0"	"0"	"4"	"435"	""	""	""
"21"	"20"	""	""	"232"	""	"61"	"99"	"10"	"6"	"4"	"2"	"1"	"4"	"2"	"1"	"2"	"3"	"9"	"4"	"4"	"5"	"3"	"1"	"19"	"1"	"1"	"4"	"6"	"484"	""	""	""
"22"	"21"	""	""	"153"	""	"32"	"64"	"5"	"1"	"0"	"1"	"2"	"3"	"1"	"0"	"0"	"1"	"3"	"2"	"3"	"1"	"3"	"1"	"38"	"1"	"0"	"2"	"1"	"318"	""	""	""
