"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"1"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"2"	"Round 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	30	43	1	186	7	2	2	1	2	3	2	2	2	1	0	20	3	2	2	4	2	1	3	0	2	323	NA	323	NA
"4"	"2"	66	87	36	48	1	3	2	2	2	0	2	1	5	5	3	6	6	0	1	1	2	0	1	0	3	283	NA	283	NA
"5"	"3"	96	49	13	99	0	0	1	0	0	0	0	0	0	0	0	9	2	2	0	2	0	0	0	0	0	273	NA	273	NA
"6"	"4"	34	64	14	200	7	3	0	1	0	0	2	0	2	1	0	12	2	7	1	1	0	0	0	1	0	352	NA	352	NA
"7"	"5"	18	54	3	195	7	4	2	2	1	0	1	4	1	1	1	8	14	5	4	6	1	3	3	2	5	345	NA	345	NA
"8"	"6"	9	129	32	148	3	1	2	3	1	1	0	0	1	2	2	5	1	4	3	1	0	1	1	1	1	352	NA	352	NA
"9"	"7"	191	239	6	11	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	453	NA	453	NA
"10"	"8"	176	78	1	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	260	NA	260	NA
"11"	"9"	50	81	1	9	0	0	0	1	0	0	0	1	0	0	2	6	4	1	0	0	0	0	0	0	0	156	NA	156	NA
"12"	"10"	180	17	0	12	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	214	NA	214	NA
"13"	"11"	159	291	4	48	2	1	0	0	0	0	1	0	0	0	2	1	0	2	0	2	1	0	1	0	0	515	NA	515	NA
"14"	"12"	387	30	11	4	1	1	0	12	1	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	453	NA	453	NA
"15"	"13"	137	98	7	115	10	3	1	120	19	3	5	2	2	1	1	13	2	1	2	1	2	0	1	1	3	550	NA	550	NA
"16"	"14"	13	77	36	291	2	1	1	3	2	0	0	0	0	0	1	6	5	4	2	5	1	1	0	2	1	454	NA	454	NA
"17"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"Total"	1546	1337	165	1368	42	21	12	145	28	8	13	10	19	12	12	91	40	28	15	24	9	6	10	7	15	4983	NA	4983	NA
"19"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"22"	"Round 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	"15"	6	12	1	135	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	159	NA	159	NA
"24"	"16"	231	186	47	6	3	5	2	29	4	0	0	2	2	2	0	5	2	2	0	0	0	0	0	0	0	528	NA	528	NA
"25"	"17"	323	114	56	8	3	1	0	3	0	0	1	0	1	1	0	2	2	2	2	0	0	0	2	1	0	522	NA	522	NA
"26"	"18"	41	40	1	130	0	0	0	2	0	2	1	1	0	0	0	0	3	6	0	0	2	0	0	1	1	231	NA	231	NA
"27"	"19"	33	32	2	145	1	0	0	19	1	2	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0	241	NA	241	NA
"28"	"20"	12	126	25	19	6	3	2	19	3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	218	NA	218	NA
"29"	"21"	9	17	16	244	8	5	1	89	6	0	3	0	2	0	0	11	3	0	1	0	0	0	0	0	0	415	NA	415	NA
"30"	"22"	4	7	4	152	5	0	2	74	5	0	0	0	1	0	2	3	0	0	0	1	0	0	0	0	1	261	NA	261	NA
"31"	"23"	17	218	135	30	0	1	0	5	0	1	0	0	1	0	0	5	2	0	0	0	0	0	0	0	0	415	NA	415	NA
"32"	"24"	12	97	1	217	4	4	1	27	3	4	0	2	0	1	0	9	2	3	3	3	3	1	0	1	2	400	NA	400	NA
"33"	"25"	5	36	0	76	1	1	1	26	1	0	0	0	1	0	1	6	0	0	0	0	0	0	0	0	0	155	NA	155	NA
