"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X226352.37.Rajnagar..SC."	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"4"	"Round No.1"	"1"	"131"	"5"	"89"	"144"	"6"	"13"	"3"	"8"	"4"	"2"	"11"	"416"	""	"416"	""
"5"	""	"2"	"44"	"4"	"82"	"34"	"2"	"3"	"0"	"4"	"3"	"2"	"8"	"186"	""	"186"	""
"6"	""	"3"	"130"	"38"	"21"	"216"	"5"	"15"	"1"	"2"	"2"	"1"	"8"	"439"	""	"439"	""
"7"	""	"4"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	""	"3"	""
"8"	""	"5"	"60"	"3"	"177"	"83"	"8"	"4"	"4"	"1"	"3"	"0"	"0"	"343"	""	"343"	""
"9"	""	"6"	"70"	"1"	"63"	"86"	"1"	"3"	"2"	"0"	"0"	"3"	"16"	"245"	""	"245"	""
"10"	""	"7"	"17"	"1"	"53"	"85"	"2"	"2"	"3"	"2"	"2"	"5"	"8"	"180"	""	"180"	""
"11"	""	"8"	"82"	"7"	"124"	"56"	"8"	"5"	"3"	"6"	"5"	"8"	"17"	"321"	""	"321"	""
"12"	""	"9"	"139"	"10"	"124"	"94"	"1"	"10"	"6"	"2"	"0"	"0"	"1"	"387"	""	"387"	""
"13"	""	"10"	"133"	"4"	"145"	"60"	"2"	"2"	"0"	"1"	"1"	"1"	"2"	"351"	""	"351"	""
"14"	""	"11"	"138"	"0"	"7"	"95"	"1"	"8"	"0"	"1"	"3"	"6"	"8"	"267"	""	"267"	""
"15"	""	"12"	"79"	"9"	"100"	"290"	"10"	"6"	"10"	"8"	"5"	"9"	"19"	"545"	""	"545"	""
"16"	""	"13"	"78"	"7"	"79"	"241"	"9"	"4"	"2"	"2"	"4"	"3"	"4"	"433"	""	"433"	""
"17"	""	"14"	"58"	"15"	"200"	"164"	"12"	"15"	"10"	"9"	"13"	"13"	"15"	"524"	""	"524"	""
"18"	""	"Total -1"	"1160"	"104"	"1264"	"1650"	"67"	"90"	"44"	"46"	"45"	"53"	"117"	"4640"	"0"	"4640"	"0"
"19"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"23"	"Round No.2"	"15"	"22"	"1"	"41"	"253"	"5"	"2"	"1"	"4"	"1"	"3"	"5"	"338"	""	"338"	""
"24"	""	"16"	"36"	"3"	"12"	"94"	"0"	"4"	"1"	"1"	"1"	"0"	"2"	"154"	""	"154"	""
"25"	""	"17"	"103"	"11"	"130"	"188"	"10"	"5"	"6"	"4"	"3"	"7"	"12"	"479"	""	"479"	""
"26"	""	"18"	"53"	"3"	"211"	"185"	"10"	"7"	"7"	"4"	"10"	"6"	"25"	"521"	""	"521"	""
"27"	""	"19"	"15"	"1"	"55"	"140"	"23"	"4"	"3"	"0"	"0"	"3"	"3"	"247"	""	"247"	""
"28"	""	"20"	"27"	"2"	"34"	"249"	"2"	"3"	"6"	"5"	"4"	"3"	"7"	"342"	""	"342"	""
"29"	""	"21"	"23"	"7"	"43"	"489"	"14"	"10"	"8"	"9"	"1"	"4"	"11"	"619"	""	"619"	""
"30"	""	"22"	"184"	"15"	"128"	"171"	"11"	"11"	"7"	"2"	"5"	"5"	"5"	"544"	""	"544"	""
"31"	""	"23"	"51"	"2"	"101"	"108"	"7"	"5"	"6"	"5"	"3"	"3"	"14"	"305"	""	"305"	""
"32"	""	"24"	"23"	"4"	"99"	"188"	"21"	"9"	"10"	"6"	"6"	"7"	"9"	"382"	""	"382"	""
"33"	""	"25"	"32"	"3"	"285"	"87"	"24"	"4"	"8"	"4"	"6"	"13"	"5"	"471"	""	"471"	""
"34"	""	"26"	"109"	"4"	"69"	"178"	"15"	"13"	"4"	"7"	"5"	"8"	"18"	"430"	""	"430"	""
"35"	""	"27"	"37"	"2"	"179"	"76"	"1"	"2"	"3"	"3"	"3"	"4"	"3"	"313"	""	"313"	""
"36"	""	"28"	"14"	"4"	"125"	"130"	"6"	"0"	"4"	"4"	"2"	"2"	"8"	"299"	""	"299"	""
"37"	""	"Total -2"	"729"	"62"	"1512"	"2536"	"149"	"79"	"74"	"58"	"50"	"68"	"127"	"5444"	"0"	"5444"	"0"
"38"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"42"	"Round No.3"	"29"	"99"	"3"	"65"	"108"	"2"	"5"	"2"	"1"	"5"	"5"	"6"	"301"	""	"301"	""
"43"	""	"30"	"90"	"13"	"175"	"147"	"7"	"3"	"7"	"1"	"5"	"5"	"9"	"462"	""	"462"	""
"44"	""	"31"	"127"	"14"	"35"	"271"	"7"	"3"	"9"	"4"	"3"	"6"	"15"	"494"	""	"494"	""
"45"	""	"32"	"208"	"16"	"181"	"89"	"11"	"41"	"5"	"4"	"6"	"5"	"11"	"577"	""	"577"	""
"46"	""	"33"	"17"	"5"	"254"	"104"	"6"	"5"	"4"	"2"	"2"	"7"	"7"	"413"	""	"413"	""
"47"	""	"34"	"29"	"1"	"32"	"288"	"1"	"5"	"5"	"2"	"0"	"4"	"7"	"374"	""	"374"	""
"48"	""	"35"	"48"	"9"	"104"	"96"	"10"	"8"	"4"	"5"	"4"	"6"	"5"	"299"	""	"299"	""
