"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 198-Shahpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"9"	"32"	"198"	"1"	"14"	"194"	""	"7"	"4"	"3"	"2"	"1"	"5"	"1"	"1"	"1"	"1"	"3"	"4"	"8"	"4"	"253"
"10"	"32"	"198"	"2"	"31"	"204"	""	"20"	"2"	"0"	"3"	"2"	"3"	"0"	"6"	"4"	"1"	"1"	"2"	"8"	"5"	"292"
"11"	"32"	"198"	"3"	"69"	"74"	""	"8"	"13"	"9"	"4"	"5"	"10"	"1"	"7"	"156"	"10"	"9"	"32"	"8"	"20"	"435"
"12"	"32"	"198"	"4"	"64"	"58"	""	"3"	"5"	"2"	"2"	"0"	"4"	"1"	"4"	"3"	"0"	"3"	"0"	"3"	"7"	"159"
"13"	"32"	"198"	"5"	"86"	"123"	""	"8"	"7"	"2"	"3"	"1"	"11"	"4"	"11"	"31"	"7"	"4"	"17"	"15"	"16"	"346"
"14"	"32"	"198"	"6"	"97"	"175"	""	"18"	"51"	"3"	"7"	"4"	"6"	"1"	"4"	"2"	"0"	"5"	"2"	"10"	"6"	"391"
"15"	"32"	"198"	"7"	"74"	"38"	""	"76"	"25"	"2"	"17"	"3"	"1"	"0"	"2"	"1"	"2"	"1"	"4"	"9"	"2"	"257"
"16"	"32"	"198"	"8"	"87"	"46"	""	"14"	"12"	"1"	"4"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"0"	"6"	"4"	"180"
"17"	"32"	"198"	"9"	"103"	"48"	""	"13"	"7"	"1"	"2"	"1"	"3"	"1"	"1"	"1"	"2"	"3"	"1"	"7"	"11"	"205"
"18"	"32"	"198"	"10"	"60"	"22"	""	"7"	"24"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"116"
"19"	"32"	"198"	"11"	"127"	"102"	""	"7"	"15"	"2"	"2"	"3"	"4"	"1"	"4"	"0"	"0"	"3"	"3"	"5"	"7"	"285"
"20"	"32"	"198"	"12"	"131"	"34"	""	"9"	"2"	"0"	"1"	"2"	"6"	"1"	"7"	"2"	"0"	"6"	"1"	"18"	"19"	"239"
"21"	"32"	"198"	"13"	"122"	"90"	""	"31"	"2"	"0"	"7"	"1"	"1"	"3"	"1"	"4"	"1"	"5"	"1"	"10"	"11"	"290"
"22"	"32"	"198"	"14"	"72"	"192"	""	"111"	"8"	"4"	"2"	"1"	"11"	"2"	"5"	"2"	"4"	"4"	"4"	"17"	"16"	"455"
"23"	"32"	"198"	"15"	"335"	"98"	""	"6"	"4"	"5"	"33"	"0"	"6"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"6"	"496"
"24"	"32"	"198"	"16"	"43"	"134"	""	"8"	"2"	"0"	"2"	"2"	"5"	"2"	"7"	"0"	"2"	"0"	"4"	"9"	"7"	"227"
"25"	"32"	"198"	"17"	"122"	"120"	""	"5"	"6"	"1"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"4"	"8"	"271"
"26"	"32"	"198"	"18"	"136"	"29"	""	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"2"	"1"	"2"	"178"
"27"	"32"	"198"	"19"	"122"	"4"	""	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"133"
"28"	"32"	"198"	"20"	"39"	"223"	""	"39"	"2"	"0"	"16"	"2"	"1"	"1"	"4"	"1"	"2"	"0"	"1"	"6"	"4"	"341"
"29"	"32"	"198"	"21"	"4"	"204"	""	"2"	"0"	"1"	"24"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"238"
"30"	"32"	"198"	"22"	"405"	"46"	""	"2"	"6"	"0"	"3"	"3"	"0"	"1"	"1"	"1"	"2"	"3"	"2"	"11"	"20"	"506"
"31"	"32"	"198"	"23"	"214"	"12"	""	"0"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"235"
"32"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 198-Shahpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
