"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188-PHULWARI(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"10"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"11"	"1"	"279"	"58"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"346"	"0"	"346"	"0"
"12"	"2"	"310"	"119"	"4"	"4"	"2"	"1"	"0"	"2"	"2"	"13"	"0"	"40"	"5"	"8"	"4"	"7"	"521"	"0"	"521"	"0"
"13"	"3"	"327"	"188"	"14"	"26"	"4"	"2"	"0"	"0"	"1"	"1"	"1"	"5"	"2"	"0"	"8"	"1"	"580"	"0"	"580"	"0"
"14"	"4"	"124"	"22"	"3"	"3"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"158"	"0"	"158"	"0"
"15"	"5"	"26"	"307"	"8"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"4"	"1"	"351"	"0"	"351"	"0"
"16"	"6"	"320"	"54"	"4"	"21"	"1"	"1"	"0"	"2"	"1"	"2"	"1"	"4"	"3"	"5"	"2"	"9"	"430"	"0"	"430"	"0"
"17"	"7"	"74"	"416"	"16"	"0"	"2"	"4"	"1"	"0"	"0"	"13"	"0"	"3"	"0"	"0"	"3"	"5"	"537"	"0"	"537"	"0"
"18"	"8"	"262"	"167"	"18"	"1"	"1"	"1"	"0"	"1"	"0"	"6"	"3"	"5"	"4"	"2"	"2"	"4"	"477"	"0"	"477"	"0"
"19"	"9"	"284"	"28"	"5"	"28"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"4"	"2"	"2"	"2"	"363"	"0"	"363"	"0"
"20"	"10"	"290"	"54"	"2"	"32"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"13"	"6"	"0"	"9"	"3"	"412"	"0"	"412"	"0"
"21"	"11"	"362"	"197"	"15"	"21"	"1"	"0"	"1"	"2"	"3"	"0"	"0"	"0"	"3"	"2"	"5"	"6"	"618"	"0"	"618"	"0"
"22"	"12"	"310"	"85"	"8"	"15"	"3"	"2"	"1"	"2"	"1"	"6"	"1"	"4"	"2"	"3"	"2"	"5"	"450"	"0"	"450"	"0"
"23"	"13"	"499"	"10"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"5"	"521"	"0"	"521"	"0"
"24"	"14"	"160"	"47"	"24"	"2"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"28"	"5"	"1"	"1"	"2"	"274"	"0"	"274"	"0"
"25"	"Total :-"	"3627"	"1752"	"127"	"156"	"16"	"15"	"4"	"11"	"11"	"46"	"9"	"106"	"37"	"23"	"44"	"54"	"6038"	"0"	"6038"	"0"
"26"	"Till Last Total :-"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"27"	"Grand Total
:-"	"3627"	"1752"	"127"	"156"	"16"	"15"	"4"	"11"	"11"	"46"	"9"	"106"	"37"	"23"	"44"	"54"	"6038"	"0"	"6038"	"0"
"28"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Total No. of electors in Assembly Constituency/Segment:-253456"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"ROUND  2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188-PHULWARI(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"43"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"44"	"15"	"260"	"269"	"11"	"16"	"2"	"2"	"2"	"1"	"1"	"7"	"1"	"22"	"7"	"2"	"6"	"17"	"626"	"0"	"626"	"0"
"45"	"16"	"224"	"58"	"5"	"6"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"6"	"3"	"2"	"4"	"13"	"325"	"0"	"325"	"0"
"46"	"17"	"241"	"56"	"4"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"25"	"2"	"2"	"2"	"3"	"338"	"0"	"338"	"0"
"47"	"18"	"112"	"271"	"7"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"13"	"6"	"0"	"3"	"8"	"426"	"0"	"426"	"0"
"48"	"19"	"13"	"334"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"6"	"3"	"361"	"0"	"361"	"0"
"49"	"20"	"307"	"129"	"11"	"28"	"2"	"2"	"4"	"1"	"0"	"6"	"1"	"26"	"5"	"1"	"1"	"7"	"531"	"0"	"531"	"0"
"50"	"21"	"256"	"149"	"22"	"1"	"2"	"6"	"2"	"1"	"1"	"6"	"1"	"10"	"2"	"0"	"0"	"4"	"463"	"0"	"463"	"0"
"51"	"22"	"47"	"205"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"4"	"2"	"1"	"1"	"289"	"0"	"289"	"0"
"52"	"23"	"98"	"313"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"417"	"0"	"417"	"0"
"53"	"24"	"29"	"495"	"18"	"1"	"3"	"0"	"1"	"0"	"2"	"2"	"0"	"2"	"1"	"4"	"10"	"6"	"574"	"0"	"574"	"0"
