"Candidate.Name.Booth.No."	"No.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	""	"ANIL KUMAR"	"JANAK RAM"	"PURNMASI RAM"	"RAMAI RAM"	"MADHU BHARTI"	"RAM KUMAR MANJHI"	"RAMASHANKA R RAM"	"SATYADEO RAM"	"ASHA DEVI"	"DINANATH MANJHI"	"DHARMENDRA KUMAR HAZRA"	"BINITA BAITHA"	"RAJESH KUMAR RAM"	"RAM SURAT RAM"	"SHAMBHU DOM"	"SURENDRA PASWAN"	"Total vailid votes (Part I-A)"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"3"	"1"	"141"	"61"	"178"	"27"	"8"	"9"	"22"	"71"	"13"	"7"	"31"	"6"	"5"	"9"	"9"	"10"	"607"
"4"	"2"	"78"	"11"	"148"	"30"	"4"	"9"	"3"	"21"	"2"	"4"	"10"	"6"	"2"	"2"	"1"	"9"	"340"
"5"	"3"	"74"	"9"	"83"	"4"	"4"	"1"	"6"	"4"	"4"	"2"	"4"	"4"	"0"	"3"	"10"	"5"	"217"
"6"	"4"	"112"	"13"	"82"	"18"	"3"	"4"	"10"	"6"	"3"	"4"	"6"	"6"	"4"	"3"	"8"	"10"	"292"
"7"	"5"	"102"	"13"	"249"	"13"	"4"	"1"	"8"	"13"	"4"	"3"	"16"	"11"	"9"	"16"	"9"	"23"	"494"
"8"	"6"	"44"	"51"	"158"	"5"	"4"	"3"	"6"	"3"	"1"	"2"	"3"	"2"	"1"	"7"	"5"	"6"	"301"
"9"	"7"	"123"	"30"	"162"	"22"	"6"	"3"	"13"	"6"	"1"	"0"	"8"	"4"	"4"	"9"	"6"	"14"	"411"
"10"	"8"	"162"	"24"	"103"	"15"	"3"	"1"	"3"	"8"	"1"	"3"	"6"	"3"	"4"	"6"	"4"	"16"	"362"
"11"	"9"	"157"	"26"	"8"	"7"	"1"	"0"	"0"	"3"	"2"	"0"	"1"	"0"	"1"	"2"	"4"	"14"	"226"
"12"	"10"	"144"	"7"	"141"	"29"	"4"	"2"	"11"	"23"	"2"	"1"	"12"	"5"	"4"	"10"	"3"	"15"	"413"
"13"	"11"	"28"	"6"	"139"	"2"	"1"	"3"	"7"	"10"	"0"	"3"	"10"	"1"	"1"	"1"	"1"	"0"	"213"
"14"	"12"	"66"	"22"	"144"	"24"	"3"	"4"	"7"	"15"	"1"	"0"	"3"	"6"	"0"	"4"	"3"	"1"	"303"
"15"	"13"	"155"	"25"	"149"	"8"	"3"	"2"	"4"	"2"	"1"	"1"	"3"	"2"	"1"	"13"	"6"	"14"	"389"
"16"	"14"	"54"	"38"	"248"	"30"	"5"	"7"	"17"	"11"	"9"	"13"	"22"	"14"	"8"	"11"	"14"	"11"	"512"
"17"	"15"	"63"	"61"	"167"	"22"	"5"	"3"	"11"	"3"	"1"	"1"	"6"	"3"	"0"	"1"	"1"	"2"	"350"
"18"	"16"	"95"	"10"	"157"	"5"	"1"	"1"	"6"	"3"	"1"	"1"	"8"	"2"	"3"	"1"	"3"	"9"	"306"
"19"	"17"	"56"	"75"	"143"	"19"	"3"	"4"	"5"	"5"	"2"	"3"	"10"	"5"	"2"	"9"	"8"	"15"	"364"
"20"	"18"	"132"	"14"	"109"	"15"	"9"	"5"	"5"	"4"	"2"	"4"	"10"	"25"	"6"	"5"	"3"	"16"	"364"
"21"	"19"	"115"	"27"	"173"	"16"	"4"	"1"	"6"	"8"	"2"	"4"	"9"	"5"	"2"	"1"	"1"	"3"	"377"
"22"	"20"	"187"	"24"	"127"	"68"	"8"	"3"	"8"	"2"	"3"	"2"	"11"	"9"	"7"	"5"	"7"	"7"	"478"
"23"	"21"	"221"	"137"	"83"	"11"	"6"	"6"	"10"	"7"	"7"	"5"	"15"	"9"	"3"	"12"	"9"	"17"	"558"
"24"	"22"	"33"	"22"	"41"	"61"	"1"	"0"	"2"	"0"	"1"	"7"	"3"	"0"	"4"	"4"	"0"	"4"	"183"
"25"	"23"	"98"	"22"	"43"	"8"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"176"
"26"	"24"	"98"	"115"	"136"	"22"	"2"	"1"	"7"	"1"	"3"	"0"	"5"	"1"	"1"	"3"	"4"	"2"	"401"
"27"	"Candidate Name
Booth No."	"No valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
