"X.CHAPTER.XIV..PARA.25.9."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 11-KATIHAR PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used booth for parliamentary and assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in assembly Constituency/Segment …217158…………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly /Segment …63-KATIHAR…. (In the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejecte d votes"	"Total"	"Total No. of tendered votes"
"8"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"9"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"10"	"1"	"1"	"60"	"126"	"3"	"91"	"0"	"1"	"0"	"4"	"1"	"1"	"1"	"3"	"7"	"6"	"16"	"14"	"334"	"0"	"334"	"0"
"11"	"2"	"2"	"9"	"123"	"8"	"112"	"1"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"7"	"266"	"0"	"266"	"0"
"12"	"3"	"3"	"23"	"334"	"7"	"12"	"1"	"0"	"1"	"2"	"1"	"5"	"1"	"1"	"0"	"1"	"6"	"9"	"404"	"0"	"404"	"0"
"13"	"4"	"4"	"20"	"182"	"21"	"188"	"4"	"4"	"1"	"2"	"3"	"1"	"2"	"4"	"43"	"4"	"3"	"28"	"510"	"0"	"510"	"0"
"14"	"5"	"5"	"14"	"249"	"4"	"52"	"2"	"4"	"2"	"1"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"129"	"463"	"0"	"463"	"0"
"15"	"6"	"6"	"4"	"131"	"6"	"74"	"1"	"0"	"4"	"4"	"1"	"1"	"1"	"2"	"16"	"3"	"2"	"14"	"264"	"0"	"264"	"0"
