"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tend.ered.votes"
"1"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"2"	"1"	"24"	"219"	"132"	"90"	"4"	"1"	"0"	"2"	"3"	"1"	"1"	"0"	"2"	"2"	"28"	"0"	"0"	"2"	"511"	"0"	"511"	"0"
"3"	"2"	"16"	"280"	"38"	"3"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"18"	"7"	"1"	"2"	"373"	"0"	"373"	"0"
"4"	"3"	"22"	"117"	"288"	"4"	"1"	"7"	"2"	"2"	"4"	"1"	"2"	"1"	"0"	"10"	"7"	"6"	"2"	"6"	"482"	"0"	"482"	"0"
"5"	"4"	"3"	"87"	"32"	"129"	"0"	"0"	"4"	"0"	"6"	"2"	"1"	"3"	"8"	"2"	"7"	"10"	"0"	"1"	"295"	"0"	"295"	"0"
"6"	"5"	"0"	"36"	"286"	"29"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"355"	"0"	"355"	"0"
"7"	"6"	"5"	"89"	"172"	"96"	"6"	"2"	"0"	"1"	"10"	"3"	"3"	"3"	"4"	"9"	"16"	"21"	"1"	"0"	"441"	"0"	"441"	"0"
"8"	"7"	"9"	"58"	"198"	"70"	"2"	"5"	"1"	"1"	"3"	"8"	"10"	"6"	"17"	"16"	"28"	"38"	"0"	"4"	"474"	"0"	"474"	"0"
"9"	"8"	"17"	"21"	"152"	"9"	"0"	"3"	"3"	"4"	"4"	"5"	"3"	"1"	"2"	"11"	"67"	"18"	"2"	"1"	"323"	"0"	"323"	"0"
"10"	"9"	"2"	"32"	"31"	"23"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"3"	"1"	"78"	"9"	"0"	"1"	"186"	"0"	"186"	"0"
