"Candidates.Name.."	"Arjun.Roy"	"Maya.Shankar.Sharan"	"Samir.Kumar.Mahase.th"	"Sitaram.Yadav"	"S..Abu.Dauja.na"	"Chitra.njan.Giri"	"Mohammad.Afzal.Painther"	"Shankar.Sinha"	"Chandr.ika.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"4"	"1"	"268"	"7"	"49"	"177"	"6"	"4"	"5"	"15"	"3"	"0"	"3"	"3"	"6"	"546"
"5"	"2"	"245"	"2"	"92"	"110"	"19"	"0"	"1"	"11"	"1"	"3"	"2"	"0"	"0"	"486"
"6"	"3"	"80"	"40"	"27"	"86"	"1"	"0"	"2"	"2"	"2"	"2"	"1"	"2"	"0"	"245"
"7"	"4"	"39"	"10"	"7"	"303"	"10"	"2"	"4"	"4"	"2"	"3"	"0"	"0"	"2"	"386"
"8"	"5"	"224"	"14"	"29"	"18"	"142"	"3"	"5"	"6"	"3"	"1"	"2"	"1"	"3"	"451"
"9"	"6"	"223"	"5"	"11"	"52"	"94"	"5"	"3"	"16"	"3"	"0"	"1"	"3"	"3"	"419"
"10"	"7"	"184"	"55"	"26"	"33"	"53"	"2"	"5"	"17"	"3"	"4"	"7"	"2"	"4"	"395"
"11"	"8"	"97"	"13"	"8"	"329"	"17"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"466"
"12"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"13"	"10"	"367"	"15"	"90"	"91"	"35"	"2"	"7"	"26"	"3"	"5"	"9"	"3"	"5"	"658"
"14"	"11"	"67"	"85"	"5"	"75"	"3"	"5"	"3"	"5"	"0"	"0"	"3"	"0"	"1"	"252"
"15"	"12"	"296"	"33"	"41"	"85"	"69"	"4"	"5"	"12"	"6"	"1"	"3"	"1"	"1"	"557"
"16"	"13"	"319"	"20"	"58"	"201"	"7"	"2"	"2"	"9"	"1"	"1"	"2"	"0"	"3"	"625"
"17"	"14"	"342"	"35"	"59"	"198"	"7"	"0"	"2"	"14"	"3"	"1"	"0"	"3"	"4"	"668"
"18"	"15"	"58"	"18"	"161"	"66"	"11"	"0"	"3"	"5"	"2"	"1"	"1"	"1"	"1"	"328"
"19"	"16"	"331"	"5"	"46"	"122"	"6"	"1"	"2"	"8"	"2"	"4"	"5"	"1"	"1"	"534"
"20"	"17"	"228"	"115"	"88"	"122"	"7"	"2"	"7"	"13"	"1"	"3"	"6"	"4"	"2"	"598"
"21"	"18"	"313"	"22"	"280"	"115"	"6"	"1"	"2"	"9"	"2"	"0"	"4"	"1"	"3"	"758"
"22"	"19"	"515"	"5"	"124"	"27"	"1"	"2"	"1"	"4"	"0"	"1"	"2"	"1"	"0"	"683"
"23"	"20"	"191"	"14"	"372"	"136"	"7"	"2"	"2"	"7"	"2"	"3"	"2"	"5"	"1"	"744"
"24"	"21"	"146"	"3"	"42"	"67"	"3"	"0"	"2"	"2"	"0"	"1"	"1"	"0"	"1"	"268"
"25"	"22"	"122"	"15"	"121"	"415"	"2"	"2"	"2"	"3"	"1"	"3"	"2"	"1"	"2"	"691"
"26"	"23"	"306"	"16"	"119"	"77"	"7"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"2"	"533"
"27"	"24"	"112"	"53"	"33"	"106"	"178"	"0"	"2"	"5"	"0"	"2"	"0"	"1"	"1"	"493"
"28"	"25"	"212"	"2"	"15"	"52"	"84"	"0"	"4"	"2"	"0"	"1"	"1"	"0"	"0"	"373"
"29"	"26"	"53"	"8"	"118"	"153"	"100"	"1"	"0"	"5"	"3"	"0"	"6"	"1"	"1"	"449"
"30"	"27"	"150"	"52"	"197"	"283"	"14"	"2"	"1"	"3"	"1"	"2"	"4"	"3"	"3"	"715"
"31"	"28"	"115"	"1"	"132"	"142"	"3"	"1"	"1"	"3"	"1"	"0"	"2"	"0"	"1"	"402"
