"Candidates.Name...........BOTH.NO.v"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"3"	"1"	"50"	"4"	"1"	"15"	"72"	"6"	"1"	"2"	"1"	"2"	"6"	"3"	"1"	"5"	"1"	"6"	"4"	"1"	"2"	"183"	""	"183"	""
"4"	"2"	"153"	"10"	"4"	"60"	"75"	"6"	"1"	"0"	"1"	"1"	"10"	"3"	"3"	"1"	"2"	"8"	"3"	"0"	"0"	"341"	""	"341"	""
"5"	"3"	"117"	"13"	"3"	"5"	"78"	"3"	"0"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"0"	"1"	"0"	"233"	""	"233"	""
"6"	"4"	"84"	"11"	"22"	"92"	"63"	"5"	"4"	"0"	"2"	"2"	"58"	"4"	"11"	"31"	"2"	"5"	"8"	"0"	"6"	"410"	""	"410"	""
"7"	"5"	"60"	"9"	"3"	"29"	"187"	"10"	"3"	"0"	"3"	"0"	"17"	"8"	"10"	"3"	"7"	"16"	"1"	"1"	"1"	"368"	""	"368"	""
"8"	"6"	"16"	"3"	"14"	"27"	"133"	"1"	"0"	"0"	"1"	"0"	"16"	"0"	"3"	"9"	"2"	"4"	"2"	"0"	"1"	"232"	""	"232"	""
"9"	"7"	"48"	"3"	"3"	"112"	"76"	"4"	"0"	"0"	"1"	"0"	"19"	"0"	"5"	"3"	"0"	"3"	"0"	"0"	"1"	"278"	""	"278"	""
"10"	"8"	"30"	"7"	"1"	"269"	"76"	"7"	"2"	"0"	"0"	"0"	"40"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"2"	"441"	""	"441"	""
"11"	"9"	"12"	"6"	"2"	"103"	"111"	"11"	"0"	"3"	"1"	"3"	"34"	"2"	"6"	"5"	"3"	"4"	"1"	"0"	"3"	"310"	""	"310"	""
"12"	"10"	"61"	"0"	"1"	"83"	"10"	"4"	"0"	"1"	"3"	"1"	"12"	"0"	"0"	"2"	"0"	"2"	"1"	"0"	"2"	"183"	""	"183"	""
"13"	"11"	"35"	"3"	"1"	"13"	"247"	"3"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"310"	""	"310"	""
"14"	"12"	"143"	"21"	"2"	"119"	"53"	"4"	"5"	"3"	"5"	"2"	"23"	"7"	"22"	"4"	"3"	"23"	"8"	"2"	"5"	"454"	""	"454"	""
"15"	"13"	"19"	"5"	"3"	"10"	"173"	"7"	"1"	"2"	"2"	"2"	"3"	"1"	"3"	"0"	"0"	"5"	"1"	"0"	"0"	"237"	""	"237"	""
"16"	"14"	"162"	"4"	"3"	"312"	"13"	"1"	"1"	"0"	"0"	"1"	"12"	"1"	"2"	"1"	"0"	"3"	"0"	"0"	"1"	"517"	""	"517"	""
"17"	"15"	"22"	"6"	"86"	"63"	"30"	"8"	"6"	"1"	"3"	"2"	"47"	"6"	"5"	"7"	"4"	"18"	"22"	"7"	"16"	"359"	""	"359"	""
"18"	"16"	"55"	"56"	"5"	"129"	"22"	"1"	"1"	"0"	"1"	"0"	"33"	"2"	"1"	"0"	"0"	"4"	"3"	"0"	"0"	"313"	""	"313"	""
"19"	"17"	"33"	"1"	"13"	"103"	"62"	"1"	"0"	"1"	"0"	"0"	"15"	"0"	"2"	"1"	"2"	"2"	"1"	"0"	"0"	"237"	""	"237"	""
"20"	"18"	"9"	"0"	"23"	"71"	"216"	"7"	"0"	"1"	"0"	"0"	"22"	"1"	"1"	"0"	"2"	"2"	"0"	"1"	"1"	"357"	""	"357"	""
"21"	"19"	"28"	"4"	"2"	"87"	"24"	"4"	"0"	"0"	"1"	"0"	"24"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"2"	"180"	""	"180"	""
"22"	"20"	"51"	"7"	"1"	"148"	"16"	"0"	"0"	"1"	"0"	"0"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	""	"256"	""
"23"	"21"	"36"	"8"	"4"	"269"	"37"	"0"	"1"	"0"	"0"	"0"	"52"	"0"	"1"	"3"	"0"	"5"	"3"	"0"	"3"	"422"	""	"422"	""
"24"	"22"	"53"	"18"	"34"	"119"	"44"	"5"	"6"	"7"	"6"	"2"	"31"	"3"	"3"	"4"	"2"	"5"	"4"	"7"	"7"	"360"	""	"360"	""
"25"	"23"	"44"	"1"	"24"	"193"	"78"	"6"	"3"	"1"	"1"	"1"	"19"	"0"	"1"	"0"	"2"	"4"	"0"	"1"	"1"	"380"	""	"380"	""
"26"	"24"	"13"	"1"	"2"	"20"	"371"	"2"	"1"	"0"	"0"	"0"	"15"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"427"	""	"427"	""
"27"	"25"	"39"	"7"	"2"	"81"	"166"	"5"	"4"	"3"	"3"	"1"	"19"	"3"	"4"	"6"	"2"	"6"	"3"	"2"	"3"	"359"	""	"359"	""
"28"	"26"	"79"	"3"	"1"	"112"	"98"	"7"	"1"	"0"	"1"	"2"	"2"	"1"	"0"	"1"	"1"	"3"	"1"	"0"	"1"	"314"	""	"314"	""
"29"	"27"	"176"	"0"	"1"	"348"	"8"	"2"	"0"	"0"	"0"	"1"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"546"	""	"546"	""
"30"	"Candidates Name
-------->
BOTH NO
v"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"31"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"32"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"33"	"28"	"2"	"3"	"3"	"80"	"222"	"4"	"2"	"0"	"0"	"0"	"17"	"2"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"340"	""	"340"	""
"34"	"29"	"12"	"3"	"2"	"147"	"5"	"5"	"6"	"1"	"1"	"0"	"35"	"3"	"3"	"1"	"0"	"0"	"3"	"0"	"1"	"228"	""	"228"	""
"35"	"30"	"118"	"6"	"7"	"51"	"70"	"4"	"0"	"2"	"2"	"3"	"24"	"2"	"0"	"3"	"2"	"4"	"1"	"0"	"3"	"302"	""	"302"	""
"36"	"31"	"19"	"1"	"0"	"5"	"78"	"0"	"2"	"0"	"0"	"1"	"5"	"2"	"0"	"1"	"0"	"2"	"2"	"0"	"1"	"119"	""	"119"	""
"37"	"32"	"17"	"1"	"2"	"24"	"101"	"5"	"3"	"0"	"1"	"1"	"24"	"1"	"2"	"0"	"1"	"2"	"2"	"0"	"1"	"188"	""	"188"	""
"38"	"33"	"29"	"1"	"1"	"212"	"5"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"251"	""	"251"	""
"39"	"34"	"23"	"2"	"1"	"315"	"12"	"1"	"1"	"0"	"1"	"0"	"22"	"1"	"2"	"0"	"1"	"1"	"2"	"0"	"1"	"386"	""	"386"	""
"40"	"35"	"8"	"3"	"0"	"100"	"10"	"1"	"0"	"0"	"0"	"0"	"43"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"172"	""	"172"	""
"41"	"36"	"234"	"4"	"5"	"137"	"34"	"3"	"28"	"3"	"2"	"1"	"55"	"2"	"3"	"1"	"0"	"3"	"1"	"1"	"3"	"520"	""	"520"	""
"42"	"37"	"18"	"0"	"3"	"10"	"108"	"6"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"1"	"154"	""	"154"	""
"43"	"38"	"32"	"5"	"8"	"195"	"15"	"2"	"2"	"0"	"0"	"0"	"80"	"4"	"1"	"0"	"0"	"1"	"0"	"0"	"8"	"353"	""	"353"	""
"44"	"39"	"76"	"12"	"6"	"82"	"66"	"5"	"2"	"1"	"0"	"0"	"25"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"282"	""	"282"	""
"45"	"40"	"5"	"1"	"2"	"88"	"5"	"2"	"1"	"0"	"1"	"0"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	""	"140"	""
"46"	"41"	"50"	"2"	"1"	"67"	"10"	"3"	"1"	"0"	"1"	"0"	"21"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"160"	""	"160"	""
"47"	"42"	"68"	"2"	"3"	"216"	"67"	"6"	"1"	"0"	"0"	"1"	"32"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"400"	""	"400"	""
"48"	"43"	"38"	"7"	"1"	"150"	"28"	"2"	"3"	"1"	"0"	"0"	"32"	"1"	"2"	"0"	"3"	"3"	"0"	"0"	"1"	"272"	""	"272"	""
"49"	"44"	"29"	"3"	"2"	"200"	"32"	"7"	"4"	"1"	"1"	"2"	"63"	"3"	"7"	"1"	"2"	"1"	"0"	"1"	"1"	"360"	""	"360"	""
"50"	"45"	"91"	"5"	"7"	"146"	"63"	"8"	"2"	"6"	"3"	"2"	"72"	"4"	"4"	"1"	"2"	"0"	"1"	"0"	"2"	"419"	""	"419"	""
"51"	"46"	"20"	"0"	"2"	"204"	"9"	"2"	"0"	"0"	"0"	"1"	"83"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"327"	""	"327"	""
"52"	"47"	"30"	"1"	"5"	"109"	"83"	"11"	"5"	"0"	"2"	"0"	"39"	"2"	"6"	"1"	"1"	"5"	"5"	"0"	"3"	"308"	""	"308"	""
"53"	"48"	"8"	"2"	"14"	"277"	"26"	"7"	"2"	"2"	"1"	"2"	"83"	"2"	"7"	"1"	"1"	"3"	"0"	"1"	"0"	"439"	""	"439"	""
"54"	"49"	"25"	"1"	"1"	"205"	"36"	"5"	"0"	"0"	"0"	"0"	"48"	"1"	"6"	"1"	"1"	"4"	"5"	"0"	"3"	"342"	""	"342"	""
"55"	"50"	"95"	"1"	"11"	"47"	"7"	"1"	"0"	"2"	"0"	"0"	"13"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"179"	""	"179"	""
"56"	"51"	"37"	"7"	"21"	"64"	"24"	"3"	"1"	"2"	"1"	"1"	"21"	"1"	"4"	"1"	"1"	"2"	"0"	"2"	"1"	"194"	""	"194"	""
"57"	"52"	"24"	"0"	"103"	"38"	"4"	"3"	"4"	"0"	"0"	"2"	"26"	"3"	"4"	"0"	"2"	"7"	"1"	"1"	"2"	"224"	""	"224"	""
"58"	"53"	"46"	"0"	"1"	"137"	"33"	"0"	"2"	"1"	"0"	"0"	"19"	"1"	"5"	"2"	"1"	"2"	"3"	"0"	"3"	"256"	""	"256"	""
"59"	"54"	"27"	"2"	"6"	"132"	"57"	"3"	"0"	"5"	"2"	"0"	"34"	"1"	"5"	"3"	"1"	"1"	"1"	"0"	"0"	"280"	""	"280"	""
"60"	"Candidates Name
-------->
BOTH NO
v"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"61"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"63"	"55"	"60"	"4"	"25"	"190"	"51"	"5"	"7"	"2"	"1"	"2"	"72"	"7"	"7"	"2"	"0"	"4"	"6"	"1"	"2"	"448"	""	"448"	""
"64"	"56"	"34"	"1"	"4"	"140"	"22"	"3"	"4"	"0"	"0"	"1"	"35"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"3"	"251"	""	"251"	""
"65"	"57"	"14"	"4"	"11"	"113"	"51"	"6"	"1"	"3"	"1"	"1"	"49"	"3"	"2"	"0"	"1"	"1"	"2"	"2"	"2"	"267"	""	"267"	""
"66"	"58"	"60"	"1"	"15"	"12"	"271"	"1"	"2"	"1"	"0"	"0"	"3"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"371"	""	"371"	""
"67"	"59"	"107"	"6"	"21"	"22"	"43"	"2"	"2"	"0"	"1"	"0"	"7"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"214"	""	"214"	""
