"X.v...k....XIV..i.kj.k.26.9.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"QkeZ & 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v afr e  i fj . kke  Ik="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[fu; e  56 C (2) nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"34&l kl kj ke l al nh;  fuokZpu {ks= l s yksd  l Hkk ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"fo/kku l Hkk fuokZpu {ks= esa fuokZpdksa dh dqy  l a[ ; k 233833"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 206&pSui qj   fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"9"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"10"	"1"	"64"	"292"	"85"	"49"	"4"	"2"	"3"	"2"	"2"	"2"	"2"	"3"	"2"	"7"	"2"	"8"	"529"	""	"529"	""
"11"	"2"	"308"	"45"	"17"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"378"	""	"378"	""
"12"	"3"	"201"	"209"	"105"	"45"	"2"	"5"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"0"	"1"	"575"	""	"575"	""
"13"	"4"	"66"	"62"	"67"	"140"	"1"	"2"	"3"	"3"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"3"	"353"	""	"353"	""
"14"	"5"	"72"	"28"	"184"	"30"	"0"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"323"	""	"323"	""
"15"	"6"	"176"	"67"	"27"	"47"	"2"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"324"	""	"324"	""
"16"	"7"	"154"	"115"	"172"	"104"	"6"	"1"	"23"	"3"	"3"	"2"	"2"	"1"	"4"	"3"	"4"	"3"	"600"	""	"600"	""
"17"	"8"	"76"	"72"	"61"	"160"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"2"	"0"	"4"	"382"	""	"382"	""
"18"	"9"	"128"	"148"	"96"	"36"	"4"	"0"	"1"	"5"	"1"	"1"	"1"	"2"	"3"	"5"	"6"	"6"	"443"	""	"443"	""
"19"	"10"	"88"	"140"	"140"	"64"	"7"	"0"	"2"	"1"	"1"	"0"	"1"	"1"	"6"	"4"	"0"	"1"	"456"	""	"456"	""
"20"	"11"	"177"	"29"	"50"	"124"	"5"	"3"	"1"	"3"	"3"	"1"	"1"	"0"	"0"	"3"	"1"	"9"	"410"	""	"410"	""
"21"	"12"	"94"	"52"	"50"	"59"	"2"	"1"	"1"	"1"	"0"	"3"	"1"	"1"	"0"	"1"	"2"	"3"	"271"	""	"271"	""
"22"	"13"	"284"	"91"	"59"	"11"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"1"	"2"	"0"	"2"	"8"	"463"	""	"463"	""
"23"	"14"	"33"	"255"	"280"	"75"	"4"	"6"	"2"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"3"	"4"	"668"	""	"668"	""
"24"	"TOTAL"	"1921"	"1605"	"1393"	"949"	"39"	"21"	"41"	"21"	"16"	"13"	"12"	"10"	"27"	"33"	"22"	"52"	"6175"	"0"	"6175"	"0"
"25"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 206&pSui qj   fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
