"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X244338.87.Jale"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"4"	"Round No.1"	"1"	"2"	"4"	"16"	"181"	"57"	"3"	"0"	"2"	"1"	"1"	"4"	"0"	"3"	"68"	"342"	""	"342"	""
"5"	""	"2"	"11"	"5"	"66"	"22"	"319"	"2"	"1"	"1"	"4"	"5"	"3"	"4"	"1"	"21"	"465"	""	"465"	""
"6"	""	"3"	"59"	"7"	"33"	"194"	"286"	"11"	"5"	"6"	"7"	"5"	"3"	"1"	"2"	"6"	"625"	""	"625"	""
"7"	""	"4"	"55"	"4"	"38"	"345"	"51"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"503"	""	"503"	""
"8"	""	"5"	"49"	"7"	"107"	"160"	"100"	"5"	"6"	"2"	"5"	"2"	"6"	"3"	"6"	"12"	"470"	""	"470"	""
"9"	""	"6"	"7"	"1"	"84"	"160"	"27"	"2"	"3"	"2"	"4"	"2"	"0"	"0"	"1"	"9"	"302"	""	"302"	""
"10"	""	"7"	"46"	"5"	"46"	"460"	"26"	"2"	"2"	"2"	"3"	"0"	"0"	"1"	"3"	"5"	"601"	""	"601"	""
"11"	""	"8"	"118"	"5"	"188"	"86"	"39"	"3"	"2"	"0"	"3"	"0"	"2"	"7"	"2"	"10"	"465"	""	"465"	""
"12"	""	"9"	"131"	"9"	"101"	"14"	"17"	"3"	"3"	"2"	"1"	"3"	"3"	"2"	"7"	"7"	"303"	""	"303"	""
