"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-    249741"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 155-Kahalgaon"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"8"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"9"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"10"	"1"	"1"	"40"	"100"	"6"	"6"	"158"	"4"	"5"	"2"	"4"	"2"	"14"	"4"	"6"	"4"	""	"2"	"19"	"4"	"4"	"0"	"4"	"13"	"401"	"0"	"401"	"0"
"11"	"2"	"2"	"6"	"144"	"15"	"3"	"26"	"5"	"3"	"2"	"3"	"14"	"3"	"0"	"0"	"1"	""	"4"	"7"	"3"	"4"	"0"	"0"	"3"	"246"	"0"	"246"	"0"
"12"	"3"	"3"	"1"	"433"	"3"	"2"	"7"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	""	"0"	"0"	"15"	"0"	"0"	"0"	"0"	"464"	"0"	"464"	"0"
"13"	"4"	"4"	"2"	"417"	"10"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	""	"1"	"1"	"4"	"3"	"0"	"0"	"3"	"444"	"0"	"444"	"0"
"14"	"5"	"5"	"1"	"319"	"10"	"1"	"0"	"2"	"1"	"1"	"1"	"3"	"0"	"0"	"1"	"0"	""	"2"	"7"	"23"	"1"	"0"	"0"	"1"	"374"	"0"	"374"	"0"
"15"	"6"	"6"	"20"	"430"	"26"	"3"	"245"	"4"	"1"	"0"	"3"	"4"	"7"	"3"	"4"	"4"	""	"4"	"11"	"2"	"1"	"3"	"1"	"1"	"777"	"0"	"777"	"0"
"16"	"7"	"7"	"99"	"246"	"14"	"2"	"49"	"2"	"2"	"1"	"2"	"1"	"1"	"0"	"0"	"1"	""	"0"	"3"	"5"	"1"	"2"	"3"	"2"	"436"	"0"	"436"	"0"
"17"	"8"	"8"	"27"	"286"	"8"	"2"	"35"	"1"	"1"	"3"	"1"	"0"	"1"	"0"	"1"	"1"	""	"1"	"1"	"7"	"1"	"0"	"0"	"1"	"378"	"0"	"378"	"0"
"18"	"9"	"9"	"7"	"464"	"24"	"6"	"192"	"3"	"0"	"1"	"2"	"1"	"6"	"2"	"0"	"4"	""	"9"	"8"	"0"	"4"	"3"	"0"	"4"	"740"	"0"	"740"	"0"
"19"	"10"	"10"	"92"	"531"	"17"	"9"	"16"	"1"	"5"	"0"	"0"	"3"	"2"	"1"	"1"	"6"	""	"20"	"12"	"2"	"6"	"1"	"4"	"1"	"730"	"0"	"730"	"0"
"20"	"11"	"11"	"31"	"301"	"60"	"2"	"132"	"4"	"0"	"2"	"3"	"1"	"2"	"8"	"3"	"0"	""	"5"	"3"	"1"	"2"	"1"	"0"	"5"	"566"	"0"	"566"	"0"
"21"	"12"	"12"	"9"	"368"	"19"	"3"	"72"	"3"	"2"	"2"	"5"	"0"	"0"	"2"	"1"	"5"	""	"6"	"7"	"4"	"5"	"0"	"1"	"2"	"516"	"0"	"516"	"0"
"22"	"13"	"13"	"146"	"142"	"20"	"4"	"45"	"6"	"3"	"1"	"2"	"0"	"3"	"4"	"1"	"6"	""	"8"	"25"	"59"	"11"	"4"	"3"	"12"	"505"	"0"	"505"	"0"
"23"	"14"	"14"	"32"	"23"	"224"	"4"	"153"	"2"	"2"	"2"	"2"	"0"	"8"	"2"	"0"	"2"	""	"4"	"12"	"20"	"3"	"4"	"3"	"1"	"503"	"0"	"503"	"0"
