"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 9---ARARIA CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :9---ARARIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Assembly Constituency :46---Narpatganj                                                                                                                                        No of Voters :226970"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"7"	""	"ZAKIR HUSSAIN KHAN"	"PRADEEP KUMAR SINGH"	""	"RAJA RAMAN BHASKAR"	""	"DR. SHAKEEL AHMAD KHAN"	""	"AYAJUDIN"	""	"KAMALI DEVI"	""	"NASIM AHMAD GHAZI"	""	"ABDUL GAFOOR"	""	"ABDUL WAHAB"	""	"OM PRAKASH"	""	"KANHAIYA KUMAR DAS"	""	"DINESH RATHOUR"	"NAND LAL PASWAN"	""	""
"8"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	"14"	""	"15"
"9"	"1"	"73"	"604"	""	"20"	""	"18"	""	"4"	""	"0"	""	"0"	""	"5"	""	"5"	""	"5"	""	"3"	""	"2"	"1"	""	"740"
"10"	"2"	"380"	"215"	""	"14"	""	"139"	""	"6"	""	"0"	""	"2"	""	"5"	""	"7"	""	"0"	""	"0"	""	"0"	"1"	""	"769"
"11"	"3"	"87"	"287"	""	"7"	""	"101"	""	"1"	""	"2"	""	"1"	""	"8"	""	"8"	""	"6"	""	"6"	""	"3"	"2"	""	"519"
"12"	"4"	"148"	"550"	""	"30"	""	"55"	""	"7"	""	"4"	""	"8"	""	"3"	""	"5"	""	"5"	""	"4"	""	"5"	"8"	""	"832"
"13"	"5"	"350"	"298"	""	"20"	""	"39"	""	"4"	""	"6"	""	"10"	""	"17"	""	"9"	""	"5"	""	"1"	""	"2"	"9"	""	"770"
"14"	"6"	"493"	"11"	""	"4"	""	"32"	""	"6"	""	"3"	""	"3"	""	"9"	""	"4"	""	"5"	""	"1"	""	"0"	"3"	""	"574"
"15"	"7"	"228"	"28"	""	"1"	""	"23"	""	"3"	""	"1"	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	"0"	""	"286"
"16"	"8"	"152"	"399"	""	"18"	""	"5"	""	"2"	""	"2"	""	"8"	""	"4"	""	"3"	""	"1"	""	"1"	""	"3"	"1"	""	"599"
"17"	"9"	"141"	"144"	""	"11"	""	"27"	""	"5"	""	"1"	""	"9"	""	"4"	""	"4"	""	"1"	""	"1"	""	"1"	"0"	""	"349"
