"X..usDpj....XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"¼v/; k; & XIV  i kj k 26.9 ½ QkeZ & 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v afr e  i fj . kke  Ik="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[fu; e  56 C (2) nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"34&l kl kj ke l al nh;  fuokZpu {ks= l s yksd  l Hkk ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"pØ  l añ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"fo/kku l Hkk fuokZpu {ks= esa fuokZpdksa dh dqy  l a[ ; k 201376"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 204&eksgfu; ka  ¼v ñt kñ½  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"10"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"11"	"1"	"133"	"96"	"13"	"178"	"5"	"32"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"5"	"2"	"5"	"476"	""	"476"	""
"12"	"2"	"132"	"53"	"69"	"148"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"1"	"5"	"415"	""	"415"	""
"13"	"3"	"139"	"94"	"14"	"132"	"4"	"5"	"0"	"3"	"1"	"2"	"1"	"0"	"2"	"8"	"0"	"4"	"409"	""	"409"	""
"14"	"4"	"62"	"111"	"16"	"37"	"7"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"240"	""	"240"	""
"15"	"5"	"62"	"32"	"142"	"11"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"252"	""	"252"	""
"16"	"6"	"98"	"148"	"70"	"45"	"3"	"19"	"1"	"2"	"0"	"23"	"1"	"0"	"1"	"0"	"0"	"2"	"413"	""	"413"	""
"17"	"7"	"47"	"14"	"110"	"93"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"273"	""	"273"	""
"18"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"19"	"9"	"145"	"127"	"117"	"39"	"2"	"34"	"2"	"1"	"0"	"5"	"2"	"1"	"2"	"3"	"0"	"6"	"486"	""	"486"	""
"20"	"10"	"216"	"78"	"23"	"11"	"2"	"61"	"6"	"3"	"1"	"0"	"2"	"0"	"2"	"1"	"2"	"7"	"415"	""	"415"	""
"21"	"11"	"27"	"110"	"38"	"52"	"5"	"49"	"2"	"1"	"0"	"1"	"3"	"2"	"4"	"0"	"1"	"8"	"303"	""	"303"	""
"22"	"12"	"100"	"158"	"114"	"52"	"1"	"117"	"3"	"0"	"2"	"1"	"2"	"0"	"3"	"2"	"1"	"3"	"559"	""	"559"	""
