"X.U.091F..U.0947..U.092C..U.0941..U.0932."	"X.U.092E..U.0924..U.0926..U.093E..U.0928."	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X.U.0915..U.0941...U.0932."	"X...U.0924...U.0947...U.092A."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924."	"X17..U.0938..U.0940."
"1"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"2"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""	""
"4"	"1"	"1"	"2"	"3"	"228"	"42"	"2"	"1"	"0"	"0"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"294"	""	"294"	""	""
"5"	"2"	"2"	"96"	"22"	"82"	"73"	"6"	"4"	"2"	"2"	"32"	"3"	"8"	"1"	"2"	"4"	"1"	"11"	"349"	""	"349"	""	""
"6"	"3"	"3"	"42"	"14"	"174"	"23"	"3"	"1"	"0"	"1"	"17"	"1"	"4"	"0"	"2"	"3"	"0"	"8"	"293"	""	"293"	""	""
"7"	"4"	"4"	"17"	"1"	"80"	"85"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"188"	""	"188"	""	""
"8"	"5"	"5"	"104"	"93"	"100"	"123"	"12"	"1"	"0"	"5"	"80"	"3"	"3"	"2"	"4"	"2"	"6"	"8"	"546"	""	"546"	""	""
"9"	"6"	"6"	"32"	"4"	"62"	"105"	"3"	"0"	"1"	"3"	"19"	"1"	"2"	"0"	"2"	"0"	"1"	"2"	"237"	""	"237"	""	""
"10"	"7"	"7"	"7"	"0"	"76"	"102"	"3"	"0"	"0"	"1"	"5"	"1"	"3"	"3"	"7"	"8"	"1"	"11"	"228"	""	"228"	""	""
