"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 8---SUPAUL CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :8---SUPAUL                                                                                                                                                                                                                                           Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :42---Pipra                                                                                                                                                                                                                                              No of Voters :207572"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of                                                                                                                                          Total Valid Votes -109640"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"andidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRSAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"9"	"1"	"20"	"4"	"26"	"177"	"24"	"48"	"8"	"2"	"1"	"6"	"4"	"3"	"10"	"4"	"5"	"21"	"363"
"10"	"2"	"8"	"0"	"42"	"91"	"60"	"32"	"3"	"0"	"3"	"3"	"3"	"9"	"3"	"1"	"0"	"3"	"261"
"11"	"3"	"13"	"2"	"17"	"133"	"1"	"40"	"3"	"1"	"0"	"0"	"3"	"4"	"1"	"2"	"0"	"4"	"224"
"12"	"4"	"11"	"3"	"9"	"155"	"56"	"29"	"4"	"3"	"1"	"3"	"3"	"1"	"3"	"2"	"2"	"2"	"287"
"13"	"5"	"21"	"11"	"10"	"586"	"15"	"59"	"4"	"5"	"3"	"3"	"7"	"1"	"10"	"3"	"2"	"7"	"747"
"14"	"6"	"10"	"5"	"14"	"385"	"17"	"22"	"3"	"2"	"2"	"2"	"0"	"1"	"5"	"0"	"5"	"6"	"479"
"15"	"7"	"11"	"5"	"10"	"188"	"26"	"41"	"3"	"1"	"0"	"1"	"2"	"0"	"2"	"0"	"0"	"1"	"291"
"16"	"8"	"10"	"5"	"98"	"262"	"44"	"46"	"4"	"5"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"480"
"17"	"9"	"5"	"2"	"34"	"284"	"52"	"49"	"8"	"2"	"2"	"2"	"5"	"4"	"12"	"4"	"2"	"18"	"485"
