"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"1"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"3"	"1"	"109"	"192"	"24"	"4"	"5"	"0"	"1"	"26"	"5"	"3"	"2"	"0"	"0"	"1"	"2"	"5"	"6"	"3"	"0"	"1"	"0"	"2"	"391"	"0"	"391"	"0"
"4"	"2"	"171"	"82"	"8"	"15"	"2"	"2"	"1"	"46"	"7"	"1"	"1"	"0"	"2"	"1"	"1"	"6"	"9"	"0"	"1"	"1"	"2"	"1"	"360"	"0"	"360"	"0"
"5"	"3"	"168"	"117"	"20"	"38"	"32"	"2"	"3"	"43"	"7"	"8"	"14"	"3"	"5"	"6"	"12"	"30"	"6"	"3"	"2"	"4"	"0"	"6"	"529"	"0"	"529"	"0"
"6"	"4"	"97"	"295"	"12"	"2"	"14"	"1"	"0"	"22"	"4"	"2"	"0"	"0"	"0"	"2"	"2"	"2"	"5"	"2"	"2"	"3"	"1"	"2"	"470"	"0"	"470"	"0"
"7"	"5"	"114"	"183"	"29"	"0"	"15"	"3"	"3"	"11"	"4"	"1"	"2"	"5"	"3"	"9"	"5"	"21"	"2"	"1"	"1"	"2"	"0"	"1"	"415"	"0"	"415"	"0"
"8"	"6"	"180"	"60"	"33"	"4"	"1"	"1"	"1"	"27"	"5"	"1"	"0"	"0"	"0"	"6"	"6"	"20"	"7"	"0"	"4"	"1"	"0"	"3"	"360"	"0"	"360"	"0"
"9"	"7"	"122"	"174"	"10"	"4"	"6"	"0"	"4"	"18"	"4"	"4"	"2"	"1"	"1"	"4"	"1"	"10"	"6"	"5"	"0"	"2"	"1"	"3"	"382"	"0"	"382"	"0"
"10"	"8"	"167"	"154"	"20"	"9"	"19"	"4"	"2"	"52"	"5"	"1"	"5"	"5"	"3"	"5"	"4"	"16"	"14"	"13"	"1"	"3"	"4"	"9"	"515"	"0"	"515"	"0"
"11"	"9"	"61"	"389"	"18"	"4"	"30"	"2"	"0"	"31"	"4"	"8"	"1"	"1"	"1"	"2"	"5"	"19"	"6"	"6"	"1"	"1"	"4"	"5"	"599"	"0"	"599"	"0"
"12"	"10"	"114"	"190"	"14"	"2"	"21"	"2"	"3"	"50"	"3"	"1"	"1"	"1"	"2"	"2"	"8"	"10"	"9"	"6"	"3"	"0"	"2"	"3"	"447"	"0"	"447"	"0"
"13"	"11"	"100"	"203"	"15"	"2"	"13"	"3"	"3"	"26"	"1"	"4"	"1"	"2"	"1"	"4"	"8"	"11"	"5"	"3"	"1"	"4"	"1"	"11"	"422"	"0"	"422"	"0"
"14"	"12"	"185"	"161"	"22"	"2"	"6"	"0"	"1"	"40"	"6"	"2"	"1"	"2"	"2"	"4"	"6"	"11"	"10"	"10"	"1"	"0"	"3"	"8"	"483"	"0"	"483"	"0"
"15"	"13"	"150"	"279"	"11"	"1"	"10"	"2"	"4"	"65"	"8"	"2"	"1"	"1"	"4"	"2"	"5"	"8"	"8"	"15"	"2"	"6"	"7"	"5"	"596"	"0"	"596"	"0"
"16"	"14"	"154"	"59"	"19"	"6"	"4"	"2"	"1"	"43"	"13"	"6"	"1"	"2"	"15"	"4"	"6"	"19"	"11"	"0"	"2"	"0"	"4"	"6"	"377"	"0"	"377"	"0"
"17"	"l hV  dk
; ksx"	"1892"	"2538"	"255"	"93"	"178"	"24"	"27"	"500"	"76"	"44"	"32"	"23"	"39"	"52"	"71"	"188"	"104"	"67"	"21"	"28"	"29"	"65"	"6346"	"0"	"6346"	"0"
"18"	"d qy  &"	"1892"	"2538"	"255"	"93"	"178"	"24"	"27"	"500"	"76"	"44"	"32"	"23"	"39"	"52"	"71"	"188"	"104"	"67"	"21"	"28"	"29"	"65"	"6346"	"0"	"6346"	"0"
"19"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"20"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"21"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"22"	"i woZ  dk
; ksx"	"1892"	"2538"	"255"	"93"	"178"	"24"	"27"	"500"	"76"	"44"	"32"	"23"	"39"	"52"	"71"	"188"	"104"	"67"	"21"	"28"	"29"	"65"	"6346"	"0"	"6346"	"0"
"23"	"15"	"110"	"11"	"4"	"1"	"10"	"0"	"0"	"26"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"171"	"0"	"171"	"0"
"24"	"16"	"271"	"71"	"5"	"10"	"9"	"3"	"1"	"52"	"11"	"0"	"0"	"2"	"4"	"5"	"5"	"5"	"10"	"8"	"0"	"0"	"2"	"1"	"475"	"0"	"475"	"0"
"25"	"17"	"289"	"6"	"7"	"1"	"5"	"0"	"1"	"29"	"5"	"3"	"0"	"0"	"29"	"1"	"2"	"4"	"6"	"0"	"1"	"0"	"1"	"1"	"391"	"0"	"391"	"0"
"26"	"18"	"203"	"13"	"10"	"39"	"6"	"1"	"3"	"46"	"7"	"3"	"1"	"3"	"21"	"3"	"4"	"9"	"3"	"0"	"0"	"1"	"0"	"0"	"376"	"0"	"376"	"0"
"27"	"19"	"156"	"2"	"4"	"14"	"6"	"0"	"0"	"37"	"4"	"0"	"0"	"0"	"0"	"2"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"1"	"233"	"0"	"233"	"0"
"28"	"20"	"164"	"48"	"7"	"2"	"4"	"1"	"3"	"50"	"7"	"4"	"3"	"1"	"0"	"6"	"4"	"26"	"20"	"5"	"0"	"4"	"3"	"7"	"369"	"0"	"369"	"0"
"29"	"21"	"122"	"146"	"11"	"2"	"25"	"0"	"0"	"32"	"4"	"4"	"0"	"2"	"2"	"1"	"6"	"11"	"1"	"2"	"0"	"0"	"0"	"1"	"372"	"0"	"372"	"0"
"30"	"22"	"380"	"72"	"10"	"4"	"35"	"2"	"5"	"75"	"3"	"5"	"3"	"0"	"4"	"6"	"0"	"18"	"12"	"0"	"1"	"0"	"0"	"2"	"637"	"0"	"637"	"0"
"31"	"23"	"202"	"43"	"13"	"5"	"63"	"2"	"4"	"61"	"6"	"5"	"4"	"2"	"2"	"4"	"6"	"26"	"17"	"5"	"1"	"0"	"4"	"0"	"475"	"0"	"475"	"0"
"32"	"24"	"385"	"62"	"16"	"3"	"9"	"1"	"3"	"48"	"2"	"5"	"2"	"1"	"4"	"7"	"2"	"19"	"23"	"4"	"1"	"0"	"0"	"7"	"604"	"0"	"604"	"0"
"33"	"25"	"138"	"173"	"29"	"8"	"19"	"2"	"0"	"56"	"4"	"2"	"8"	"4"	"3"	"7"	"9"	"37"	"11"	"12"	"0"	"4"	"3"	"6"	"535"	"0"	"535"	"0"
"34"	"26"	"193"	"96"	"11"	"2"	"23"	"2"	"1"	"27"	"6"	"1"	"23"	"3"	"4"	"10"	"3"	"22"	"10"	"1"	"0"	"0"	"0"	"3"	"441"	"0"	"441"	"0"
"35"	"27"	"157"	"267"	"16"	"2"	"31"	"0"	"3"	"62"	"4"	"18"	"2"	"1"	"10"	"3"	"6"	"3"	"7"	"4"	"0"	"4"	"0"	"3"	"603"	"0"	"603"	"0"
"36"	"28"	"342"	"43"	"2"	"0"	"0"	"0"	"0"	"26"	"1"	"0"	"0"	"0"	"7"	"0"	"1"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"427"	"0"	"427"	"0"
"37"	"l hV  dk
; ksx"	"3112"	"1053"	"145"	"93"	"245"	"14"	"24"	"627"	"64"	"50"	"46"	"19"	"92"	"55"	"50"	"191"	"125"	"41"	"5"	"13"	"13"	"32"	"6109"	"0"	"6109"	"0"
"38"	"d qy  &"	"5004"	"3591"	"400"	"186"	"423"	"38"	"51"	"1127"	"140"	"94"	"78"	"42"	"131"	"107"	"121"	"379"	"229"	"108"	"26"	"41"	"42"	"97"	"12455"	"0"	"12455"	"0"
"39"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"40"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"42"	"i woZ  dk
; ksx&"	"5004"	"3591"	"400"	"186"	"423"	"38"	"51"	"1127"	"140"	"94"	"78"	"42"	"131"	"107"	"121"	"379"	"229"	"108"	"26"	"41"	"42"	"97"	"12455"	"0"	"12455"	"0"
"43"	"29"	"359"	"13"	"10"	"2"	"39"	"2"	"4"	"76"	"11"	"2"	"1"	"0"	"0"	"3"	"2"	"43"	"22"	"2"	"2"	"1"	"0"	"3"	"597"	"0"	"597"	"0"
"44"	"30"	"102"	"131"	"12"	"1"	"2"	"1"	"1"	"43"	"5"	"1"	"0"	"5"	"1"	"1"	"5"	"10"	"3"	"2"	"1"	"2"	"0"	"2"	"331"	"0"	"331"	"0"
"45"	"31"	"91"	"79"	"8"	"1"	"11"	"3"	"1"	"40"	"3"	"34"	"0"	"0"	"1"	"5"	"12"	"0"	"4"	"3"	"3"	"3"	"0"	"2"	"304"	"0"	"304"	"0"
"46"	"32"	"335"	"48"	"8"	"6"	"4"	"2"	"1"	"34"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"7"	"13"	"2"	"1"	"1"	"2"	"0"	"469"	"0"	"469"	"0"
"47"	"33"	"394"	"42"	"78"	"12"	"16"	"1"	"5"	"84"	"5"	"19"	"1"	"1"	"0"	"1"	"4"	"6"	"11"	"5"	"1"	"3"	"1"	"1"	"691"	"0"	"691"	"0"
"48"	"34"	"575"	"19"	"28"	"0"	"7"	"2"	"1"	"38"	"10"	"4"	"0"	"0"	"2"	"2"	"0"	"1"	"3"	"2"	"1"	"0"	"0"	"5"	"700"	"0"	"700"	"0"
"49"	"35"	"394"	"18"	"13"	"1"	"2"	"0"	"1"	"51"	"4"	"3"	"0"	"1"	"2"	"5"	"5"	"25"	"18"	"0"	"1"	"1"	"1"	"0"	"546"	"0"	"546"	"0"
"50"	"36"	"325"	"43"	"10"	"2"	"10"	"1"	"1"	"36"	"5"	"4"	"3"	"0"	"3"	"1"	"1"	"8"	"7"	"0"	"0"	"0"	"0"	"1"	"461"	"0"	"461"	"0"
"51"	"37"	"313"	"96"	"72"	"3"	"14"	"4"	"0"	"43"	"6"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"0"	"2"	"3"	"0"	"2"	"565"	"0"	"565"	"0"
"52"	"38"	"163"	"143"	"23"	"6"	"88"	"4"	"5"	"31"	"8"	"6"	"3"	"5"	"6"	"9"	"15"	"43"	"17"	"9"	"7"	"1"	"3"	"6"	"601"	"0"	"601"	"0"
"53"	"39"	"127"	"145"	"5"	"12"	"29"	"1"	"1"	"15"	"1"	"4"	"12"	"1"	"41"	"7"	"10"	"8"	"3"	"1"	"1"	"1"	"1"	"2"	"428"	"0"	"428"	"0"
"54"	"40"	"313"	"129"	"12"	"36"	"21"	"0"	"0"	"51"	"4"	"3"	"2"	"2"	"29"	"2"	"1"	"2"	"10"	"8"	"0"	"3"	"4"	"3"	"635"	"0"	"635"	"0"
"55"	"41"	"352"	"135"	"15"	"23"	"17"	"3"	"1"	"37"	"3"	"5"	"14"	"4"	"16"	"3"	"7"	"13"	"1"	"6"	"0"	"4"	"1"	"3"	"663"	"0"	"663"	"0"
"56"	"42"	"113"	"91"	"13"	"1"	"4"	"0"	"0"	"28"	"3"	"1"	"3"	"1"	"1"	"5"	"1"	"5"	"10"	"7"	"0"	"3"	"1"	"4"	"295"	"0"	"295"	"0"
