"TOTAL.NO.OF.ELECTORS.IN.97.PAROO.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	221188	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"3"	1	"130"	"266"	"27"	"8"	"6"	"2"	"3"	"5"	"8"	"15"	"13"	"30"	"513"	""	""	""
"4"	2	"190"	"306"	"5"	"16"	"7"	"2"	"1"	"3"	"2"	"9"	"11"	"12"	"564"	""	""	""
"5"	3	"29"	"404"	"3"	"2"	"4"	"0"	"0"	"0"	"0"	"4"	"0"	"2"	"448"	""	""	""
"6"	4	"47"	"3"	"27"	"4"	"0"	"0"	"1"	"2"	"0"	"1"	"5"	"4"	"94"	""	""	""
"7"	5	"187"	"77"	"3"	"5"	"3"	"0"	"1"	"1"	"3"	"5"	"7"	"15"	"307"	""	""	""
"8"	6	"255"	"244"	"11"	"9"	"2"	"4"	"3"	"3"	"5"	"11"	"15"	"24"	"586"	""	""	""
"9"	7	"101"	"232"	"3"	"2"	"0"	"0"	"1"	"0"	"1"	"6"	"9"	"6"	"361"	""	""	""
"10"	8	"64"	"227"	"5"	"2"	"1"	"1"	"2"	"0"	"2"	"8"	"4"	"5"	"321"	""	""	""
"11"	9	"266"	"276"	"21"	"0"	"10"	"5"	"4"	"2"	"2"	"8"	"3"	"4"	"601"	""	""	""
"12"	10	"228"	"117"	"4"	"4"	"4"	"1"	"3"	"2"	"3"	"5"	"18"	"34"	"423"	""	""	""
"13"	11	"527"	"87"	"4"	"8"	"0"	"0"	"2"	"1"	"0"	"2"	"3"	"6"	"640"	""	""	""
"14"	12	"299"	"91"	"93"	"6"	"3"	"4"	"3"	"6"	"4"	"12"	"6"	"21"	"548"	""	""	""
"15"	13	"123"	"141"	"94"	"8"	"2"	"1"	"4"	"0"	"3"	"8"	"1"	"0"	"385"	""	""	""
"16"	14	"179"	"64"	"45"	"1"	"3"	"1"	"2"	"3"	"1"	"9"	"5"	"5"	"318"	""	""	""
"17"	15	"332"	"39"	"64"	"11"	"2"	"4"	"2"	"1"	"1"	"4"	"2"	"2"	"464"	""	""	""
"18"	16	"265"	"119"	"7"	"18"	"5"	"2"	"2"	"0"	"1"	"3"	"8"	"9"	"439"	""	""	""
"19"	17	"172"	"32"	"58"	"28"	"3"	"1"	"0"	"0"	"0"	"3"	"1"	"2"	"300"	""	""	""
"20"	18	"199"	"143"	"36"	"17"	"4"	"0"	"4"	"0"	"1"	"0"	"4"	"16"	"424"	""	""	""
"21"	19	"153"	"268"	"69"	"11"	"7"	"4"	"5"	"3"	"6"	"11"	"18"	"11"	"566"	""	""	""
"22"	20	"290"	"197"	"12"	"6"	"3"	"0"	"1"	"1"	"2"	"3"	"5"	"11"	"531"	""	""	""
"23"	21	"299"	"116"	"8"	"3"	"0"	"3"	"3"	"1"	"1"	"5"	"9"	"18"	"466"	""	""	""
"24"	22	"271"	"45"	"10"	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"335"	""	""	""
"25"	23	"310"	"184"	"23"	"4"	"2"	"1"	"1"	"0"	"6"	"8"	"3"	"11"	"553"	""	""	""
"26"	24	"304"	"158"	"7"	"5"	"3"	"1"	"3"	"2"	"3"	"5"	"8"	"32"	"531"	""	""	""
"27"	25	"261"	"166"	"26"	"8"	"1"	"3"	"2"	"2"	"3"	"9"	"6"	"13"	"500"	""	""	""
"28"	26	"155"	"188"	"5"	"5"	"3"	"0"	"0"	"4"	"1"	"6"	"7"	"12"	"386"	""	""	""
"29"	27	"242"	"216"	"44"	"3"	"7"	"0"	"2"	"2"	"5"	"7"	"12"	"15"	"555"	""	""	""
"30"	28	"184"	"50"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"246"	""	""	""
"31"	29	"207"	"29"	"4"	"4"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"9"	"258"	""	""	""
"32"	30	"179"	"245"	"8"	"10"	"3"	"0"	"2"	"2"	"2"	"2"	"7"	"13"	"473"	""	""	""
"33"	31	"400"	"109"	"10"	"4"	"6"	"1"	"1"	"1"	"1"	"5"	"11"	"25"	"574"	""	""	""
"34"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	221188	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
