"X.....................................................................................................................................................................................................Tabulation.of.Result.by.Additional.Counting.Staff......................................................................................................................................................................................................"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  145 S.Kamal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"4"	""	"Anil Chaudhary"	"Amita Bhushan"	"Chandrash ekhar Mahto"	"Dr. Monazir Hassan"	"Shatrughn a Prasad Singh"	"Kishori Prasad Mahto"	"Ram Sah"	"Amiya Kashyap 'Bikki'"	"Arun Kumar"	"Ashok Sah"	"Dilip Kumar"	"Narendra Kumar Singh"	"Narayan Prasad Hisariya"	"Ranjeet Paswan"	"Radha Raman Paswan"	"Ram Dayal Bharti"	"Ram Naresh Prasad Singh"	"Ramshray a Nishad"	"Sajjan Chaudhary"	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"6"	"1"	"257"	"12"	"10"	"71"	"14"	"5"	"4"	"0"	"1"	"3"	"4"	"33"	"5"	"4"	"4"	"20"	"29"	"5"	"7"	"488"	"0"	"488"	"0"
"7"	"2"	"156"	"24"	"2"	"56"	"20"	"5"	"2"	"1"	"4"	"3"	"10"	"59"	"8"	"2"	"1"	"8"	"10"	"0"	"3"	"374"	"0"	"374"	"0"
"8"	"3"	"168"	"12"	"1"	"71"	"44"	"2"	"0"	"3"	"3"	"5"	"10"	"77"	"8"	"3"	"8"	"36"	"5"	"2"	"2"	"460"	"0"	"460"	"0"
"9"	"4"	"152"	"9"	"0"	"35"	"12"	"2"	"0"	"2"	"0"	"1"	"3"	"11"	"2"	"1"	"0"	"9"	"9"	"3"	"6"	"257"	"0"	"257"	"0"
"10"	"5"	"70"	"16"	"2"	"79"	"48"	"2"	"1"	"0"	"1"	"0"	"2"	"18"	"3"	"1"	"4"	"9"	"10"	"6"	"5"	"277"	"0"	"277"	"0"
"11"	"6"	"469"	"11"	"5"	"45"	"13"	"2"	"1"	"0"	"1"	"3"	"6"	"1"	"1"	"0"	"4"	"16"	"27"	"5"	"5"	"615"	"0"	"615"	"0"
"12"	"7"	"90"	"24"	"6"	"233"	"36"	"6"	"1"	"2"	"2"	"3"	"10"	"11"	"20"	"4"	"8"	"16"	"5"	"3"	"6"	"486"	"0"	"486"	"0"
"13"	"8"	"137"	"12"	"2"	"29"	"18"	"3"	"0"	"1"	"2"	"0"	"2"	"19"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"229"	"0"	"229"	"0"
"14"	"9"	"165"	"57"	"0"	"182"	"113"	"8"	"3"	"4"	"3"	"5"	"11"	"48"	"6"	"2"	"8"	"28"	"7"	"4"	"3"	"657"	"0"	"657"	"0"
"15"	"10"	"260"	"15"	"3"	"190"	"15"	"5"	"3"	"0"	"3"	"2"	"6"	"30"	"1"	"1"	"7"	"15"	"18"	"18"	"15"	"607"	"0"	"607"	"0"
"16"	"11"	"128"	"12"	"5"	"75"	"35"	"0"	"1"	"0"	"2"	"3"	"5"	"37"	"2"	"0"	"0"	"3"	"8"	"4"	"3"	"323"	"0"	"323"	"0"
"17"	"12"	"114"	"51"	"0"	"187"	"23"	"1"	"0"	"0"	"1"	"0"	"2"	"46"	"5"	"1"	"0"	"3"	"5"	"1"	"2"	"442"	"0"	"442"	"0"
"18"	"13"	"55"	"72"	"2"	"73"	"12"	"3"	"7"	"0"	"1"	"0"	"4"	"18"	"4"	"7"	"3"	"9"	"2"	"1"	"1"	"274"	"0"	"274"	"0"
"19"	"14"	"77"	"22"	"8"	"439"	"19"	"4"	"3"	"3"	"3"	"2"	"4"	"10"	"9"	"5"	"11"	"12"	"5"	"3"	"1"	"640"	"0"	"640"	"0"
"20"	"15"	"220"	"46"	"18"	"89"	"33"	"4"	"2"	"3"	"8"	"7"	"10"	"55"	"4"	"3"	"8"	"43"	"16"	"5"	"5"	"579"	"0"	"579"	"0"
"21"	"16"	"76"	"42"	"2"	"139"	"28"	"1"	"9"	"0"	"4"	"2"	"0"	"5"	"4"	"2"	"6"	"14"	"2"	"1"	"0"	"337"	"0"	"337"	"0"
"22"	"17"	"66"	"60"	"3"	"84"	"8"	"2"	"1"	"0"	"5"	"2"	"5"	"4"	"4"	"0"	"6"	"22"	"15"	"9"	"13"	"309"	"0"	"309"	"0"
"23"	"18"	"88"	"84"	"6"	"269"	"32"	"2"	"1"	"6"	"3"	"0"	"5"	"10"	"17"	"5"	"9"	"19"	"5"	"7"	"4"	"572"	"0"	"572"	"0"
