"Total.No..of.Electors.in.Assembly.Constituency.Segment..222459"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Name of the Assembly/segment- 122-SONEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No…1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"9"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"Kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"11"	"1"	"57"	"255"	"49"	"4"	"0"	"1"	"5"	"0"	"1"	"0"	"1"	"2"	"375"	"0"	"375"	"0"
"12"	"2"	"17"	"571"	"8"	"0"	"0"	"1"	"3"	"1"	"0"	"0"	"8"	"5"	"614"	"0"	"614"	"0"
"13"	"3"	"134"	"205"	"46"	"5"	"1"	"0"	"2"	"1"	"0"	"0"	"2"	"2"	"398"	"0"	"398"	"0"
"14"	"4"	"97"	"181"	"62"	"1"	"6"	"2"	"2"	"0"	"2"	"1"	"4"	"7"	"365"	"0"	"365"	"0"
"15"	"5"	"243"	"71"	"9"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"326"	"0"	"326"	"0"
"16"	"6"	"342"	"181"	"11"	"2"	"1"	"1"	"4"	"2"	"3"	"1"	"5"	"10"	"563"	"0"	"563"	"0"
"17"	"7"	"91"	"200"	"14"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"312"	"0"	"312"	"0"
"18"	"8"	"196"	"301"	"129"	"7"	"5"	"6"	"9"	"2"	"2"	"2"	"4"	"5"	"668"	"0"	"668"	"0"
"19"	"9"	"319"	"296"	"89"	"3"	"3"	"2"	"9"	"3"	"2"	"6"	"9"	"17"	"758"	"0"	"758"	"0"
"20"	"10"	"187"	"224"	"33"	"4"	"1"	"1"	"3"	"3"	"2"	"6"	"13"	"10"	"487"	"0"	"487"	"0"
"21"	"11"	"28"	"477"	"17"	"0"	"2"	"0"	"8"	"2"	"0"	"3"	"9"	"13"	"559"	"0"	"559"	"0"
"22"	"12"	"224"	"362"	"32"	"2"	"0"	"3"	"3"	"2"	"5"	"2"	"10"	"4"	"649"	"0"	"649"	"0"
"23"	"13"	"116"	"176"	"73"	"6"	"4"	"1"	"9"	"3"	"2"	"2"	"4"	"5"	"401"	"0"	"401"	"0"
"24"	"14"	"162"	"233"	"21"	"2"	"2"	"6"	"1"	"2"	"1"	"3"	"10"	"28"	"471"	"0"	"471"	"0"
"25"	"Total"	"2213"	"3733"	"593"	"38"	"26"	"24"	"60"	"22"	"20"	"26"	"82"	"109"	"6946"	"0"	"6946"	"0"
"26"	"B.F."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"27"	"G. Total"	"2213"	"3733"	"593"	"38"	"26"	"24"	"60"	"22"	"20"	"26"	"82"	"109"	"6946"	"0"	"6946"	"0"
"28"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Total No. of Electors in Assembly Constituency/Segment- 222459"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Name of the Assembly/segment- 122-SONEPUR                                                                                                                                                                                                                                                                  Round No…2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"38"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"Kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"39"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"40"	"15"	"125"	"306"	"41"	"2"	"1"	"4"	"6"	"3"	"2"	"3"	"9"	"12"	"514"	"0"	"514"	"0"
"41"	"16"	"148"	"224"	"14"	"1"	"3"	"1"	"6"	"3"	"4"	"3"	"14"	"10"	"431"	"0"	"431"	"0"
"42"	"17"	"134"	"223"	"40"	"7"	"2"	"4"	"2"	"0"	"2"	"2"	"5"	"1"	"422"	"0"	"422"	"0"
"43"	"18"	"894"	"98"	"15"	"1"	"0"	"2"	"7"	"0"	"0"	"0"	"2"	"3"	"1022"	"0"	"1022"	"0"
"44"	"19"	"439"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"451"	"0"	"451"	"0"
"45"	"20"	"338"	"131"	"4"	"5"	"2"	"0"	"1"	"2"	"0"	"0"	"3"	"1"	"487"	"0"	"487"	"0"
"46"	"21"	"134"	"60"	"39"	"3"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"240"	"0"	"240"	"0"
"47"	"22"	"702"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"712"	"0"	"712"	"0"
"48"	"23"	"572"	"44"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"621"	"0"	"621"	"0"
"49"	"24"	"761"	"101"	"6"	"1"	"0"	"2"	"1"	"0"	"2"	"1"	"2"	"1"	"878"	"0"	"878"	"0"
"50"	"25"	"498"	"83"	"8"	"2"	"0"	"0"	"4"	"3"	"0"	"1"	"2"	"4"	"605"	"0"	"605"	"0"
"51"	"26"	"207"	"211"	"29"	"2"	"3"	"0"	"5"	"3"	"2"	"0"	"1"	"4"	"467"	"0"	"467"	"0"
"52"	"27"	"108"	"62"	"73"	"3"	"3"	"1"	"6"	"2"	"5"	"7"	"7"	"18"	"295"	"0"	"295"	"0"
"53"	"28"	"208"	"100"	"7"	"3"	"4"	"3"	"11"	"4"	"7"	"6"	"2"	"1"	"356"	"0"	"356"	"0"
"54"	"Total"	"5268"	"1663"	"277"	"31"	"18"	"19"	"50"	"20"	"25"	"24"	"48"	"58"	"7501"	"0"	"7501"	"0"
"55"	"B.F."	"2213"	"3733"	"593"	"38"	"26"	"24"	"60"	"22"	"20"	"26"	"82"	"109"	"6946"	"0"	"6946"	"0"
"56"	"G. Total"	"7481"	"5396"	"870"	"69"	"44"	"43"	"110"	"42"	"45"	"50"	"130"	"167"	"14447"	"0"	"14447"	"0"
"57"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"T SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Total No. of Electors in Assembly Constituency/Segment- 222459"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Name of the Assembly/segment- 122-SONEPUR                                                                                                                                                                                                                                                                  Round No..3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"67"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"Kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"69"	"29"	"419"	"175"	"13"	"6"	"0"	"0"	"6"	"2"	"6"	"2"	"3"	"7"	"639"	"0"	"639"	"0"
"70"	"30"	"168"	"45"	"41"	"1"	"1"	"0"	"0"	"3"	"0"	"2"	"1"	"6"	"268"	"0"	"268"	"0"
"71"	"31"	"44"	"298"	"13"	"1"	"1"	"1"	"4"	"1"	"1"	"0"	"4"	"3"	"371"	"0"	"371"	"0"
"72"	"32"	"145"	"146"	"10"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"5"	"7"	"317"	"0"	"317"	"0"
"73"	"33"	"94"	"236"	"34"	"1"	"3"	"0"	"1"	"2"	"4"	"1"	"7"	"7"	"390"	"0"	"390"	"0"
"74"	"34"	"109"	"284"	"9"	"1"	"0"	"1"	"4"	"2"	"0"	"2"	"8"	"6"	"426"	"0"	"426"	"0"
"75"	"35"	"209"	"313"	"54"	"6"	"2"	"2"	"18"	"4"	"7"	"3"	"8"	"11"	"637"	"0"	"637"	"0"
"76"	"36"	"232"	"294"	"66"	"8"	"6"	"8"	"10"	"7"	"5"	"5"	"7"	"5"	"653"	"0"	"653"	"0"
"77"	"37"	"79"	"509"	"3"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"596"	"0"	"596"	"0"
"78"	"38"	"262"	"198"	"38"	"4"	"1"	"4"	"7"	"6"	"2"	"0"	"4"	"9"	"535"	"0"	"535"	"0"
"79"	"39"	"238"	"290"	"31"	"7"	"2"	"1"	"7"	"4"	"1"	"2"	"6"	"1"	"590"	"0"	"590"	"0"
"80"	"40"	"310"	"247"	"98"	"7"	"2"	"2"	"6"	"2"	"5"	"1"	"4"	"6"	"690"	"0"	"690"	"0"
"81"	"41"	"284"	"190"	"45"	"2"	"0"	"2"	"5"	"2"	"4"	"0"	"4"	"1"	"539"	"0"	"539"	"0"
"82"	"42"	"410"	"117"	"78"	"2"	"1"	"3"	"4"	"1"	"2"	"2"	"3"	"6"	"629"	"0"	"629"	"0"
"83"	"Total"	"3003"	"3342"	"533"	"47"	"19"	"26"	"72"	"38"	"39"	"21"	"64"	"76"	"7280"	"0"	"7280"	"0"
"84"	"B.F."	"7481"	"5396"	"870"	"69"	"44"	"43"	"110"	"42"	"45"	"50"	"130"	"167"	"14447"	"0"	"14447"	"0"
"85"	"G. Total"	"10484"	"8738"	"1403"	"116"	"63"	"69"	"182"	"80"	"84"	"71"	"194"	"243"	"21727"	"0"	"21727"	"0"
"86"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
