"X."	"X..1"	"No..of.valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21              22              23              24              25              26              27"	""	""	""	""	""	""
"3"	"1"	"1"	"21"	"84"	"18"	"14"	"5"	"7"	"1"	"4"	"6"	"0"	"2"	"2"	"2"	"10"	"7"	"5"	"81"	"6"	"3"	"7"	"11"	"296"	"0"	"296"	"0"
"4"	"2"	"2"	"5"	"286"	"5"	"55"	"10"	"0"	"0"	"3"	"2"	"2"	"1"	"4"	"5"	"4"	"22"	"10"	"4"	"5"	"1"	"1"	"4"	"429"	"0"	"429"	"0"
"5"	"3"	"3"	"3"	"209"	"4"	"15"	"2"	"2"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"0"	"6"	"4"	"2"	"4"	"0"	"0"	"0"	"257"	"0"	"257"	"0"
"6"	"4"	"4"	"1"	"263"	"5"	"136"	"4"	"2"	"0"	"4"	"0"	"2"	"0"	"0"	"2"	"0"	"1"	"3"	"4"	"0"	"1"	"4"	"3"	"435"	"0"	"435"	"0"
"7"	"5"	"5"	"7"	"1"	"0"	"5"	"2"	"2"	"1"	"1"	"0"	"1"	"1"	"66"	"5"	"2"	"4"	"3"	"121"	"2"	"2"	"2"	"2"	"230"	"0"	"230"	"0"
"8"	"6"	"6"	"10"	"82"	"6"	"9"	"6"	"11"	"3"	"0"	"1"	"0"	"19"	"12"	"2"	"3"	"5"	"14"	"101"	"15"	"3"	"7"	"14"	"323"	"0"	"323"	"0"
"9"	"7"	"7"	"13"	"223"	"56"	"49"	"12"	"15"	"2"	"2"	"11"	"3"	"11"	"16"	"16"	"9"	"21"	"15"	"28"	"4"	"4"	"4"	"6"	"520"	"0"	"520"	"0"
"10"	"8"	"8"	"18"	"30"	"25"	"6"	"5"	"9"	"4"	"0"	"4"	"3"	"1"	"74"	"0"	"8"	"4"	"4"	"91"	"25"	"12"	"8"	"14"	"345"	"0"	"345"	"0"
"11"	"9"	"9"	"29"	"106"	"55"	"141"	"17"	"9"	"1"	"8"	"7"	"6"	"9"	"27"	"13"	"9"	"8"	"9"	"87"	"7"	"6"	"7"	"20"	"581"	"0"	"581"	"0"
"12"	"10"	"10"	"10"	"119"	"2"	"51"	"8"	"3"	"1"	"0"	"1"	"46"	"2"	"5"	"1"	"1"	"3"	"5"	"53"	"4"	"2"	"1"	"5"	"323"	"0"	"323"	"0"
"13"	"11"	"11"	"6"	"15"	"15"	"31"	"0"	"4"	"1"	"2"	"0"	"2"	"4"	"40"	"0"	"4"	"0"	"2"	"253"	"1"	"0"	"3"	"2"	"385"	"0"	"385"	"0"
"14"	"12"	"12"	"12"	"67"	"45"	"104"	"14"	"3"	"20"	"4"	"0"	"13"	"0"	"22"	"3"	"6"	"1"	"4"	"47"	"3"	"4"	"2"	"7"	"381"	"0"	"381"	"0"
"15"	"13"	"13"	"13"	"195"	"7"	"58"	"14"	"3"	"0"	"0"	"0"	"3"	"6"	"6"	"5"	"3"	"7"	"3"	"26"	"0"	"3"	"2"	"3"	"357"	"0"	"357"	"0"
"16"	"14"	"14"	"17"	"61"	"47"	"70"	"12"	"6"	"0"	"4"	"7"	"5"	"2"	"54"	"12"	"13"	"4"	"15"	"114"	"7"	"2"	"2"	"9"	"463"	"0"	"463"	"0"
"17"	"ROUND-1"	""	"165"	"1741"	"290"	"744"	"111"	"76"	"34"	"32"	"39"	"88"	"62"	"328"	"66"	"72"	"93"	"96"	"1012"	"83"	"43"	"50"	"100"	"5325"	"0"	"5325"	"0"
"18"	"Place - Nawada
Date -            25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"22"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21              22              23              24              25              26              27"	""	""	""	""	""	""
"23"	"1"	"15"	"12"	"50"	"2"	"12"	"4"	"2"	"1"	"1"	"6"	"6"	"9"	"45"	"1"	"4"	"4"	"3"	"30"	"11"	"1"	"2"	"7"	"213"	"0"	"213"	"0"
"24"	"2"	"16"	"16"	"29"	"36"	"17"	"11"	"2"	"1"	"1"	"5"	"8"	"40"	"64"	"7"	"5"	"4"	"20"	"82"	"11"	"4"	"25"	"31"	"419"	"0"	"419"	"0"
"25"	"3"	"17"	"4"	"8"	"1"	"53"	"4"	"1"	"0"	"2"	"7"	"1"	"3"	"20"	"1"	"0"	"1"	"9"	"48"	"1"	"1"	"1"	"0"	"166"	"0"	"166"	"0"
"26"	"4"	"18"	"3"	"38"	"30"	"60"	"7"	"4"	"1"	"2"	"2"	"10"	"108"	"15"	"6"	"8"	"5"	"7"	"19"	"2"	"5"	"6"	"7"	"345"	"0"	"345"	"0"
"27"	"5"	"19"	"12"	"22"	"22"	"40"	"4"	"8"	"0"	"2"	"1"	"11"	"0"	"11"	"2"	"2"	"3"	"6"	"41"	"1"	"0"	"3"	"4"	"195"	"0"	"195"	"0"
"28"	"6"	"20"	"27"	"55"	"3"	"67"	"2"	"2"	"0"	"2"	"1"	"4"	"1"	"27"	"2"	"0"	"1"	"3"	"46"	"3"	"3"	"0"	"3"	"252"	"0"	"252"	"0"
"29"	"7"	"21"	"13"	"92"	"4"	"88"	"7"	"1"	"2"	"1"	"0"	"8"	"3"	"50"	"9"	"7"	"6"	"20"	"7"	"1"	"1"	"0"	"4"	"324"	"0"	"324"	"0"
"30"	"8"	"22"	"3"	"50"	"19"	"63"	"3"	"1"	"0"	"14"	"3"	"31"	"3"	"11"	"8"	"4"	"6"	"5"	"3"	"1"	"0"	"0"	"2"	"230"	"0"	"230"	"0"
"31"	"9"	"23"	"7"	"33"	"30"	"176"	"13"	"0"	"1"	"4"	"1"	"3"	"2"	"76"	"3"	"9"	"0"	"9"	"3"	"0"	"2"	"2"	"0"	"374"	"0"	"374"	"0"
"32"	"10"	"24"	"5"	"63"	"5"	"138"	"8"	"0"	"1"	"2"	"0"	"8"	"1"	"15"	"3"	"2"	"1"	"1"	"2"	"0"	"1"	"2"	"3"	"261"	"0"	"261"	"0"
"33"	"11"	"25"	"10"	"100"	"4"	"174"	"28"	"0"	"0"	"3"	"1"	"10"	"6"	"4"	"10"	"9"	"4"	"4"	"7"	"2"	"1"	"2"	"2"	"381"	"0"	"381"	"0"
"34"	"12"	"26"	"3"	"111"	"31"	"32"	"21"	"8"	"1"	"1"	"8"	"4"	"1"	"61"	"2"	"7"	"4"	"7"	"95"	"5"	"4"	"4"	"6"	"416"	"0"	"416"	"0"
"35"	"13"	"27"	"5"	"183"	"4"	"90"	"26"	"7"	"2"	"0"	"1"	"5"	"3"	"31"	"9"	"3"	"6"	"18"	"74"	"4"	"1"	"3"	"6"	"481"	"0"	"481"	"0"
"36"	"14"	"28"	"0"	"5"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"96"	"1"	"2"	"0"	"3"	"64"	"1"	"0"	"0"	"3"	"179"	"0"	"179"	"0"
