"X.v...k....XIV..i.kj.k.26.9.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"QkeZ & 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v afr e  i fj . kke  Ik="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[fu; e  56 C (2) nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"34&l kl kj ke l al nh;  fuokZpu {ks= l s yksd  l Hkk ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"fo/kku l Hkk fuokZpu {ks= esa fuokZpdksa dh dqy  l a[ ; k 233210"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 207&psukj h  ¼v ñt kñ½  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"9"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"14"	"5"	"3"	"10"	"1"	"165"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"184"	""	"184"	""
"15"	"6"	"21"	"35"	"16"	"237"	"9"	"7"	"1"	"1"	"2"	"0"	"2"	"4"	"4"	"16"	"5"	"11"	"371"	""	"371"	""
"16"	"7"	"0"	"51"	"2"	"189"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"245"	""	"245"	""
"17"	"8"	"66"	"174"	"102"	"139"	"1"	"20"	"1"	"1"	"2"	"1"	"0"	"1"	"5"	"4"	"3"	"5"	"525"	""	"525"	""
"18"	"9"	"62"	"78"	"242"	"71"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"1"	"2"	"463"	""	"463"	""
"19"	"10"	"22"	"219"	"196"	"45"	"3"	"2"	"0"	"4"	"2"	"3"	"0"	"1"	"7"	"2"	"1"	"8"	"515"	""	"515"	""
"20"	"11"	"74"	"275"	"27"	"23"	"3"	"12"	"0"	"1"	"2"	"1"	"3"	"1"	"4"	"3"	"2"	"4"	"435"	""	"435"	""
"21"	"12"	"206"	"76"	"43"	"28"	"0"	"3"	"1"	"2"	"0"	"0"	"1"	"1"	"5"	"9"	"11"	"29"	"415"	""	"415"	""
"22"	"13"	"9"	"121"	"57"	"14"	"3"	"1"	"1"	"1"	"0"	"2"	"2"	"4"	"1"	"2"	"4"	"7"	"229"	""	"229"	""
"23"	"14"	"175"	"102"	"88"	"79"	"2"	"1"	"3"	"1"	"0"	"3"	"3"	"4"	"7"	"6"	"4"	"19"	"497"	""	"497"	""
"24"	"TOTAL"	"638"	"1141"	"774"	"990"	"25"	"46"	"8"	"11"	"9"	"10"	"11"	"16"	"37"	"46"	"31"	"86"	"3879"	"0"	"3879"	"0"
"25"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 207&psukj h  ¼v ñt kñ½  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"27"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"28"	"BF"	"638"	"1141"	"774"	"990"	"25"	"46"	"8"	"11"	"9"	"10"	"11"	"16"	"37"	"46"	"31"	"86"	"3879"	"0"	"3879"	"0"
"29"	"15"	"38"	"142"	"69"	"122"	"4"	"7"	"2"	"1"	"1"	"1"	"2"	"0"	"0"	"1"	"1"	"2"	"393"	""	"393"	""
"30"	"16"	"216"	"71"	"48"	"71"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"4"	"7"	"10"	"433"	""	"433"	""
"31"	"17"	"44"	"153"	"34"	"116"	"1"	"4"	"1"	"0"	"1"	"2"	"2"	"0"	"7"	"4"	"6"	"2"	"377"	""	"377"	""
"32"	"18"	"84"	"141"	"99"	"82"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"413"	""	"413"	""
"33"	"19"	"21"	"111"	"22"	"95"	"8"	"5"	"64"	"2"	"1"	"0"	"1"	"0"	"2"	"5"	"1"	"6"	"344"	""	"344"	""
"34"	"20"	"16"	"101"	"59"	"172"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"357"	""	"357"	""
"35"	"21"	"66"	"319"	"31"	"19"	"1"	"14"	"1"	"1"	"2"	"1"	"3"	"0"	"1"	"0"	"1"	"4"	"464"	""	"464"	""
"36"	"22"	"3"	"83"	"7"	"69"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"4"	"1"	"3"	"175"	""	"175"	""
"37"	"23"	"55"	"333"	"50"	"92"	"3"	"7"	"4"	"3"	"2"	"1"	"2"	"2"	"2"	"5"	"1"	"7"	"569"	""	"569"	""
"38"	"24"	"2"	"113"	"10"	"109"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"1"	"0"	"242"	""	"242"	""
"39"	"25"	"119"	"211"	"32"	"161"	"3"	"0"	"3"	"1"	"1"	"0"	"0"	"4"	"3"	"4"	"4"	"4"	"550"	""	"550"	""
"40"	"26"	"62"	"223"	"46"	"122"	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"5"	"2"	"4"	"472"	""	"472"	""
"41"	"27"	"10"	"426"	"36"	"46"	"8"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"5"	"2"	"7"	"544"	""	"544"	""
"42"	"28"	"53"	"202"	"28"	"13"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"304"	""	"304"	""
"43"	"TOTAL"	"1427"	"3770"	"1345"	"2279"	"64"	"84"	"86"	"21"	"20"	"20"	"24"	"27"	"59"	"88"	"61"	"141"	"9516"	"0"	"9516"	"0"
"44"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 207&psukj h  ¼v ñt kñ½  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"46"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"47"	"BF"	"1427"	"3770"	"1345"	"2279"	"64"	"84"	"86"	"21"	"20"	"20"	"24"	"27"	"59"	"88"	"61"	"141"	"9516"	"0"	"9516"	"0"
"48"	"29"	"15"	"62"	"55"	"12"	"6"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	""	"154"	""
"49"	"30"	"39"	"222"	"117"	"138"	"25"	"4"	"5"	"2"	"2"	"2"	"2"	"4"	"4"	"9"	"4"	"20"	"599"	""	"599"	""
"50"	"31"	"25"	"46"	"81"	"49"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	""	"202"	""
"51"	"32"	"22"	"228"	"89"	"74"	"7"	"1"	"1"	"2"	"2"	"2"	"1"	"0"	"10"	"1"	"4"	"7"	"451"	""	"451"	""
"52"	"33"	"193"	"207"	"100"	"126"	"5"	"5"	"4"	"2"	"3"	"1"	"0"	"3"	"4"	"3"	"1"	"5"	"662"	""	"662"	""
"53"	"34"	"11"	"210"	"64"	"147"	"8"	"1"	"3"	"2"	"0"	"2"	"2"	"2"	"6"	"16"	"5"	"9"	"488"	""	"488"	""
