"TOTAL.NO.OF.ELECTORS.IN.89..AURAI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X225836"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"1"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"2"	"1"	""	""	"107"	"33"	"57"	""	"7"	"2"	"4"	"2"	"1"	"6"	"14"	"3"	"0"	"2"	"8"	"10"	"25"	"5"	"41"	"2"	"24"	"1"	"3"	"4"	"6"	"367"	""	""	""
"3"	"2"	""	""	"189"	"61"	"21"	""	"5"	"1"	"1"	"4"	"2"	"2"	"3"	"0"	"1"	"5"	"4"	"5"	"5"	"32"	"22"	"3"	"58"	"9"	"8"	"3"	"5"	"449"	""	""	""
"4"	"3"	""	""	"96"	"67"	"19"	""	"2"	"1"	"1"	"3"	"3"	"6"	"16"	"1"	"3"	"6"	"11"	"11"	"27"	"7"	"72"	"1"	"15"	"4"	"1"	"7"	"12"	"392"	""	""	""
"5"	"4"	""	""	"314"	"33"	"47"	""	"0"	"2"	"2"	"0"	"1"	"1"	"15"	"0"	"2"	"3"	"4"	"7"	"16"	"23"	"126"	"6"	"23"	"3"	"1"	"4"	"5"	"638"	""	""	""
"6"	"5"	""	""	"69"	"60"	"19"	""	"4"	"0"	"3"	"2"	"3"	"4"	"5"	"1"	"3"	"1"	"7"	"6"	"2"	"13"	"36"	"5"	"282"	"4"	"2"	"1"	"8"	"540"	""	""	""
"7"	"6"	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""
"8"	"7"	""	""	"71"	"61"	"183"	""	"4"	"1"	"1"	"2"	"2"	"0"	"6"	"3"	"1"	"0"	"2"	"2"	"4"	"3"	"51"	"2"	"41"	"1"	"0"	"0"	"0"	"441"	""	""	""
"9"	"8"	""	""	"54"	"68"	"17"	""	"9"	"1"	"1"	"0"	"0"	"2"	"1"	"2"	"4"	"0"	"5"	"5"	"17"	"2"	"42"	"2"	"31"	"0"	"0"	"1"	"4"	"268"	""	""	""
"10"	"9"	""	""	"32"	"114"	"68"	""	"5"	"4"	"3"	"7"	"6"	"4"	"27"	"3"	"3"	"2"	"0"	"4"	"7"	"10"	"74"	"8"	"24"	"2"	"3"	"1"	"3"	"414"	""	""	""
"11"	"10"	""	""	"166"	"74"	"74"	""	"4"	"2"	"2"	"1"	"4"	"3"	"7"	"3"	"3"	"29"	"5"	"12"	"15"	"16"	"5"	"3"	"19"	"5"	"4"	"0"	"4"	"460"	""	""	""
"12"	"11"	""	""	"89"	"4"	"98"	""	"2"	"1"	"4"	"4"	"2"	"2"	"20"	"3"	"1"	"3"	"5"	"0"	"6"	"4"	"42"	"2"	"0"	"0"	"0"	"1"	"0"	"293"	""	""	""
"13"	"12"	""	""	"19"	"170"	"12"	""	"1"	"1"	"7"	"3"	"2"	"6"	"10"	"0"	"1"	"0"	"4"	"3"	"3"	"3"	"27"	"0"	"16"	"1"	"1"	"0"	"3"	"293"	""	""	""
"14"	"13"	""	""	"13"	"170"	"15"	""	"10"	"4"	"1"	"2"	"2"	"2"	"4"	"1"	"0"	"9"	"3"	"4"	"2"	"0"	"75"	"1"	"15"	"0"	"0"	"0"	"0"	"333"	""	""	""
"15"	"14"	""	""	"240"	"148"	"68"	""	"59"	"0"	"0"	"0"	"0"	"0"	"4"	"2"	"0"	"3"	"2"	"2"	"2"	"1"	"55"	"0"	"19"	"0"	"0"	"1"	"0"	"606"	""	""	""
"16"	"15"	""	""	"242"	"136"	"75"	""	"9"	"0"	"0"	"1"	"2"	"2"	"5"	"0"	"1"	"2"	"1"	"1"	"9"	"6"	"88"	"0"	"26"	"0"	"0"	"1"	"1"	"608"	""	""	""
"17"	"16"	""	""	"201"	"80"	"155"	""	"19"	"2"	"0"	"4"	"1"	"1"	"1"	"1"	"2"	"0"	"6"	"3"	"6"	"2"	"19"	"0"	"63"	"0"	"0"	"0"	"1"	"567"	""	""	""
"18"	"17"	""	""	"38"	"103"	"42"	""	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"5"	"0"	"0"	"1"	"1"	"197"	""	""	""
"19"	"18"	""	""	"45"	"125"	"55"	""	"7"	"1"	"4"	"6"	"4"	"3"	"10"	"3"	"0"	"3"	"6"	"7"	"26"	"3"	"10"	"3"	"3"	"0"	"1"	"2"	"6"	"333"	""	""	""
"20"	"19"	""	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""
"21"	"20"	""	""	"136"	"73"	"16"	""	"53"	"3"	"8"	"7"	"5"	"5"	"13"	"2"	"2"	"2"	"5"	"17"	"3"	"7"	"20"	"1"	"36"	"0"	"1"	"0"	"7"	"422"	""	""	""
"22"	"21"	""	""	"266"	"3"	"201"	""	"4"	"1"	"1"	"1"	"3"	"0"	"10"	"1"	"0"	"2"	"2"	"0"	"5"	"8"	"17"	"3"	"11"	"2"	"1"	"0"	"0"	"542"	""	""	""
"23"	"22"	""	""	"185"	"51"	"114"	""	"5"	"2"	"1"	"0"	"6"	"1"	"7"	"1"	"1"	"5"	"5"	"7"	"6"	"13"	"41"	"2"	"22"	"0"	"0"	"2"	"4"	"481"	""	""	""
