"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 8---SUPAUL CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :8---SUPAUL                                                                                                                                                                                                                                                                                            Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :44---Triveniganj(sc)                                                                                                                                                                                                                                                                                  \"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total Valid Votes -114690"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN KUMAR"	"SURYA NARAYAN YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"10"	"1"	"4"	"0"	"28"	"153"	"33"	"34"	"5"	"2"	"1"	"0"	"4"	"11"	"13"	"2"	"2"	"3"	"295"
"11"	"2"	"7"	"4"	"93"	"97"	"149"	"29"	"7"	"3"	"4"	"2"	"4"	"17"	"5"	"3"	"4"	"11"	"439"
"12"	"3"	"2"	"6"	"224"	"32"	"5"	"3"	"2"	"1"	"2"	"0"	"0"	"2"	"2"	"7"	"3"	"5"	"296"
"13"	"4"	"5"	"4"	"62"	"313"	"20"	"35"	"5"	"4"	"2"	"2"	"3"	"9"	"18"	"4"	"3"	"9"	"498"
"14"	"5"	"21"	"9"	"42"	"145"	"143"	"54"	"9"	"4"	"4"	"8"	"4"	"14"	"8"	"0"	"3"	"10"	"478"
"15"	"6"	"8"	"6"	"64"	"153"	"227"	"70"	"13"	"2"	"5"	"1"	"5"	"30"	"16"	"11"	"5"	"23"	"639"
"16"	"7"	"10"	"7"	"26"	"179"	"100"	"27"	"3"	"1"	"1"	"0"	"1"	"10"	"8"	"0"	"2"	"3"	"378"
"17"	"8"	"11"	"9"	"47"	"154"	"142"	"14"	"9"	"2"	"3"	"0"	"0"	"17"	"2"	"3"	"2"	"2"	"417"
"18"	"9"	"17"	"6"	"234"	"379"	"28"	"39"	"4"	"11"	"0"	"3"	"2"	"3"	"29"	"4"	"1"	"10"	"770"
"19"	"10"	"8"	"2"	"83"	"185"	"103"	"21"	"7"	"3"	"5"	"2"	"2"	"4"	"4"	"1"	"2"	"2"	"434"
"20"	"11"	"8"	"6"	"13"	"552"	"88"	"23"	"3"	"3"	"5"	"1"	"6"	"14"	"11"	"1"	"1"	"5"	"740"
