"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"10"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"11"	"1"	"93"	"92"	"2"	"1"	"3"	"15"	"2"	"0"	"0"	"4"	"4"	"3"	"0"	"0"	"7"	"5"	"231"	"0"	"231"	"0"	""
"12"	"2"	"28"	"132"	"6"	"2"	"5"	"30"	"4"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"7"	"7"	"227"	"0"	"227"	"0"	""
"13"	"3"	"58"	"84"	"11"	"1"	"0"	"22"	"3"	"0"	"2"	"0"	"2"	"2"	"1"	"0"	"2"	"6"	"194"	"0"	"194"	"0"	""
"14"	"4"	"12"	"202"	"10"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"230"	"0"	"230"	"0"	""
"15"	"5"	"6"	"188"	"5"	"2"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"3"	"3"	"213"	"0"	"213"	"0"	""
"16"	"6"	"41"	"63"	"0"	"1"	"0"	"17"	"4"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"130"	"0"	"130"	"0"	""
"17"	"7"	"33"	"427"	"12"	"1"	"3"	"0"	"2"	"1"	"1"	"3"	"1"	"0"	"3"	"2"	"12"	"2"	"503"	"0"	"503"	"0"	""
"18"	"8"	"77"	"154"	"3"	"3"	"2"	"9"	"3"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"6"	"261"	"0"	"261"	"0"	""
"19"	"9"	"13"	"121"	"5"	"3"	"3"	"47"	"6"	"4"	"1"	"0"	"2"	"0"	"3"	"1"	"2"	"6"	"217"	"0"	"217"	"0"	""
"20"	"10"	"18"	"261"	"50"	"5"	"1"	"16"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"6"	"5"	"6"	"373"	"0"	"373"	"0"	""
"21"	"11"	"88"	"64"	"43"	"1"	"1"	"132"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"4"	"1"	"8"	"349"	"0"	"349"	"0"	""
"22"	"12"	"78"	"274"	"17"	"3"	"2"	"1"	"2"	"0"	"2"	"1"	"1"	"1"	"2"	"2"	"7"	"7"	"400"	"0"	"400"	"0"	""
"23"	"13"	"78"	"129"	"35"	"1"	"0"	"0"	"2"	"1"	"1"	"2"	"0"	"2"	"3"	"1"	"2"	"5"	"262"	"0"	"262"	"0"	""
"24"	"14"	"306"	"18"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"339"	"0"	"339"	"0"	""
"25"	"Total :-"	"929"	"2209"	"212"	"24"	"20"	"291"	"34"	"8"	"11"	"14"	"13"	"10"	"18"	"19"	"51"	"66"	"3929"	"0"	"3929"	"0"	""
"26"	"Till Last
Total :-"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"27"	"Grand
Total :-"	"929"	"2209"	"212"	"24"	"20"	"291"	"34"	"8"	"11"	"14"	"13"	"10"	"18"	"19"	"51"	"66"	"3929"	"0"	"3929"	"0"	""
"28"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"ROUND  2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"37"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"38"	"15"	"342"	"42"	"8"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"20"	"421"	"0"	"421"	"0"	""
"39"	"16"	"64"	"62"	"7"	"2"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"5"	"149"	"0"	"149"	"0"	""
"40"	"17"	"152"	"23"	"8"	"1"	"0"	"28"	"3"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"1"	"3"	"224"	"0"	"224"	"0"	""
"41"	"18"	"37"	"258"	"21"	"5"	"2"	"64"	"5"	"1"	"0"	"2"	"3"	"1"	"3"	"4"	"13"	"12"	"431"	"0"	"431"	"0"	""
"42"	"19"	"23"	"263"	"6"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"297"	"0"	"297"	"0"	""
"43"	"20"	"168"	"119"	"13"	"3"	"0"	"4"	"0"	"1"	"3"	"2"	"2"	"1"	"0"	"2"	"0"	"4"	"322"	"0"	"322"	"0"	""
"44"	"21"	"228"	"100"	"18"	"0"	"2"	"22"	"5"	"2"	"1"	"3"	"2"	"4"	"2"	"3"	"1"	"7"	"400"	"0"	"400"	"0"	""
"45"	"22"	"79"	"317"	"18"	"0"	"2"	"0"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"2"	"2"	"425"	"0"	"425"	"0"	""
"46"	"23"	"102"	"530"	"60"	"8"	"3"	"3"	"2"	"1"	"5"	"2"	"3"	"1"	"1"	"2"	"6"	"6"	"735"	"0"	"735"	"0"	""
"47"	"24"	"210"	"248"	"20"	"2"	"0"	"1"	"2"	"0"	"1"	"0"	"2"	"5"	"1"	"3"	"3"	"6"	"504"	"0"	"504"	"0"	""
"48"	"25"	"21"	"298"	"19"	"0"	"3"	"34"	"4"	"1"	"0"	"1"	"1"	"0"	"0"	"5"	"5"	"3"	"395"	"0"	"395"	"0"	""
"49"	"26"	"144"	"189"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"4"	"1"	"348"	"0"	"348"	"0"	""
"50"	"27"	"333"	"99"	"5"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"17"	"462"	"0"	"462"	"0"	""
"51"	"28"	"155"	"116"	"3"	"2"	"1"	"3"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"284"	"0"	"284"	"0"	""
"52"	"Total :-"	"2058"	"2664"	"211"	"25"	"14"	"167"	"26"	"9"	"14"	"16"	"17"	"14"	"12"	"21"	"42"	"87"	"5397"	"0"	"5397"	"0"	""
"53"	"Till Last
Total :-"	"929"	"2209"	"212"	"24"	"20"	"291"	"34"	"8"	"11"	"14"	"13"	"10"	"18"	"19"	"51"	"66"	"3929"	"0"	"3929"	"0"	""
"54"	"Grand
Total :-"	"2987"	"4873"	"423"	"49"	"34"	"458"	"60"	"17"	"25"	"30"	"30"	"24"	"30"	"40"	"93"	"153"	"9326"	"0"	"9326"	"0"	""
"55"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"16th May 2009                                                                                                                                                                                                                                            ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"ROUND  3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"63"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"64"	"29"	"143"	"105"	"4"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"11"	"271"	"0"	"271"	"0"	""
"65"	"30"	"92"	"140"	"5"	"2"	"0"	"20"	"5"	"2"	"2"	"1"	"2"	"0"	"2"	"1"	"2"	"8"	"284"	"0"	"284"	"0"	""
"66"	"31"	"132"	"209"	"12"	"2"	"1"	"3"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"366"	"0"	"366"	"0"	""
"67"	"32"	"142"	"229"	"19"	"0"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"5"	"1"	"403"	"0"	"403"	"0"	""
