"FORM20.192.Sandesh"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"Booth NO."	"Meena Singh"	"Rama Kishore Singh"	"Reeta Singh"	"Haridwa r Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadha r Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddi n Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnat h Singh"	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"3"	"1"	"102"	"219"	"2"	"19"	"9"	"31"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"10"	"14"	""
"4"	"2"	"242"	"92"	"8"	"68"	"2"	"66"	"8"	"9"	"1"	"6"	"10"	"2"	"6"	"8"	"8"	"35"	""
"5"	"3"	"192"	"142"	"9"	"6"	"2"	"150"	"3"	"1"	"3"	"5"	"6"	"2"	"2"	"1"	"11"	"3"	""
"6"	"4"	"322"	"36"	"3"	"13"	"2"	"21"	"2"	"0"	"1"	"1"	"1"	"3"	"1"	"0"	"4"	"4"	""
"7"	"5"	"248"	"149"	"7"	"14"	"4"	"11"	"2"	"3"	"0"	"0"	"2"	"0"	"2"	"1"	"5"	"3"	""
"8"	"6"	"275"	"11"	"3"	"11"	"1"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"2"	""
"9"	"7"	"170"	"31"	"1"	"6"	"3"	"157"	"3"	"2"	"3"	"0"	"3"	"4"	"1"	"1"	"2"	"4"	""
"10"	"8"	"401"	"73"	"3"	"17"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"7"	"3"	""
"11"	"9"	"185"	"21"	"4"	"21"	"2"	"50"	"2"	"3"	"1"	"0"	"4"	"2"	"0"	"0"	"6"	"10"	""
"12"	"10"	"44"	"37"	"6"	"4"	"2"	"21"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"2"	"3"	""
"13"	"11"	"211"	"23"	"4"	"7"	"3"	"80"	"1"	"3"	"2"	"1"	"4"	"2"	"2"	"0"	"5"	"6"	""
"14"	"12"	"130"	"43"	"1"	"5"	"2"	"136"	"3"	"2"	"2"	"5"	"0"	"1"	"0"	"0"	"2"	"5"	""
"15"	"13"	"47"	"156"	"3"	"3"	"0"	"27"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"3"	"0"	""
"16"	"14"	"16"	"128"	"5"	"13"	"1"	"99"	"8"	"0"	"1"	"2"	"5"	"1"	"1"	"1"	"4"	"5"	""
"17"	"15"	"59"	"17"	"1"	"26"	"2"	"159"	"7"	"4"	"0"	"1"	"6"	"3"	"0"	"3"	"6"	"6"	""
"18"	"16"	"170"	"41"	"80"	"5"	"2"	"20"	"0"	"4"	"2"	"0"	"0"	"2"	"0"	"2"	"6"	"2"	""
"19"	"17"	"52"	"16"	"2"	"5"	"1"	"172"	"6"	"2"	"2"	"5"	"7"	"1"	"3"	"3"	"20"	"18"	""
"20"	"18"	"153"	"27"	"5"	"13"	"2"	"34"	"4"	"4"	"2"	"2"	"2"	"1"	"4"	"1"	"4"	"7"	""
"21"	"19"	"46"	"4"	"0"	"3"	"1"	"27"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	""
"22"	"20"	"135"	"19"	"2"	"12"	"4"	"169"	"11"	"3"	"2"	"6"	"3"	"2"	"1"	"2"	"2"	"8"	""
"23"	"21"	"198"	"121"	"10"	"7"	"2"	"34"	"0"	"4"	"0"	"4"	"0"	"2"	"1"	"6"	"9"	"5"	""
"24"	"22"	"250"	"128"	"1"	"8"	"1"	"6"	"2"	"3"	"1"	"8"	"2"	"1"	"6"	"3"	"9"	"10"	""
"25"	"23"	"225"	"45"	"1"	"1"	"2"	"3"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"3"	"6"	"3"	""
"26"	"24"	"16"	"115"	"0"	"9"	"2"	"6"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	""
"27"	"25"	"124"	"171"	"14"	"22"	"2"	"23"	"0"	"5"	"2"	"1"	"2"	"1"	"1"	"1"	"4"	"3"	""
"28"	"26"	"96"	"312"	"2"	"6"	"0"	"2"	"3"	"0"	"0"	"2"	"1"	"0"	"3"	"1"	"4"	"4"	""
"29"	"27"	"154"	"130"	"2"	"4"	"1"	"44"	"1"	"0"	"2"	"0"	"1"	"1"	"3"	"3"	"6"	"8"	""
"30"	"28"	"142"	"86"	"41"	"2"	"1"	"10"	"1"	"1"	"1"	"1"	"0"	"2"	"3"	"1"	"5"	"2"	""
"31"	"29"	"147"	"86"	"117"	"7"	"3"	"26"	"4"	"5"	"1"	"5"	"1"	"2"	"1"	"5"	"12"	"11"	""
"32"	"30"	"113"	"172"	"2"	"5"	"4"	"94"	"3"	"2"	"0"	"3"	"0"	"1"	"2"	"3"	"4"	"1"	""
"33"	"31"	"78"	"126"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"1"	"0"	""
"34"	"32"	"80"	"169"	"2"	"0"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"2"	""
"35"	"33"	"21"	"195"	"2"	"2"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	""
"36"	"34"	"66"	"222"	"7"	"1"	"1"	"20"	"2"	"3"	"0"	"5"	"0"	"0"	"0"	"1"	"7"	"8"	""
"37"	"35"	"530"	"77"	"2"	"2"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"8"	"5"	""
"38"	"36"	"462"	"92"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	""
"39"	"37"	"123"	"219"	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"2"	"6"	"6"	""
"40"	"Page 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"FORM20 192 Sandesh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
