"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:- 255665"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"10"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	""	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"11"	"1"	"17"	"368"	"16"	""	"1"	"0"	"2"	"0"	"3"	"2"	"5"	"2"	"0"	"3"	"8"	"30"	"17"	"474"	"0"	"474"	"0"
"12"	"2"	"17"	"61"	"3"	""	"71"	"2"	"3"	"1"	"1"	"0"	"0"	"1"	"4"	"3"	"1"	"5"	"9"	"182"	"0"	"182"	"0"
"13"	"3"	"14"	"161"	"6"	""	"28"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"3"	"6"	"224"	"0"	"224"	"0"
"14"	"4"	"12"	"179"	"10"	""	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"3"	"1"	"213"	"0"	"213"	"0"
"15"	"5"	"47"	"154"	"4"	""	"3"	"2"	"3"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"4"	"6"	"10"	"236"	"0"	"236"	"0"
"16"	"6"	"454"	"30"	"3"	""	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"3"	"498"	"0"	"498"	"0"
"17"	"7"	"34"	"71"	"13"	""	"16"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"1"	"1"	"5"	"148"	"0"	"148"	"0"
"18"	"8"	"167"	"177"	"3"	""	"3"	"0"	"3"	"0"	"2"	"1"	"1"	"6"	"1"	"5"	"5"	"17"	"22"	"413"	"0"	"413"	"0"
"19"	"9"	"71"	"28"	"2"	""	"63"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"2"	"5"	"9"	"187"	"0"	"187"	"0"
"20"	"10"	"175"	"43"	"0"	""	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"230"	"0"	"230"	"0"
"21"	"11"	"96"	"5"	"4"	""	"0"	"1"	"1"	"0"	"0"	"3"	"1"	"0"	"0"	"2"	"3"	"1"	"3"	"120"	"0"	"120"	"0"
"22"	"12"	"18"	"242"	"15"	""	"1"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"285"	"0"	"285"	"0"
"23"	"13"	"50"	"381"	"11"	""	"2"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"5"	"18"	"11"	"483"	"0"	"483"	"0"
"24"	"14"	"39"	"196"	"8"	""	"3"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"1"	"2"	"0"	"4"	"8"	"265"	"0"	"265"	"0"
"25"	"Total :-"	"1211"	"2096"	"98"	""	"197"	"14"	"24"	"4"	"10"	"11"	"11"	"13"	"12"	"20"	"32"	"99"	"106"	"3958"	"0"	"3958"	"0"
"26"	"Total upto Last Round:-"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"27"	"Grand Total :-"	"1211"	"2096"	"98"	""	"197"	"14"	"24"	"4"	"10"	"11"	"11"	"13"	"12"	"20"	"32"	"99"	"106"	"3958"	"0"	"3958"	"0"
"28"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"ROUND  2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Total No. of electors in Assembly Constituency/Segment:- 255665"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"37"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	""	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"38"	"15"	"12"	"278"	"6"	""	"9"	"1"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"314"	"0"	"314"	"0"
"39"	"16"	"188"	"62"	"6"	""	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"265"	"0"	"265"	"0"
"40"	"17"	"119"	"282"	"14"	""	"55"	"1"	"4"	"3"	"1"	"2"	"4"	"0"	"1"	"3"	"5"	"5"	"7"	"506"	"0"	"506"	"0"
"41"	"18"	"100"	"112"	"13"	""	"3"	"2"	"4"	"0"	"0"	"0"	"1"	"1"	"9"	"0"	"4"	"6"	"4"	"259"	"0"	"259"	"0"
"42"	"19"	"29"	"204"	"18"	""	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"21"	"9"	"291"	"0"	"291"	"0"
"43"	"20"	"31"	"482"	"17"	""	"3"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"21"	"10"	"569"	"0"	"569"	"0"
