"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 9---ARARIA CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :9---ARARIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Assembly Constituency :47---Raniganj (SC)                                                                                                                                   No of Voters :224217"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"7"	""	"ZAKIR HUSSAIN KHAN"	"PRADEEP KUMAR SINGH"	""	"RAJA RAMAN BHASKAR"	""	"DR. SHAKEEL AHMAD KHAN"	""	"AYAJUDIN"	""	"KAMALI DEVI"	""	"NASIM AHMAD GHAZI"	""	"ABDUL GAFOOR"	""	"ABDUL WAHAB"	""	"OM PRAKASH"	""	"KANHAIYA KUMAR DAS"	""	"DINESH RATHOUR"	"NAND LAL PASWAN"	""	""
"8"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	"14"	""	"15"
"9"	"1"	"93"	"421"	""	"22"	""	"26"	""	"4"	""	"0"	""	"2"	""	"4"	""	"3"	""	"1"	""	"0"	""	"0"	"1"	""	"577"
"10"	"2"	"167"	"196"	""	"7"	""	"15"	""	"0"	""	"0"	""	"0"	""	"2"	""	"4"	""	"6"	""	"0"	""	"0"	"1"	""	"398"
"11"	"3"	"20"	"313"	""	"18"	""	"56"	""	"2"	""	"1"	""	"0"	""	"1"	""	"5"	""	"0"	""	"1"	""	"0"	"1"	""	"418"
"12"	"4"	"44"	"299"	""	"11"	""	"10"	""	"1"	""	"2"	""	"0"	""	"1"	""	"3"	""	"1"	""	"0"	""	"1"	"4"	""	"377"
"13"	"5"	"97"	"161"	""	"5"	""	"32"	""	"1"	""	"2"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	"0"	""	"300"
"14"	"6"	"106"	"329"	""	"4"	""	"4"	""	"1"	""	"0"	""	"1"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	"1"	""	"448"
"15"	"7"	"112"	"345"	""	"2"	""	"10"	""	"3"	""	"1"	""	"2"	""	"0"	""	"0"	""	"1"	""	"1"	""	"1"	"0"	""	"478"
"16"	"8"	"25"	"362"	""	"6"	""	"57"	""	"1"	""	"2"	""	"1"	""	"1"	""	"1"	""	"0"	""	"1"	""	"0"	"0"	""	"457"
"17"	"9"	"45"	"211"	""	"7"	""	"4"	""	"0"	""	"0"	""	"0"	""	"3"	""	"2"	""	"0"	""	"0"	""	"0"	"2"	""	"274"
