"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"1"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"3"	"1"	"107"	"20"	"136"	"3"	"27"	"1"	"3"	"97"	"4"	"2"	"2"	"3"	"5"	"27"	"6"	"10"	"6"	"3"	"1"	"0"	"2"	"3"	"468"	"0"	"468"	"0"
"4"	"2"	"80"	"63"	"79"	"9"	"78"	"6"	"7"	"47"	"3"	"9"	"2"	"4"	"1"	"6"	"2"	"9"	"12"	"9"	"3"	"5"	"2"	"4"	"440"	"0"	"440"	"0"
"5"	"3"	"55"	"284"	"33"	"2"	"60"	"1"	"0"	"6"	"1"	"0"	"2"	"2"	"2"	"1"	"3"	"1"	"15"	"10"	"3"	"8"	"4"	"4"	"497"	"0"	"497"	"0"
"6"	"4"	"118"	"177"	"60"	"10"	"73"	"2"	"1"	"20"	"3"	"2"	"1"	"5"	"2"	"8"	"3"	"14"	"5"	"1"	"4"	"2"	"1"	"0"	"512"	"0"	"512"	"0"
"7"	"5"	"87"	"35"	"63"	"3"	"57"	"1"	"4"	"35"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"10"	"2"	"2"	"3"	"0"	"2"	"1"	"320"	"0"	"320"	"0"
"8"	"6"	"153"	"246"	"198"	"8"	"65"	"2"	"4"	"52"	"4"	"3"	"5"	"3"	"3"	"12"	"9"	"8"	"21"	"23"	"9"	"19"	"13"	"11"	"871"	"0"	"871"	"0"
"9"	"7"	"409"	"41"	"14"	"22"	"33"	"1"	"2"	"56"	"1"	"1"	"1"	"1"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"587"	"0"	"587"	"0"
"10"	"8"	"195"	"59"	"23"	"1"	"63"	"1"	"1"	"65"	"2"	"5"	"1"	"1"	"1"	"6"	"0"	"7"	"2"	"2"	"1"	"0"	"0"	"4"	"440"	"0"	"440"	"0"
"11"	"9"	"129"	"187"	"28"	"2"	"52"	"2"	"0"	"27"	"6"	"1"	"1"	"1"	"1"	"4"	"2"	"8"	"9"	"11"	"1"	"0"	"0"	"5"	"477"	"0"	"477"	"0"
"12"	"10"	"161"	"18"	"45"	"0"	"28"	"2"	"2"	"46"	"3"	"2"	"0"	"0"	"1"	"8"	"2"	"9"	"8"	"1"	"4"	"0"	"6"	"2"	"348"	"0"	"348"	"0"
"13"	"11"	"96"	"20"	"82"	"4"	"104"	"0"	"3"	"50"	"3"	"2"	"1"	"0"	"0"	"5"	"2"	"4"	"1"	"0"	"1"	"1"	"0"	"1"	"380"	"0"	"380"	"0"
"14"	"12"	"236"	"18"	"202"	"9"	"23"	"6"	"5"	"57"	"12"	"1"	"2"	"1"	"6"	"9"	"5"	"30"	"5"	"5"	"1"	"4"	"1"	"4"	"642"	"0"	"642"	"0"
"15"	"13"	"437"	"61"	"128"	"4"	"5"	"3"	"2"	"38"	"2"	"3"	"0"	"1"	"0"	"4"	"1"	"2"	"2"	"3"	"1"	"0"	"0"	"2"	"699"	"0"	"699"	"0"
"16"	"14"	"302"	"63"	"231"	"7"	"24"	"1"	"3"	"37"	"6"	"0"	"0"	"2"	"0"	"11"	"1"	"6"	"7"	"2"	"5"	"0"	"0"	"0"	"708"	"0"	"708"	"0"
"17"	"l hV dk
; ksx"	"2565"	"1292"	"1322"	"84"	"692"	"29"	"37"	"633"	"51"	"32"	"19"	"25"	"24"	"113"	"37"	"119"	"95"	"72"	"37"	"39"	"31"	"41"	"7389"	"0"	"7389"	"0"
"18"	"d qy  &"	"2565"	"1292"	"1322"	"84"	"692"	"29"	"37"	"633"	"51"	"32"	"19"	"25"	"24"	"113"	"37"	"119"	"95"	"72"	"37"	"39"	"31"	"41"	"7389"	"0"	"7389"	"0"
"19"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"20"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"21"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"22"	"i woZ  dk
; ksx&"	"2565"	"1292"	"1322"	"84"	"692"	"29"	"37"	"633"	"51"	"32"	"19"	"25"	"24"	"113"	"37"	"119"	"95"	"72"	"37"	"39"	"31"	"41"	"7389"	"0"	"7389"	"0"
"23"	"15"	"157"	"45"	"184"	"7"	"93"	"2"	"0"	"27"	"4"	"2"	"1"	"1"	"0"	"4"	"0"	"6"	"8"	"4"	"9"	"6"	"2"	"8"	"570"	"0"	"570"	"0"
"24"	"16"	"180"	"35"	"199"	"6"	"15"	"4"	"3"	"46"	"3"	"1"	"0"	"1"	"1"	"12"	"2"	"12"	"1"	"0"	"2"	"0"	"1"	"3"	"527"	"0"	"527"	"0"
"25"	"17"	"107"	"18"	"620"	"16"	"4"	"1"	"0"	"32"	"5"	"3"	"1"	"1"	"4"	"41"	"5"	"18"	"9"	"2"	"30"	"4"	"1"	"0"	"922"	"0"	"922"	"0"
"26"	"18"	"51"	"74"	"232"	"5"	"8"	"1"	"2"	"22"	"0"	"0"	"2"	"0"	"1"	"13"	"0"	"10"	"3"	"2"	"3"	"3"	"2"	"3"	"437"	"0"	"437"	"0"
"27"	"19"	"59"	"105"	"109"	"6"	"11"	"2"	"2"	"12"	"3"	"0"	"1"	"2"	"1"	"9"	"2"	"10"	"2"	"3"	"2"	"0"	"1"	"0"	"342"	"0"	"342"	"0"
"28"	"20"	"49"	"106"	"123"	"2"	"34"	"3"	"4"	"37"	"1"	"3"	"2"	"1"	"1"	"5"	"1"	"2"	"4"	"5"	"5"	"6"	"6"	"7"	"407"	"0"	"407"	"0"
"29"	"21"	"184"	"149"	"115"	"13"	"27"	"6"	"0"	"51"	"11"	"2"	"0"	"2"	"2"	"18"	"10"	"29"	"10"	"9"	"4"	"6"	"1"	"6"	"655"	"0"	"655"	"0"
"30"	"22"	"88"	"121"	"72"	"21"	"22"	"6"	"5"	"55"	"8"	"9"	"2"	"3"	"3"	"9"	"23"	"29"	"3"	"1"	"3"	"4"	"3"	"4"	"494"	"0"	"494"	"0"
"31"	"23"	"112"	"3"	"19"	"1"	"37"	"0"	"1"	"29"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"208"	"0"	"208"	"0"
"32"	"24"	"110"	"32"	"32"	"2"	"20"	"2"	"0"	"16"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"0"	"219"	"0"
"33"	"25"	"91"	"148"	"41"	"2"	"64"	"2"	"2"	"47"	"1"	"0"	"4"	"0"	"0"	"2"	"0"	"4"	"10"	"12"	"5"	"10"	"7"	"12"	"464"	"0"	"464"	"0"
"34"	"26"	"107"	"144"	"253"	"3"	"8"	"0"	"1"	"28"	"5"	"0"	"4"	"1"	"8"	"16"	"12"	"6"	"5"	"5"	"4"	"3"	"1"	"2"	"616"	"0"	"616"	"0"
"35"	"27"	"159"	"176"	"150"	"7"	"2"	"0"	"1"	"19"	"6"	"2"	"1"	"3"	"3"	"13"	"6"	"15"	"10"	"3"	"2"	"4"	"2"	"2"	"586"	"0"	"586"	"0"
"36"	"28"	"110"	"267"	"90"	"10"	"5"	"3"	"2"	"38"	"5"	"3"	"4"	"2"	"9"	"15"	"5"	"22"	"18"	"12"	"8"	"3"	"4"	"11"	"646"	"0"	"646"	"0"
"37"	"l hV dk
; ksx"	"1564"	"1423"	"2239"	"101"	"350"	"32"	"23"	"459"	"57"	"25"	"23"	"18"	"34"	"157"	"66"	"165"	"84"	"58"	"77"	"49"	"31"	"58"	"7093"	"0"	"7093"	"0"
"38"	"d qy  &"	"4129"	"2715"	"3561"	"185"	"1042"	"61"	"60"	"1092"	"108"	"57"	"42"	"43"	"58"	"270"	"103"	"284"	"179"	"130"	"114"	"88"	"62"	"99"	"14482"	"0"	"14482"	"0"
"39"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"40"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"42"	"i woZ  dk
; ksx&"	"4129"	"2715"	"3561"	"185"	"1042"	"61"	"60"	"1092"	"108"	"57"	"42"	"43"	"58"	"270"	"103"	"284"	"179"	"130"	"114"	"88"	"62"	"99"	"14482"	"0"	"14482"	"0"
"43"	"29"	"222"	"300"	"83"	"10"	"29"	"1"	"2"	"30"	"11"	"7"	"1"	"1"	"3"	"2"	"1"	"4"	"2"	"3"	"2"	"4"	"3"	"6"	"727"	"0"	"727"	"0"
"44"	"30"	"338"	"122"	"65"	"20"	"55"	"2"	"3"	"53"	"9"	"3"	"0"	"0"	"1"	"5"	"2"	"7"	"8"	"3"	"3"	"1"	"2"	"0"	"702"	"0"	"702"	"0"
"45"	"31"	"233"	"144"	"189"	"7"	"11"	"1"	"5"	"75"	"8"	"2"	"2"	"3"	"4"	"16"	"4"	"16"	"17"	"7"	"10"	"43"	"3"	"4"	"804"	"0"	"804"	"0"
"46"	"32"	"78"	"185"	"239"	"4"	"15"	"0"	"3"	"7"	"2"	"4"	"5"	"2"	"4"	"20"	"11"	"24"	"1"	"4"	"5"	"3"	"2"	"5"	"623"	"0"	"623"	"0"
"47"	"33"	"197"	"101"	"263"	"16"	"34"	"3"	"5"	"46"	"8"	"3"	"4"	"2"	"0"	"2"	"6"	"3"	"12"	"4"	"4"	"0"	"0"	"4"	"717"	"0"	"717"	"0"
"48"	"34"	"20"	"67"	"233"	"7"	"6"	"4"	"2"	"16"	"1"	"0"	"1"	"3"	"1"	"14"	"4"	"7"	"2"	"1"	"4"	"2"	"2"	"5"	"402"	"0"	"402"	"0"
"49"	"35"	"149"	"156"	"71"	"6"	"69"	"1"	"0"	"49"	"2"	"6"	"1"	"0"	"3"	"5"	"2"	"1"	"16"	"8"	"2"	"6"	"5"	"7"	"565"	"0"	"565"	"0"
"50"	"36"	"101"	"165"	"74"	"7"	"66"	"6"	"6"	"27"	"5"	"3"	"1"	"3"	"1"	"5"	"1"	"2"	"3"	"3"	"0"	"1"	"0"	"1"	"481"	"0"	"481"	"0"
"51"	"37"	"184"	"73"	"52"	"1"	"62"	"1"	"0"	"48"	"4"	"2"	"1"	"0"	"1"	"6"	"3"	"3"	"13"	"3"	"2"	"4"	"1"	"4"	"468"	"0"	"468"	"0"
"52"	"38"	"40"	"90"	"89"	"24"	"28"	"2"	"2"	"10"	"1"	"0"	"1"	"0"	"6"	"11"	"5"	"5"	"3"	"5"	"4"	"10"	"5"	"4"	"345"	"0"	"345"	"0"
"53"	"39"	"153"	"120"	"125"	"23"	"34"	"4"	"1"	"24"	"4"	"2"	"2"	"1"	"28"	"4"	"1"	"3"	"6"	"2"	"1"	"2"	"0"	"0"	"540"	"0"	"540"	"0"
"54"	"40"	"25"	"143"	"50"	"5"	"22"	"3"	"0"	"6"	"3"	"0"	"5"	"1"	"8"	"6"	"5"	"14"	"0"	"1"	"1"	"0"	"0"	"0"	"298"	"0"	"298"	"0"
"55"	"41"	"134"	"129"	"53"	"100"	"179"	"5"	"5"	"39"	"3"	"3"	"0"	"1"	"3"	"3"	"3"	"7"	"2"	"4"	"4"	"7"	"3"	"2"	"689"	"0"	"689"	"0"
"56"	"42"	"79"	"345"	"40"	"7"	"140"	"9"	"4"	"16"	"2"	"2"	"4"	"0"	"1"	"0"	"3"	"3"	"2"	"1"	"1"	"2"	"5"	"0"	"666"	"0"	"666"	"0"
