"Candidates.Name.."	"Arjun.Roy"	"Maya.Shankar.Sharan"	"Samir.Kumar.Mahas.eth"	"Sitaram.Yadav"	"S..Abu.Dauja.na"	"Chitar.anjan.Giri"	"Mohammad.Afzal.Painther"	"Shankar.Sinha"	"Chandrika.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"4"	"1"	"149"	"138"	"9"	"65"	"44"	"0"	"0"	"7"	"0"	"1"	"1"	"5"	"4"	"423"
"5"	"2"	"64"	"128"	"30"	"29"	"79"	"3"	"3"	"0"	"1"	"2"	"4"	"6"	"2"	"351"
"6"	"3"	"48"	"0"	"12"	"417"	"16"	"2"	"2"	"0"	"1"	"3"	"0"	"2"	"2"	"505"
"7"	"4"	"77"	"9"	"7"	"309"	"7"	"7"	"1"	"5"	"1"	"2"	"1"	"1"	"1"	"428"
"8"	"5"	"74"	"15"	"13"	"111"	"10"	"4"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"232"
"9"	"6"	"22"	"32"	"4"	"311"	"12"	"4"	"1"	"3"	"4"	"0"	"1"	"3"	"5"	"402"
"10"	"7"	"81"	"5"	"4"	"12"	"291"	"3"	"1"	"6"	"2"	"0"	"1"	"0"	"0"	"406"
"11"	"8"	"16"	"157"	"15"	"8"	"284"	"0"	"0"	"5"	"0"	"0"	"3"	"12"	"1"	"501"
"12"	"9"	"56"	"225"	"12"	"30"	"159"	"7"	"3"	"6"	"2"	"1"	"3"	"9"	"5"	"518"
"13"	"10"	"32"	"20"	"29"	"46"	"241"	"5"	"3"	"6"	"0"	"0"	"1"	"2"	"0"	"385"
"14"	"11"	"198"	"6"	"62"	"58"	"90"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"418"
"15"	"12"	"158"	"0"	"73"	"5"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"240"
"16"	"13"	"152"	"37"	"101"	"104"	"3"	"2"	"5"	"17"	"5"	"4"	"2"	"4"	"3"	"439"
"17"	"14"	"405"	"13"	"9"	"212"	"7"	"2"	"2"	"8"	"2"	"2"	"1"	"1"	"1"	"665"
"18"	"15"	"128"	"60"	"33"	"219"	"39"	"1"	"4"	"5"	"0"	"2"	"2"	"0"	"2"	"495"
"19"	"16"	"73"	"16"	"9"	"80"	"123"	"6"	"3"	"6"	"4"	"2"	"2"	"12"	"5"	"341"
"20"	"17"	"146"	"11"	"7"	"48"	"81"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"1"	"305"
"21"	"18"	"102"	"65"	"151"	"39"	"34"	"3"	"2"	"4"	"3"	"2"	"1"	"1"	"0"	"407"
"22"	"19"	"316"	"6"	"66"	"8"	"0"	"0"	"4"	"7"	"1"	"1"	"1"	"0"	"1"	"411"
"23"	"20"	"245"	"4"	"76"	"44"	"3"	"1"	"2"	"11"	"1"	"1"	"2"	"0"	"3"	"393"
"24"	"21"	"237"	"7"	"91"	"19"	"9"	"3"	"4"	"13"	"4"	"1"	"2"	"4"	"0"	"394"
"25"	"22"	"227"	"11"	"64"	"30"	"4"	"1"	"10"	"17"	"7"	"3"	"4"	"5"	"5"	"388"
"26"	"23"	"328"	"11"	"161"	"36"	"4"	"2"	"10"	"24"	"6"	"4"	"1"	"1"	"2"	"590"
"27"	"24"	"235"	"7"	"203"	"33"	"3"	"1"	"11"	"10"	"6"	"7"	"8"	"2"	"2"	"528"
"28"	"25"	"181"	"14"	"12"	"53"	"3"	"1"	"1"	"8"	"4"	"0"	"1"	"1"	"1"	"280"
"29"	"26"	"227"	"3"	"26"	"33"	"1"	"2"	"2"	"10"	"0"	"0"	"3"	"0"	"0"	"307"
"30"	"27"	"136"	"6"	"13"	"196"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"357"
"31"	"28"	"283"	"3"	"16"	"79"	"7"	"1"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"394"
"32"	"29"	"297"	"19"	"33"	"231"	"6"	"2"	"1"	"9"	"3"	"2"	"2"	"2"	"2"	"609"
"33"	"30"	"133"	"4"	"7"	"40"	"0"	"3"	"2"	"6"	"1"	"2"	"2"	"0"	"0"	"200"
"34"	"31"	"268"	"9"	"25"	"141"	"4"	"0"	"0"	"3"	"2"	"2"	"1"	"1"	"0"	"456"
"35"	"32"	"440"	"53"	"82"	"84"	"3"	"2"	"3"	"7"	"2"	"4"	"2"	"2"	"0"	"684"
"36"	"33"	"293"	"5"	"117"	"26"	"5"	"2"	"3"	"5"	"2"	"0"	"1"	"3"	"0"	"462"
"37"	"34"	"118"	"2"	"105"	"24"	"3"	"1"	"1"	"6"	"2"	"3"	"1"	"0"	"0"	"266"
"38"	"35"	"131"	"11"	"57"	"58"	"2"	"3"	"1"	"9"	"2"	"2"	"0"	"0"	"3"	"279"
"39"	"36"	"180"	"8"	"52"	"61"	"2"	"3"	"5"	"11"	"2"	"1"	"2"	"0"	"1"	"328"
"40"	"37"	"160"	"7"	"36"	"67"	"6"	"0"	"2"	"20"	"6"	"3"	"5"	"2"	"3"	"317"
"41"	"38"	"307"	"8"	"33"	"49"	"62"	"5"	"1"	"11"	"6"	"2"	"4"	"1"	"6"	"495"
