"Candidates.Name.."	"Arjun.Roy"	"Maya.Shankar.Sharan"	"Samir.Kumar.Mahaseth"	"Sitaram.Yadav"	"S..Abu.Daujana"	"Chitaranja.n.Giri"	"Mohammad.Afzal.Painther"	"Shankar.Sinha"	"Chandrika.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"4"	"1"	"42"	"4"	"50"	"264"	"22"	"2"	"1"	"7"	"4"	"2"	"0"	"5"	"11"	"414"
"5"	"2"	"145"	"0"	"46"	"95"	"4"	"1"	"3"	"5"	"2"	"1"	"0"	"1"	"1"	"304"
"6"	"3"	"29"	"2"	"7"	"474"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"521"
"7"	"4"	"288"	"7"	"13"	"19"	"0"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"334"
"8"	"5"	"106"	"5"	"28"	"487"	"9"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"2"	"644"
"9"	"6"	"136"	"1"	"101"	"66"	"1"	"2"	"4"	"4"	"0"	"3"	"0"	"1"	"0"	"319"
"10"	"7"	"357"	"33"	"60"	"19"	"0"	"0"	"2"	"7"	"2"	"2"	"13"	"2"	"0"	"497"
"11"	"8"	"278"	"7"	"97"	"43"	"3"	"1"	"0"	"6"	"1"	"2"	"3"	"0"	"2"	"443"
"12"	"9"	"230"	"7"	"63"	"66"	"5"	"0"	"0"	"7"	"1"	"0"	"6"	"0"	"0"	"385"
"13"	"10"	"379"	"16"	"96"	"201"	"6"	"3"	"4"	"10"	"4"	"10"	"0"	"1"	"6"	"736"
"14"	"11"	"165"	"14"	"226"	"165"	"9"	"3"	"3"	"11"	"4"	"3"	"4"	"3"	"2"	"612"
"15"	"12"	"247"	"43"	"159"	"15"	"4"	"3"	"4"	"3"	"2"	"2"	"2"	"1"	"1"	"486"
"16"	"13"	"332"	"6"	"60"	"14"	"2"	"1"	"3"	"6"	"3"	"4"	"5"	"3"	"0"	"439"
"17"	"14"	"302"	"7"	"56"	"24"	"2"	"0"	"1"	"8"	"3"	"1"	"4"	"1"	"1"	"410"
"18"	"15"	"335"	"17"	"41"	"1"	"1"	"2"	"2"	"4"	"0"	"1"	"1"	"1"	"0"	"406"
"19"	"16"	"250"	"6"	"185"	"31"	"3"	"5"	"10"	"25"	"4"	"7"	"7"	"2"	"7"	"542"
"20"	"17"	"188"	"6"	"117"	"44"	"4"	"1"	"2"	"15"	"11"	"5"	"2"	"3"	"3"	"401"
"21"	"18"	"271"	"35"	"90"	"59"	"4"	"4"	"6"	"23"	"5"	"2"	"6"	"1"	"0"	"506"
"22"	"19"	"74"	"12"	"113"	"120"	"15"	"1"	"2"	"3"	"1"	"2"	"2"	"3"	"3"	"351"
"23"	"20"	"172"	"15"	"13"	"33"	"100"	"4"	"4"	"9"	"6"	"2"	"5"	"7"	"8"	"378"
"24"	"21"	"55"	"4"	"14"	"170"	"7"	"2"	"1"	"1"	"0"	"2"	"2"	"2"	"2"	"262"
"25"	"22"	"190"	"10"	"287"	"74"	"3"	"1"	"4"	"5"	"5"	"1"	"4"	"4"	"7"	"595"
"26"	"23"	"113"	"69"	"8"	"163"	"124"	"3"	"4"	"7"	"1"	"2"	"2"	"3"	"1"	"500"
"27"	"24"	"106"	"17"	"132"	"61"	"14"	"4"	"5"	"5"	"3"	"3"	"4"	"0"	"4"	"358"
"28"	"25"	"145"	"27"	"72"	"118"	"69"	"11"	"8"	"22"	"4"	"8"	"12"	"9"	"9"	"514"
"29"	"26"	"117"	"5"	"40"	"24"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"191"
"30"	"27"	"315"	"6"	"37"	"70"	"4"	"1"	"4"	"12"	"2"	"3"	"4"	"3"	"1"	"462"
"31"	"28"	"254"	"2"	"21"	"6"	"1"	"0"	"4"	"8"	"4"	"3"	"3"	"0"	"0"	"306"
"32"	"29"	"44"	"1"	"51"	"156"	"25"	"3"	"1"	"2"	"2"	"1"	"3"	"3"	"5"	"297"
"33"	"30"	"202"	"8"	"62"	"59"	"7"	"0"	"5"	"5"	"8"	"4"	"1"	"2"	"2"	"365"
"34"	"31"	"83"	"28"	"36"	"55"	"131"	"8"	"9"	"14"	"2"	"3"	"1"	"6"	"2"	"378"
"35"	"32"	"63"	"5"	"42"	"151"	"3"	"3"	"3"	"9"	"4"	"3"	"3"	"2"	"0"	"291"
"36"	"33"	"296"	"5"	"60"	"4"	"1"	"0"	"3"	"8"	"0"	"1"	"4"	"1"	"1"	"384"
"37"	"34"	"185"	"9"	"108"	"16"	"2"	"1"	"1"	"7"	"3"	"0"	"1"	"1"	"0"	"334"
"38"	"35"	"105"	"52"	"51"	"195"	"10"	"3"	"6"	"7"	"1"	"3"	"1"	"4"	"9"	"447"
"39"	"36"	"164"	"4"	"46"	"71"	"5"	"1"	"4"	"9"	"2"	"6"	"1"	"2"	"4"	"319"
"40"	"37"	"79"	"25"	"51"	"76"	"17"	"0"	"3"	"9"	"4"	"1"	"1"	"2"	"0"	"268"
"41"	"38"	"55"	"27"	"59"	"48"	"13"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"207"
"42"	"39"	"166"	"4"	"73"	"112"	"7"	"1"	"6"	"13"	"0"	"1"	"5"	"0"	"1"	"389"
"43"	"40"	"171"	"0"	"88"	"12"	"3"	"3"	"2"	"1"	"5"	"0"	"1"	"0"	"1"	"287"
"44"	"41"	"117"	"1"	"172"	"11"	"0"	"0"	"2"	"6"	"6"	"1"	"3"	"0"	"2"	"321"
"45"	"42"	"402"	"7"	"114"	"31"	"5"	"3"	"8"	"10"	"1"	"2"	"2"	"0"	"0"	"585"
"46"	"43"	"214"	"4"	"56"	"6"	"0"	"0"	"2"	"10"	"3"	"1"	"5"	"1"	"1"	"303"
"47"	"44"	"315"	"8"	"41"	"13"	"3"	"1"	"5"	"13"	"5"	"5"	"2"	"0"	"1"	"412"
"48"	"45"	"176"	"4"	"79"	"16"	"1"	"0"	"3"	"9"	"1"	"4"	"0"	"0"	"0"	"293"
"49"	"46"	"96"	"0"	"102"	"7"	"0"	"4"	"1"	"5"	"1"	"0"	"2"	"0"	"0"	"218"
"50"	"47"	"168"	"10"	"257"	"33"	"1"	"2"	"2"	"10"	"2"	"3"	"5"	"2"	"2"	"497"
"51"	"48"	"147"	"3"	"231"	"15"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"402"
"52"	"49"	"24"	"58"	"117"	"43"	"6"	"1"	"2"	"11"	"4"	"8"	"2"	"4"	"3"	"283"
"53"	"50"	"201"	"12"	"154"	"112"	"1"	"2"	"11"	"21"	"12"	"7"	"4"	"2"	"4"	"543"
"54"	"51"	"237"	"9"	"75"	"33"	"5"	"0"	"5"	"7"	"4"	"0"	"1"	"2"	"1"	"379"
"55"	"52"	"143"	"7"	"77"	"159"	"8"	"4"	"4"	"20"	"3"	"4"	"1"	"3"	"1"	"434"
"56"	"53"	"233"	"10"	"130"	"70"	"5"	"2"	"6"	"27"	"0"	"3"	"4"	"3"	"1"	"494"
"57"	"54"	"66"	"2"	"25"	"97"	"16"	"1"	"5"	"8"	"3"	"2"	"5"	"4"	"8"	"242"
"58"	"55"	"163"	"12"	"163"	"17"	"6"	"1"	"2"	"19"	"1"	"0"	"2"	"0"	"0"	"386"
"59"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahaseth"	"Sitaram Yadav"	"S. Abu Daujana"	"Chitaranja n Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrika Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"60"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"63"	"56"	"119"	"10"	"129"	"143"	"27"	"3"	"9"	"9"	"2"	"2"	"8"	"3"	"10"	"474"
"64"	"57"	"122"	"20"	"42"	"290"	"16"	"5"	"6"	"17"	"1"	"6"	"2"	"1"	"4"	"532"
"65"	"58"	"32"	"7"	"330"	"28"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"4"	"408"
"66"	"59"	"166"	"12"	"63"	"126"	"12"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"385"
"67"	"60"	"111"	"1"	"40"	"98"	"3"	"0"	"5"	"3"	"1"	"0"	"2"	"1"	"1"	"266"
"68"	"61"	"178"	"3"	"28"	"101"	"3"	"2"	"0"	"5"	"2"	"1"	"4"	"3"	"1"	"331"
"69"	"62"	"70"	"0"	"27"	"54"	"1"	"0"	"1"	"3"	"0"	"1"	"1"	"2"	"0"	"160"
"70"	"63"	"187"	"3"	"92"	"90"	"27"	"1"	"4"	"6"	"2"	"2"	"0"	"6"	"4"	"424"
