"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"1"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"3"	"1"	"47"	"288"	"131"	"7"	"9"	"15"	"13"	"9"	"15"	"5"	"25"	"564"	"0"	"564"	""
"4"	"2"	"52"	"189"	"286"	"8"	"12"	"22"	"9"	"9"	"20"	"4"	"26"	"637"	"0"	"637"	"0"
"5"	"3"	"64"	"332"	"59"	"4"	"4"	"34"	"21"	"9"	"3"	"3"	"6"	"539"	"0"	"539"	"0"
"6"	"4"	"95"	"103"	"289"	"13"	"8"	"50"	"12"	"13"	"43"	"25"	"42"	"693"	"0"	"693"	"0"
"7"	"5"	"41"	"104"	"271"	"12"	"7"	"4"	"11"	"0"	"7"	"6"	"6"	"469"	"0"	"469"	"0"
"8"	"6"	"38"	"67"	"403"	"18"	"6"	"7"	"10"	"12"	"23"	"7"	"16"	"607"	"0"	"607"	"0"
"9"	"7"	"42"	"145"	"349"	"12"	"6"	"3"	"15"	"11"	"30"	"7"	"22"	"642"	"0"	"642"	"0"
"10"	"8"	"98"	"105"	"307"	"15"	"7"	"12"	"13"	"6"	"13"	"7"	"8"	"591"	"0"	"591"	"0"
"11"	"9"	"104"	"206"	"332"	"12"	"5"	"7"	"9"	"9"	"32"	"15"	"23"	"754"	"0"	"754"	"0"
"12"	"10"	"76"	"233"	"328"	"9"	"9"	"2"	"8"	"11"	"13"	"19"	"42"	"750"	"0"	"750"	"0"
"13"	"11"	"112"	"50"	"165"	"5"	"1"	"0"	"1"	"2"	"3"	"1"	"2"	"342"	"0"	"342"	"0"
"14"	"12"	"193"	"5"	"65"	"1"	"1"	"1"	"1"	"2"	"3"	"0"	"7"	"279"	"0"	"279"	"0"
"15"	"13"	"113"	"332"	"142"	"6"	"4"	"10"	"16"	"4"	"8"	"5"	"8"	"648"	"0"	"648"	"0"
"16"	"14"	"80"	"289"	"94"	"8"	"7"	"10"	"16"	"3"	"7"	"2"	"7"	"523"	"0"	"523"	"0"
"17"	"l hV dk
; ksx"	"1155"	"2448"	"3221"	"130"	"86"	"177"	"155"	"100"	"220"	"106"	"240"	"8038"	"0"	"8038"	"0"
