"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF THE PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…85 - BAHADURPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment …..226497"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"8"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"10"	"1"	"1"	"20"	"360"	"179"	"8"	"0"	"1"	"6"	"2"	"0"	"0"	"1"	"0"	"5"	"3"	"585"	"-"	"585"	""
"11"	"2"	"2"	"37"	"257"	"129"	"3"	"2"	"8"	"3"	"1"	"2"	"4"	"4"	"7"	"10"	"6"	"473"	"-"	"473"	""
"12"	"3"	"3"	"44"	"305"	"152"	"9"	"2"	"2"	"5"	"6"	"0"	"5"	"3"	"5"	"8"	"4"	"550"	"-"	"550"	""
"13"	"4"	"4"	"26"	"92"	"295"	"12"	"2"	"2"	"3"	"4"	"5"	"9"	"7"	"10"	"9"	"16"	"492"	"-"	"492"	""
"14"	"5"	"5"	"20"	"51"	"178"	"6"	"4"	"4"	"1"	"0"	"5"	"4"	"3"	"8"	"10"	"11"	"305"	"-"	"305"	""
"15"	"6"	"6"	"10"	"25"	"121"	"2"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"3"	"0"	"2"	"167"	"-"	"167"	""
"16"	"7"	"7"	"20"	"202"	"107"	"10"	"2"	"3"	"5"	"4"	"5"	"4"	"5"	"3"	"14"	"10"	"394"	"-"	"394"	""
"17"	"8"	"8"	"50"	"123"	"10"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"5"	"14"	"23"	"230"	"-"	"230"	""
