"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 9---ARARIA CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :9---ARARIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Assembly Constituency :51---Sikti                                                                                                                                                   No of Voters :202234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"	""
"7"	""	"ZAKIR HUSSAIN KHAN"	"PRADEEP KUMAR SINGH"	""	"RAJA RAMAN BHASKAR"	""	"DR. SHAKEEL AHMAD KHAN"	""	"AYAJUDIN"	""	"KAMALI DEVI"	""	"NASIM AHMAD GHAZI"	""	"ABDUL GAFOOR"	""	"ABDUL WAHAB"	""	"OM PRAKASH"	""	"KANHAIYA KUMAR DAS"	""	"DINESH RATHOUR"	"NAND LAL PASWAN"	""	""	""
"8"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	"14"	""	"15"	""
"9"	"1"	"388"	"176"	""	"2"	""	"1"	""	"1"	""	"0"	""	"2"	""	"0"	""	"3"	""	"1"	""	"1"	""	"3"	"1"	""	"579"	""
"10"	"2"	"588"	"10"	""	"3"	""	"2"	""	"0"	""	"2"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"607"	""
"11"	"3"	"431"	"23"	""	"1"	""	"12"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	"0"	""	"468"	""
"12"	"4"	"501"	"7"	""	"1"	""	"2"	""	"0"	""	"0"	""	"2"	""	"1"	""	"1"	""	"1"	""	"0"	""	"0"	"0"	""	"516"	""
"13"	"5"	"109"	"643"	""	"13"	""	"10"	""	"2"	""	"1"	""	"0"	""	"1"	""	"1"	""	"2"	""	"1"	""	"4"	"2"	""	"789"	""
"14"	"6"	"345"	"252"	""	"5"	""	"27"	""	"9"	""	"6"	""	"3"	""	"2"	""	"7"	""	"2"	""	"7"	""	"97"	"3"	""	"765"	""
"15"	"7"	"236"	"344"	""	"9"	""	"82"	""	"8"	""	"1"	""	"4"	""	"3"	""	"2"	""	"4"	""	"8"	""	"13"	"3"	""	"717"	""
"16"	"8"	"149"	"356"	""	"12"	""	"56"	""	"8"	""	"1"	""	"2"	""	"4"	""	"4"	""	"2"	""	"2"	""	"19"	"1"	""	"616"	""
"17"	"9"	"219"	"136"	""	"6"	""	"4"	""	"3"	""	"0"	""	"1"	""	"2"	""	"2"	""	"3"	""	"1"	""	"74"	"0"	""	"451"	""
