"er.nku.dsUnz.l.a....k"	"vfu....i.zl.kn.mQZ.l.k.kq...kno"	"i.zdk..k..k"	"j.kekJ..fl.ag"	"X..kEHkw.i.zl.kn.xqIr.k"	"Mk0..l.at...t.k..l.oky"	"QS..kt.qy.vkt.e"	"eukst...dqekj"	"l.S..n...kehe.v..r.j"	"uQhl...vgen"	"Jheku.feJk"	"l.S..n.bj.l.kn.v..r.j"	"oS....er.i...dk...ksx"	"vLohd.r.er.i...dk...ksx"	"X..ksx"	"fufonr.er.i..ksa.dh.l.a....k"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"2"	1	68	85	9	3	431	9	3	6	7	13	12	646	NA	646	NA
"3"	2	49	106	6	73	286	9	6	2	2	12	4	555	NA	555	NA
"4"	3	51	49	5	4	128	6	3	1	1	2	2	252	NA	252	NA
"5"	4	20	143	12	76	27	5	10	8	3	13	5	322	NA	322	NA
"6"	5	73	83	4	2	216	7	14	4	4	19	9	435	NA	435	NA
"7"	6	40	150	8	56	118	5	5	10	4	13	6	415	NA	415	NA
"8"	7	7	33	2	116	171	13	6	68	2	5	6	429	NA	429	NA
"9"	8	32	27	2	59	91	3	9	1	4	4	4	236	NA	236	NA
"10"	9	6	20	5	65	162	17	6	2	0	9	5	297	NA	297	NA
"11"	10	10	180	1	1	250	4	6	1	1	7	1	462	NA	462	NA
"12"	11	7	49	3	17	114	4	5	10	2	8	4	223	NA	223	NA
"13"	12	59	85	38	10	242	16	6	3	5	12	18	494	NA	494	NA
"14"	13	93	72	34	32	332	27	11	5	7	17	6	636	NA	636	NA
"15"	14	107	86	77	37	182	17	10	4	7	12	18	557	NA	557	NA
"16"	NA	622	1168	206	551	2750	142	100	125	49	146	100	5959	0	5959	0
"17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"19"	15	24	12	12	25	460	12	4	3	3	4	6	565	NA	565	NA
"20"	16	40	59	3	7	295	20	13	2	5	10	7	461	NA	461	NA
"21"	17	14	24	2	7	209	10	6	1	4	7	3	287	NA	287	NA
"22"	18	40	51	4	118	147	10	6	4	2	11	2	395	NA	395	NA
"23"	19	8	67	1	3	68	7	0	1	4	9	2	170	NA	170	NA
"24"	20	38	134	39	28	75	6	7	5	10	13	20	375	NA	375	NA
"25"	21	97	140	5	69	190	13	12	6	2	10	6	550	NA	550	NA
"26"	22	177	308	14	9	179	17	10	4	7	15	7	747	NA	747	NA
"27"	23	33	61	7	12	502	32	4	8	6	22	13	700	NA	700	NA
"28"	24	77	115	6	9	157	7	6	10	0	3	4	394	NA	394	NA
"29"	25	104	90	9	3	144	2	3	1	2	5	3	366	NA	366	NA
"30"	26	176	94	14	132	79	8	12	5	3	5	10	538	NA	538	NA
"31"	27	60	33	12	4	352	14	2	9	3	5	7	501	NA	501	NA
"32"	28	39	9	6	9	352	16	2	1	2	4	8	448	NA	448	NA
"33"	NA	927	1197	134	435	3209	174	87	60	53	123	98	6497	0	6497	0
"34"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"36"	29	51	14	5	11	454	9	3	0	2	4	2	555	NA	555	NA
"37"	30	91	82	18	5	271	8	3	0	4	7	5	494	NA	494	NA
"38"	31	137	69	5	13	312	6	4	2	3	0	7	558	NA	558	NA
"39"	32	83	98	13	1	312	8	5	3	5	7	4	539	NA	539	NA
"40"	33	148	254	33	19	243	8	13	3	6	13	8	748	NA	748	NA
"41"	34	125	137	21	21	357	5	5	1	2	6	3	683	NA	683	NA
"42"	35	111	102	86	9	188	13	4	11	10	13	10	557	NA	557	NA
"43"	36	84	94	4	5	171	5	8	2	2	6	2	383	NA	383	NA
"44"	37	119	56	4	7	114	11	3	4	5	4	4	331	NA	331	NA
