"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X230882.34.Babubarhi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"4"	"Round No.1"	"1"	"18"	"4"	"84"	"103"	"11"	"0"	"1"	"0"	"0"	"1"	"1"	"223"	""	"223"	""
"5"	""	"2"	"8"	"6"	"225"	"245"	"8"	"4"	"10"	"2"	"3"	"5"	"18"	"534"	""	"534"	""
"6"	""	"3"	"51"	"10"	"309"	"276"	"7"	"11"	"5"	"2"	"4"	"2"	"3"	"680"	""	"680"	""
"7"	""	"4"	"250"	"14"	"142"	"166"	"10"	"3"	"6"	"3"	"3"	"3"	"3"	"603"	""	"603"	""
"8"	""	"5"	"210"	"6"	"57"	"109"	"4"	"4"	"2"	"0"	"2"	"2"	"9"	"405"	""	"405"	""
"9"	""	"6"	"52"	"10"	"222"	"179"	"5"	"6"	"2"	"4"	"1"	"6"	"8"	"495"	""	"495"	""
"10"	""	"7"	"18"	"1"	"49"	"437"	"5"	"6"	"5"	"3"	"2"	"2"	"12"	"540"	""	"540"	""
"11"	""	"8"	"15"	"0"	"100"	"328"	"3"	"3"	"5"	"1"	"2"	"1"	"4"	"462"	""	"462"	""
"12"	""	"9"	"40"	"10"	"323"	"252"	"7"	"6"	"10"	"9"	"12"	"17"	"18"	"704"	""	"704"	""
"13"	""	"10"	"39"	"4"	"296"	"305"	"7"	"3"	"5"	"4"	"5"	"4"	"4"	"676"	""	"676"	""
"14"	""	"11"	"33"	"2"	"108"	"145"	"0"	"4"	"5"	"0"	"1"	"3"	"3"	"304"	""	"304"	""
"15"	""	"12"	"5"	"6"	"146"	"279"	"10"	"5"	"10"	"6"	"8"	"15"	"56"	"546"	""	"546"	""
"16"	""	"13"	"27"	"3"	"22"	"119"	"3"	"3"	"3"	"1"	"1"	"0"	"6"	"188"	""	"188"	""
"17"	""	"14"	"22"	"2"	"99"	"148"	"3"	"4"	"1"	"2"	"1"	"3"	"5"	"290"	""	"290"	""
"18"	""	"Total -1"	"788"	"78"	"2182"	"3091"	"83"	"62"	"70"	"37"	"45"	"64"	"150"	"6650"	"0"	"6650"	"0"
"19"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"23"	"Round No.2"	"15"	"63"	"18"	"90"	"314"	"9"	"5"	"12"	"5"	"7"	"8"	"12"	"543"	""	"543"	""
"24"	""	"16"	"140"	"4"	"19"	"343"	"9"	"4"	"5"	"3"	"6"	"6"	"14"	"553"	""	"553"	""
"25"	""	"17"	"54"	"2"	"163"	"265"	"5"	"3"	"4"	"2"	"1"	"3"	"0"	"502"	""	"502"	""
"26"	""	"18"	"42"	"8"	"203"	"169"	"5"	"3"	"3"	"2"	"3"	"4"	"12"	"454"	""	"454"	""
"27"	""	"19"	"14"	"6"	"106"	"443"	"7"	"5"	"4"	"4"	"3"	"3"	"6"	"601"	""	"601"	""
"28"	""	"20"	"3"	"0"	"22"	"126"	"2"	"1"	"0"	"1"	"1"	"0"	"4"	"160"	""	"160"	""
"29"	""	"21"	"43"	"6"	"149"	"290"	"5"	"8"	"10"	"2"	"3"	"1"	"4"	"521"	""	"521"	""
"30"	""	"22"	"4"	"5"	"513"	"21"	"3"	"2"	"2"	"1"	"2"	"2"	"11"	"566"	""	"566"	""
"31"	""	"23"	"49"	"13"	"288"	"271"	"9"	"11"	"9"	"14"	"10"	"21"	"35"	"730"	""	"730"	""
"32"	""	"24"	"18"	"1"	"142"	"217"	"6"	"2"	"4"	"2"	"4"	"6"	"8"	"410"	""	"410"	""
"33"	""	"25"	"35"	"11"	"273"	"280"	"35"	"2"	"4"	"4"	"3"	"9"	"7"	"663"	""	"663"	""
"34"	""	"26"	"22"	"4"	"242"	"132"	"8"	"6"	"6"	"7"	"6"	"14"	"35"	"482"	""	"482"	""
"35"	""	"27"	"55"	"8"	"210"	"377"	"17"	"9"	"7"	"8"	"7"	"9"	"9"	"716"	""	"716"	""
"36"	""	"28"	"138"	"21"	"344"	"157"	"4"	"9"	"16"	"4"	"6"	"11"	"11"	"721"	""	"721"	""
"37"	""	"Total -2"	"680"	"107"	"2764"	"3405"	"124"	"70"	"86"	"59"	"62"	"97"	"168"	"7622"	"0"	"7622"	"0"
"38"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"42"	"Round No.3"	"29"	"27"	"7"	"220"	"185"	"7"	"7"	"6"	"5"	"3"	"4"	"5"	"476"	""	"476"	""
"43"	""	"30"	"68"	"8"	"124"	"283"	"10"	"14"	"15"	"3"	"7"	"15"	"36"	"583"	""	"583"	""
"44"	""	"31"	"9"	"1"	"331"	"107"	"4"	"5"	"5"	"4"	"1"	"3"	"5"	"475"	""	"475"	""
"45"	""	"32"	"39"	"10"	"188"	"354"	"11"	"4"	"6"	"1"	"4"	"2"	"4"	"623"	""	"623"	""
"46"	""	"33"	"18"	"11"	"229"	"411"	"13"	"7"	"7"	"4"	"9"	"17"	"22"	"748"	""	"748"	""
"47"	""	"34"	"24"	"5"	"114"	"244"	"45"	"4"	"8"	"5"	"6"	"6"	"22"	"483"	""	"483"	""
"48"	""	"35"	"69"	"9"	"136"	"202"	"9"	"9"	"10"	"3"	"7"	"4"	"24"	"482"	""	"482"	""
