"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"1"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"3"	"1"	"190"	"42"	"9"	"2"	"49"	"0"	"2"	"48"	"3"	"5"	"2"	"0"	"0"	"1"	"1"	"6"	"5"	"3"	"1"	"1"	"0"	"2"	"372"	"0"	"372"	"0"
"4"	"2"	"276"	"70"	"5"	"2"	"5"	"2"	"3"	"55"	"11"	"1"	"0"	"2"	"0"	"3"	"4"	"13"	"16"	"3"	"0"	"1"	"2"	"5"	"479"	"0"	"479"	"0"
"5"	"3"	"480"	"74"	"37"	"17"	"32"	"4"	"6"	"55"	"3"	"2"	"2"	"3"	"2"	"7"	"1"	"4"	"4"	"0"	"0"	"2"	"0"	"2"	"737"	"0"	"737"	"0"
"6"	"4"	"161"	"126"	"26"	"6"	"94"	"2"	"3"	"31"	"4"	"6"	"1"	"0"	"4"	"4"	"1"	"7"	"4"	"2"	"0"	"4"	"1"	"4"	"491"	"0"	"491"	"0"
"7"	"5"	"260"	"18"	"13"	"4"	"12"	"0"	"1"	"35"	"2"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"11"	"1"	"0"	"0"	"3"	"5"	"370"	"0"	"370"	"0"
"8"	"6"	"417"	"83"	"14"	"6"	"24"	"3"	"1"	"45"	"8"	"4"	"2"	"1"	"1"	"3"	"5"	"15"	"20"	"5"	"2"	"8"	"9"	"5"	"681"	"0"	"681"	"0"
"9"	"7"	"340"	"75"	"16"	"0"	"6"	"2"	"0"	"26"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"473"	"0"	"473"	"0"
"10"	"8"	"253"	"20"	"7"	"2"	"1"	"1"	"0"	"16"	"4"	"0"	"0"	"1"	"0"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"0"	"311"	"0"
"11"	"9"	"189"	"190"	"6"	"1"	"68"	"2"	"1"	"42"	"7"	"3"	"3"	"3"	"4"	"7"	"7"	"16"	"5"	"3"	"2"	"3"	"3"	"1"	"566"	"0"	"566"	"0"
"12"	"10"	"205"	"67"	"28"	"1"	"18"	"0"	"2"	"36"	"9"	"4"	"0"	"1"	"7"	"7"	"5"	"14"	"2"	"0"	"0"	"0"	"0"	"2"	"408"	"0"	"408"	"0"
"13"	"11"	"254"	"50"	"20"	"1"	"32"	"3"	"1"	"18"	"4"	"2"	"0"	"0"	"1"	"0"	"1"	"8"	"7"	"1"	"0"	"1"	"3"	"7"	"414"	"0"	"414"	"0"
"14"	"12"	"348"	"108"	"14"	"11"	"64"	"2"	"3"	"44"	"8"	"2"	"1"	"0"	"1"	"3"	"2"	"11"	"10"	"4"	"2"	"5"	"2"	"2"	"647"	"0"	"647"	"0"
"15"	"13"	"350"	"184"	"31"	"7"	"35"	"1"	"2"	"27"	"7"	"2"	"2"	"2"	"0"	"3"	"2"	"9"	"3"	"3"	"0"	"0"	"2"	"7"	"679"	"0"	"679"	"0"
"16"	"14"	"124"	"209"	"14"	"3"	"36"	"0"	"0"	"14"	"1"	"2"	"0"	"0"	"1"	"1"	"1"	"3"	"7"	"9"	"1"	"6"	"3"	"2"	"437"	"0"	"437"	"0"
"17"	"l hV dk
; ksx"	"3847"	"1316"	"240"	"63"	"476"	"22"	"25"	"492"	"73"	"34"	"14"	"13"	"22"	"42"	"34"	"113"	"94"	"34"	"8"	"31"	"28"	"44"	"7065"	"0"	"7065"	"0"
"18"	"d qy  &"	"3847"	"1316"	"240"	"63"	"476"	"22"	"25"	"492"	"73"	"34"	"14"	"13"	"22"	"42"	"34"	"113"	"94"	"34"	"8"	"31"	"28"	"44"	"7065"	"0"	"7065"	"0"
"19"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"20"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"21"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"22"	"i woZ  dk
; ksx&"	"3847"	"1316"	"240"	"63"	"476"	"22"	"25"	"492"	"73"	"34"	"14"	"13"	"22"	"42"	"34"	"113"	"94"	"34"	"8"	"31"	"28"	"44"	"7065"	"0"	"7065"	"0"
"23"	"15"	"400"	"54"	"5"	"0"	"3"	"0"	"0"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"494"	"0"	"494"	"0"
"24"	"16"	"140"	"120"	"11"	"9"	"74"	"1"	"2"	"51"	"5"	"3"	"0"	"0"	"1"	"4"	"1"	"1"	"6"	"1"	"0"	"1"	"0"	"1"	"432"	"0"	"432"	"0"
"25"	"17"	"135"	"261"	"7"	"6"	"43"	"2"	"0"	"41"	"5"	"2"	"2"	"0"	"1"	"0"	"0"	"10"	"4"	"3"	"1"	"0"	"0"	"0"	"523"	"0"	"523"	"0"
"26"	"18"	"92"	"24"	"6"	"3"	"202"	"4"	"1"	"5"	"1"	"4"	"2"	"6"	"3"	"1"	"1"	"16"	"7"	"2"	"0"	"0"	"3"	"3"	"386"	"0"	"386"	"0"
"27"	"19"	"70"	"26"	"8"	"4"	"211"	"5"	"4"	"12"	"4"	"3"	"0"	"2"	"1"	"1"	"0"	"3"	"9"	"3"	"1"	"2"	"4"	"2"	"375"	"0"	"375"	"0"
"28"	"20"	"123"	"247"	"18"	"2"	"90"	"0"	"1"	"63"	"6"	"3"	"0"	"0"	"1"	"4"	"2"	"0"	"5"	"1"	"1"	"2"	"1"	"0"	"570"	"0"	"570"	"0"
"29"	"21"	"130"	"32"	"4"	"15"	"75"	"2"	"0"	"54"	"4"	"3"	"0"	"0"	"0"	"2"	"0"	"2"	"9"	"5"	"4"	"0"	"3"	"3"	"347"	"0"	"347"	"0"
"30"	"22"	"122"	"115"	"5"	"7"	"92"	"0"	"0"	"42"	"3"	"2"	"1"	"2"	"0"	"1"	"0"	"5"	"0"	"1"	"0"	"2"	"0"	"1"	"401"	"0"	"401"	"0"
"31"	"23"	"71"	"247"	"5"	"26"	"112"	"1"	"1"	"20"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"4"	"0"	"8"	"500"	"0"	"500"	"0"
"32"	"24"	"14"	"285"	"8"	"3"	"71"	"2"	"2"	"9"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"401"	"0"	"401"	"0"
"33"	"25"	"229"	"72"	"65"	"5"	"40"	"3"	"1"	"84"	"6"	"2"	"1"	"0"	"1"	"3"	"2"	"6"	"7"	"0"	"1"	"2"	"2"	"1"	"533"	"0"	"533"	"0"
"34"	"26"	"306"	"136"	"67"	"6"	"75"	"5"	"2"	"33"	"12"	"5"	"2"	"3"	"0"	"3"	"3"	"7"	"12"	"2"	"4"	"5"	"5"	"6"	"699"	"0"	"699"	"0"
"35"	"27"	"152"	"60"	"12"	"15"	"272"	"9"	"3"	"50"	"3"	"6"	"3"	"2"	"4"	"6"	"4"	"0"	"6"	"1"	"6"	"1"	"4"	"3"	"622"	"0"	"622"	"0"
"36"	"28"	"227"	"41"	"11"	"4"	"59"	"3"	"1"	"80"	"4"	"4"	"0"	"2"	"0"	"7"	"2"	"6"	"16"	"17"	"4"	"4"	"3"	"12"	"507"	"0"	"507"	"0"
"37"	"l hV dk
; ksx"	"2211"	"1720"	"232"	"105"	"1419"	"37"	"18"	"572"	"55"	"39"	"11"	"17"	"12"	"33"	"16"	"56"	"84"	"38"	"23"	"23"	"27"	"42"	"6790"	"0"	"6790"	"0"
"38"	"d qy  &"	"6058"	"3036"	"472"	"168"	"1895"	"59"	"43"	"1064"	"128"	"73"	"25"	"30"	"34"	"75"	"50"	"169"	"178"	"72"	"31"	"54"	"55"	"86"	"13855"	"0"	"13855"	"0"
"39"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"40"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"42"	"i woZ  dk
; ksx&"	"6058"	"3036"	"472"	"168"	"1895"	"59"	"43"	"1064"	"128"	"73"	"25"	"30"	"34"	"75"	"50"	"169"	"178"	"72"	"31"	"54"	"55"	"86"	"13855"	"0"	"13855"	"0"
"43"	"29"	"460"	"32"	"17"	"12"	"25"	"0"	"0"	"42"	"7"	"2"	"0"	"0"	"2"	"2"	"1"	"3"	"26"	"3"	"4"	"6"	"1"	"9"	"654"	"0"	"654"	"0"
"44"	"30"	"242"	"22"	"6"	"6"	"64"	"2"	"1"	"38"	"3"	"1"	"0"	"1"	"0"	"0"	"2"	"3"	"8"	"0"	"0"	"0"	"0"	"2"	"401"	"0"	"401"	"0"
"45"	"31"	"239"	"94"	"20"	"3"	"56"	"2"	"2"	"21"	"7"	"1"	"0"	"0"	"1"	"5"	"1"	"1"	"9"	"2"	"2"	"2"	"0"	"4"	"472"	"0"	"472"	"0"
"46"	"32"	"122"	"260"	"23"	"5"	"119"	"3"	"2"	"32"	"9"	"2"	"4"	"1"	"0"	"4"	"5"	"15"	"4"	"8"	"1"	"5"	"4"	"11"	"639"	"0"	"639"	"0"
"47"	"33"	"67"	"98"	"32"	"13"	"151"	"5"	"2"	"31"	"2"	"3"	"2"	"3"	"2"	"6"	"2"	"7"	"15"	"4"	"2"	"9"	"7"	"12"	"475"	"0"	"475"	"0"
"48"	"34"	"387"	"141"	"33"	"4"	"12"	"2"	"1"	"45"	"2"	"0"	"1"	"1"	"1"	"3"	"2"	"1"	"9"	"2"	"0"	"2"	"1"	"3"	"653"	"0"	"653"	"0"
"49"	"35"	"345"	"215"	"54"	"5"	"13"	"3"	"3"	"57"	"6"	"4"	"3"	"2"	"2"	"4"	"2"	"9"	"11"	"4"	"1"	"7"	"6"	"10"	"766"	"0"	"766"	"0"
"50"	"36"	"384"	"62"	"16"	"2"	"36"	"2"	"1"	"41"	"3"	"0"	"0"	"1"	"0"	"3"	"2"	"1"	"6"	"1"	"0"	"0"	"0"	"1"	"562"	"0"	"562"	"0"
"51"	"37"	"102"	"16"	"6"	"1"	"5"	"0"	"1"	"17"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"153"	"0"	"153"	"0"
"52"	"38"	"309"	"45"	"32"	"2"	"14"	"1"	"0"	"52"	"4"	"4"	"1"	"1"	"3"	"8"	"2"	"12"	"20"	"9"	"3"	"2"	"4"	"1"	"529"	"0"	"529"	"0"
"53"	"39"	"123"	"14"	"24"	"3"	"49"	"1"	"0"	"24"	"5"	"4"	"0"	"0"	"1"	"1"	"0"	"2"	"3"	"0"	"0"	"0"	"2"	"3"	"259"	"0"	"259"	"0"
"54"	"40"	"91"	"173"	"11"	"34"	"157"	"3"	"0"	"25"	"1"	"3"	"0"	"1"	"1"	"3"	"2"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"509"	"0"	"509"	"0"
"55"	"41"	"212"	"88"	"78"	"6"	"92"	"1"	"2"	"29"	"3"	"3"	"1"	"1"	"1"	"6"	"0"	"3"	"8"	"6"	"9"	"8"	"4"	"11"	"572"	"0"	"572"	"0"
"56"	"42"	"15"	"153"	"15"	"19"	"23"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"5"	"1"	"3"	"7"	"2"	"3"	"257"	"0"	"257"	"0"
