"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27- BANKA PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"5"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL GUPTA"	"AMRESHW AR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"6"	"161"	"1"	"2"	"18"	"11"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"0"	"5"	"345"	"8"	"3"	"398"	"NIL"
"7"	"161"	"2"	"5"	"39"	"53"	"4"	"4"	"2"	"0"	"3"	"2"	"1"	"21"	"2"	"9"	"350"	"41"	"15"	"551"	"NIL"
"8"	"161"	"3"	"13"	"137"	"33"	"3"	"6"	"0"	"2"	"0"	"2"	"4"	"1"	"1"	"1"	"63"	"10"	"6"	"282"	"NIL"
"9"	"161"	"4"	"18"	"63"	"60"	"71"	"14"	"8"	"11"	"2"	"4"	"3"	"69"	"7"	"26"	"247"	"38"	"7"	"648"	"NIL"
"10"	"161"	"5"	"4"	"95"	"16"	"2"	"5"	"2"	"3"	"1"	"0"	"2"	"9"	"5"	"10"	"227"	"41"	"36"	"458"	"NIL"
"11"	"161"	"6"	"24"	"17"	"77"	"3"	"30"	"3"	"1"	"3"	"2"	"0"	"29"	"3"	"32"	"333"	"27"	"12"	"596"	"NIL"
"12"	"161"	"7"	"17"	"23"	"40"	"7"	"2"	"2"	"0"	"1"	"3"	"0"	"11"	"4"	"10"	"414"	"36"	"13"	"583"	"NIL"
"13"	"161"	"8"	"14"	"143"	"10"	"3"	"2"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"6"	"119"	"34"	"62"	"399"	"NIL"
"14"	"161"	"9"	"9"	"84"	"15"	"0"	"5"	"1"	"1"	"0"	"1"	"1"	"5"	"5"	"10"	"230"	"47"	"240"	"654"	"NIL"
"15"	"161"	"10"	"5"	"34"	"1"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"3"	"9"	"133"	"31"	"67"	"288"	"NIL"
