"Total.No..of.Electors.in.Assembly.Constituency.Segment..196842"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Name of the Assembly/segment- 121-PARSA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No-01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"9"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"11"	"1"	"68"	"442"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"6"	"521"	"0"	"521"	"0"
"12"	"2"	"119"	"276"	"40"	"5"	"1"	"3"	"5"	"3"	"1"	"1"	"6"	"7"	"467"	"0"	"467"	"0"
"13"	"3"	"191"	"35"	"73"	"4"	"0"	"1"	"4"	"1"	"1"	"2"	"2"	"7"	"321"	"0"	"321"	"0"
"14"	"4"	"292"	"103"	"49"	"5"	"0"	"1"	"3"	"5"	"2"	"2"	"1"	"4"	"467"	"0"	"467"	"0"
"15"	"5"	"223"	"288"	"28"	"6"	"1"	"3"	"5"	"2"	"4"	"0"	"2"	"9"	"571"	"0"	"571"	"0"
"16"	"6"	"270"	"124"	"39"	"2"	"0"	"2"	"2"	"3"	"4"	"1"	"2"	"7"	"456"	"0"	"456"	"0"
"17"	"7"	"289"	"77"	"109"	"6"	"3"	"2"	"6"	"3"	"2"	"3"	"7"	"22"	"529"	"0"	"529"	"0"
"18"	"8"	"138"	"161"	"174"	"11"	"1"	"3"	"12"	"2"	"2"	"8"	"8"	"7"	"527"	"0"	"527"	"0"
"19"	"9"	"302"	"211"	"59"	"5"	"4"	"4"	"14"	"9"	"10"	"6"	"14"	"18"	"656"	"0"	"656"	"0"
"20"	"10"	"229"	"113"	"88"	"6"	"0"	"1"	"3"	"2"	"3"	"1"	"1"	"3"	"450"	"0"	"450"	"0"
"21"	"11"	"115"	"280"	"82"	"5"	"1"	"3"	"13"	"3"	"5"	"1"	"8"	"3"	"519"	"0"	"519"	"0"
"22"	"12"	"255"	"142"	"22"	"1"	"2"	"2"	"10"	"2"	"3"	"4"	"1"	"3"	"447"	"0"	"447"	"0"
"23"	"13"	"202"	"124"	"18"	"0"	"0"	"1"	"10"	"0"	"2"	"1"	"1"	"5"	"364"	"0"	"364"	"0"
"24"	"14"	"246"	"134"	"9"	"3"	"2"	"0"	"4"	"5"	"2"	"2"	"4"	"2"	"413"	"0"	"413"	"0"
"25"	"Total"	"2939"	"2510"	"790"	"59"	"16"	"26"	"91"	"40"	"42"	"33"	"59"	"103"	"6708"	"0"	"6708"	"0"
"26"	"B.F."	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"27"	"G. Total"	"2939"	"2510"	"790"	"59"	"16"	"26"	"91"	"40"	"42"	"33"	"59"	"103"	"6708"	"0"	"6708"	"0"
"28"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
