"Sl..No."	"No..of.Polli.ng.Station"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejecte.d.votes"	"Total"	"No..of.Tendere.d.votes"
"1"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"2"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"3"	"1"	"1"	"31"	"27"	"390"	"240"	"27"	"1"	"2"	"3"	"3"	"3"	"3"	"5"	"4"	"6"	"4"	"749"	"0"	"749"	""
"4"	"2"	"2"	"9"	"15"	"605"	"66"	"11"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"4"	"0"	"1"	"716"	"0"	"716"	""
"5"	"3"	"3"	"44"	"5"	"51"	"70"	"77"	"4"	"2"	"1"	"0"	"2"	"1"	"1"	"4"	"4"	"3"	"269"	"0"	"269"	""
"6"	"4"	"4"	"4"	"13"	"421"	"36"	"6"	"0"	"3"	"2"	"0"	"1"	"4"	"5"	"6"	"6"	"8"	"515"	"0"	"515"	""
"7"	"5"	"5"	"21"	"12"	"512"	"73"	"8"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"8"	"3"	"4"	"644"	"0"	"644"	""
"8"	"6"	"6"	"132"	"15"	"291"	"29"	"49"	"2"	"1"	"4"	"2"	"1"	"2"	"5"	"12"	"6"	"9"	"560"	"0"	"560"	""
"9"	"7"	"7"	"122"	"25"	"541"	"83"	"32"	"3"	"0"	"2"	"0"	"0"	"0"	"3"	"6"	"4"	"8"	"829"	"0"	"829"	""
"10"	"8"	"8"	"10"	"5"	"312"	"123"	"78"	"6"	"1"	"3"	"1"	"0"	"3"	"2"	"8"	"5"	"6"	"563"	"0"	"563"	""
"11"	"9"	"9"	"3"	"7"	"332"	"70"	"32"	"1"	"0"	"2"	"1"	"0"	"2"	"5"	"8"	"5"	"2"	"470"	"0"	"470"	""
"12"	"10"	"10"	"7"	"3"	"357"	"27"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"7"	"0"	"3"	"411"	"0"	"411"	""
"13"	"11"	"11"	"12"	"5"	"260"	"74"	"19"	"0"	"5"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"380"	"0"	"380"	""
"14"	"12"	"12"	"21"	"13"	"426"	"80"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"2"	"550"	"0"	"550"	""
"15"	"13"	"13"	"2"	"3"	"450"	"43"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"511"	"0"	"511"	""
"16"	"14"	"14"	"71"	"20"	"156"	"118"	"47"	"6"	"2"	"2"	"1"	"2"	"1"	"4"	"12"	"3"	"10"	"455"	"0"	"455"	""
"17"	"15"	"15"	"14"	"13"	"390"	"64"	"38"	"4"	"1"	"1"	"1"	"0"	"3"	"3"	"4"	"7"	"8"	"551"	"0"	"551"	""
"18"	"16"	"16"	"12"	"6"	"310"	"73"	"99"	"2"	"1"	"0"	"1"	"2"	"0"	"2"	"0"	"3"	"4"	"515"	"0"	"515"	""
"19"	"17"	"17"	"2"	"8"	"158"	"49"	"104"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"324"	"0"	"324"	""
"20"	"18"	"18"	"87"	"8"	"140"	"101"	"11"	"0"	"1"	"3"	"2"	"1"	"1"	"3"	"3"	"1"	"6"	"368"	"0"	"368"	""
"21"	"19"	"19"	"180"	"10"	"241"	"99"	"54"	"1"	"1"	"3"	"0"	"1"	"4"	"2"	"5"	"7"	"8"	"616"	"0"	"616"	""
"22"	"20"	"20"	"209"	"4"	"133"	"48"	"15"	"0"	"1"	"0"	"3"	"0"	"1"	"0"	"1"	"2"	"2"	"419"	"0"	"419"	""
"23"	"21"	"21"	"67"	"12"	"215"	"71"	"20"	"1"	"1"	"2"	"3"	"2"	"1"	"1"	"3"	"6"	"1"	"406"	"0"	"406"	""
"24"	"22"	"22"	"20"	"13"	"245"	"169"	"18"	"1"	"5"	"2"	"7"	"0"	"2"	"2"	"2"	"1"	"9"	"496"	"0"	"496"	""
"25"	"23"	"23"	"88"	"7"	"24"	"38"	"56"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"219"	"0"	"219"	""
"26"	"24"	"24"	"5"	"1"	"68"	"95"	"39"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"3"	"1"	"4"	"221"	"0"	"221"	""
"27"	"25"	"25"	"7"	"18"	"395"	"114"	"69"	"2"	"1"	"3"	"0"	"0"	"4"	"1"	"8"	"6"	"16"	"644"	"0"	"644"	""
"28"	"26"	"26"	"94"	"14"	"119"	"52"	"68"	"0"	"2"	"1"	"1"	"1"	"3"	"4"	"12"	"6"	"8"	"385"	"0"	"385"	""
"29"	"27"	"27"	"14"	"24"	"200"	"164"	"79"	"2"	"1"	"3"	"3"	"3"	"3"	"2"	"4"	"3"	"5"	"510"	"0"	"510"	""
"30"	"28"	"28"	"2"	"6"	"66"	"31"	"26"	"2"	"2"	"2"	"0"	"1"	"1"	"3"	"3"	"4"	"13"	"162"	"0"	"162"	""
"31"	"29"	"29"	"1"	"2"	"61"	"8"	"145"	"3"	"6"	"3"	"1"	"1"	"1"	"2"	"2"	"7"	"10"	"253"	"0"	"253"	""
"32"	"30"	"30"	"106"	"18"	"390"	"118"	"38"	"3"	"2"	"1"	"1"	"0"	"3"	"2"	"18"	"7"	"4"	"711"	"0"	"711"	""
"33"	"31"	"31"	"67"	"22"	"310"	"89"	"20"	"0"	"1"	"1"	"1"	"0"	"3"	"2"	"15"	"5"	"19"	"555"	"0"	"555"	""
"34"	"32"	"32"	"1"	"2"	"74"	"14"	"15"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"6"	"4"	"4"	"124"	"0"	"124"	""
"35"	"33"	"33"	"4"	"20"	"316"	"225"	"10"	"0"	"0"	"1"	"1"	"1"	"1"	"3"	"2"	"1"	"1"	"586"	"0"	"586"	""
"36"	"34"	"34"	"28"	"25"	"320"	"64"	"50"	"1"	"9"	"4"	"0"	"0"	"2"	"3"	"6"	"2"	"8"	"522"	"0"	"522"	""
"37"	"35"	"35"	"41"	"15"	"219"	"99"	"42"	"1"	"0"	"4"	"1"	"1"	"1"	"7"	"8"	"12"	"13"	"464"	"0"	"464"	""
"38"	"36"	"36"	"22"	"19"	"156"	"134"	"140"	"8"	"3"	"4"	"1"	"1"	"4"	"9"	"4"	"4"	"8"	"517"	"0"	"517"	""
"39"	"37"	"37"	"71"	"10"	"2"	"85"	"28"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"5"	"207"	"0"	"207"	""
"40"	"38"	"38"	"16"	"15"	"86"	"190"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"4"	"1"	"340"	"0"	"340"	""
"41"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of Tendere d votes"
