"X.v...k....XIV..i.kj.k.26.9.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"QkeZ & 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v afr e  i fj . kke  Ik="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[fu; e  56 C (2) nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"34&l kl kj ke l al nh;  fuokZpu {ks= l s yksd  l Hkk ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"fo/kku l Hkk fuokZpu {ks= esa fuokZpdksa dh dqy  l a[ ; k 282099"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 208&l kl kj ke  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"9"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"10"	"1"	"6"	"25"	"3"	"365"	"4"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"5"	"3"	"1"	"1"	"417"	""	"417"	""
"11"	"2"	"12"	"96"	"70"	"76"	"12"	"2"	"3"	"0"	"1"	"1"	"0"	"3"	"6"	"5"	"3"	"4"	"294"	""	"294"	""
"12"	"3"	"5"	"146"	"54"	"92"	"1"	"2"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"3"	"1"	"2"	"310"	""	"310"	""
"13"	"4"	"70"	"113"	"225"	"40"	"5"	"0"	"0"	"0"	"1"	"2"	"2"	"1"	"2"	"4"	"6"	"0"	"471"	""	"471"	""
"14"	"5"	"0"	"8"	"11"	"138"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"161"	""	"161"	""
"15"	"6"	"36"	"82"	"31"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"157"	""	"157"	""
"16"	"7"	"105"	"27"	"21"	"75"	"3"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"238"	""	"238"	""
"17"	"8"	"88"	"106"	"8"	"19"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"224"	""	"224"	""
"18"	"9"	"151"	"29"	"34"	"30"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"1"	"6"	"259"	""	"259"	""
