"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X226458.86.Keoti"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"4"	"Round No.1"	"1"	"82"	"5"	"10"	"207"	"23"	"1"	"8"	"6"	"5"	"6"	"5"	"2"	"9"	"101"	"470"	""	"470"	""
"5"	""	"2"	"56"	"9"	"17"	"136"	"19"	"6"	"3"	"5"	"3"	"0"	"4"	"2"	"4"	"148"	"412"	""	"412"	""
"6"	""	"3"	"220"	"9"	"7"	"140"	"34"	"5"	"1"	"3"	"2"	"6"	"3"	"4"	"9"	"23"	"466"	""	"466"	""
"7"	""	"4"	"85"	"9"	"15"	"151"	"19"	"3"	"3"	"4"	"4"	"5"	"2"	"0"	"4"	"16"	"320"	""	"320"	""
"8"	""	"5"	"166"	"9"	"21"	"147"	"15"	"4"	"3"	"7"	"1"	"1"	"0"	"1"	"4"	"22"	"401"	""	"401"	""
"9"	""	"6"	"150"	"10"	"15"	"214"	"18"	"4"	"1"	"0"	"11"	"2"	"3"	"3"	"4"	"28"	"463"	""	"463"	""
"10"	""	"7"	"76"	"6"	"28"	"284"	"40"	"3"	"1"	"4"	"7"	"6"	"12"	"3"	"9"	"33"	"512"	""	"512"	""
"11"	""	"8"	"46"	"2"	"20"	"344"	"38"	"2"	"4"	"1"	"1"	"1"	"7"	"4"	"8"	"22"	"500"	""	"500"	""
"12"	""	"9"	"202"	"20"	"59"	"195"	"33"	"1"	"6"	"7"	"5"	"2"	"1"	"4"	"2"	"15"	"552"	""	"552"	""
