"PC.No."	"AC.No."	"BOOTH.No."	"BOOTH.EXT"	"ARCHN.A.CHAND.RA"	"NIKHIL.KUMAR"	"SHAKIL.AHMAD.KHAN"	"SUSHIL.KUMAR.SINGH"	"ANIL.KUMAR.SINGH"	"AMERIK.A.MAHTO"	"RAM.KUMAR.MEHTA"	"VIJAY.PASWA.N"	"ASLAM.ANSARI"	"INDRA.DEO.RAM"	"UDAY.PASWAN"	"PUNA.DAS"	"RANJEET.KUMAR"	"RAJEND.RA.YADAV"	"RAMSWA.RUP.PRASAD.YADAV"	"SANTOS.H.KUMAR"	"TOTAL"
"1"	37	225	1	""	6	1	372	25	0	0	0	0	0	0	0	0	0	1	0	0	405
"2"	37	225	2	""	2	5	164	176	2	7	2	2	0	2	4	6	1	4	0	5	382
"3"	37	225	3	""	0	3	185	2	0	0	0	0	0	0	0	0	0	0	0	0	190
"4"	37	225	4	""	8	10	59	3	2	1	1	1	0	1	0	2	0	3	0	0	91
"5"	37	225	5	""	2	80	39	137	2	0	0	1	0	0	0	2	0	0	0	1	264
"6"	37	225	6	""	41	4	171	60	1	1	0	1	0	0	1	2	0	2	1	1	286
"7"	37	225	7	""	11	7	308	108	2	2	0	1	0	1	2	2	2	0	3	8	457
"8"	37	225	8	""	151	9	16	123	1	1	0	1	0	1	0	0	0	0	1	1	305
"9"	37	225	9	""	1	13	0	607	0	0	0	0	0	0	0	0	0	0	0	0	621
"10"	37	225	10	""	2	10	81	140	2	1	2	0	0	2	0	1	3	2	0	4	250
"11"	37	225	11	""	37	30	104	123	2	4	5	4	4	3	6	3	4	0	4	2	335
"12"	37	225	12	""	10	122	4	242	0	1	0	0	0	0	0	0	0	0	1	0	380
"13"	37	225	13	""	10	151	61	92	1	4	1	0	0	2	0	3	4	0	4	2	335
"14"	37	225	14	""	38	8	165	118	3	4	2	3	2	0	1	6	6	7	2	5	370
"15"	37	225	15	""	2	3	100	97	2	1	0	0	0	0	0	1	2	0	2	0	210
"16"	37	225	16	""	0	7	451	10	1	0	0	0	0	0	0	1	0	11	0	0	481
"17"	37	225	17	""	2	5	186	24	1	4	2	1	0	1	2	2	3	6	3	5	247
"18"	37	225	18	""	26	8	97	125	4	3	1	0	3	0	0	3	9	2	4	4	289
"19"	37	225	19	""	2	11	258	88	5	4	0	1	1	3	2	6	6	9	1	5	402
"20"	37	225	20	""	72	8	34	189	10	12	6	1	1	1	5	14	5	4	5	11	378
"21"	37	225	21	""	20	17	132	155	1	0	2	0	2	0	0	4	3	1	2	4	343
"22"	37	225	22	""	15	30	38	181	0	2	0	0	1	0	0	0	3	4	4	9	287
"23"	37	225	23	""	107	11	44	189	7	0	1	5	0	0	2	7	3	2	3	6	387
"24"	37	225	24	""	5	47	54	257	3	5	0	6	0	1	0	11	8	0	0	4	401
"25"	37	225	25	""	4	3	5	323	0	1	0	1	0	0	0	1	1	0	1	0	340
"26"	37	225	26	""	6	13	234	127	1	1	0	3	2	0	1	1	3	2	1	0	395
"27"	37	225	27	""	29	12	36	197	1	3	1	1	0	3	1	7	1	2	1	2	297
"28"	37	225	28	""	11	13	127	77	1	0	0	1	0	0	0	1	6	2	1	4	244
"29"	37	225	29	""	106	5	131	168	2	6	1	1	1	0	1	2	3	3	5	3	438
"30"	37	225	30	""	3	9	125	102	2	5	4	2	0	0	0	6	5	2	4	7	276
"31"	37	225	31	""	50	12	187	89	2	5	5	5	4	1	1	3	3	2	3	6	378
"32"	37	225	32	""	6	13	103	152	3	1	0	4	0	0	1	2	2	3	3	1	294
"33"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"34"	37	225	33	""	3	15	321	11	0	0	0	0	0	0	0	0	0	0	0	0	350
"35"	37	225	34	""	46	5	326	122	4	3	2	1	1	0	3	9	12	12	7	10	563
"36"	37	225	35	""	16	43	108	226	0	0	0	3	1	0	1	2	3	0	0	0	403
"37"	37	225	36	""	6	102	99	53	2	2	1	0	2	0	1	1	1	1	1	1	273
"38"	37	225	37	""	4	15	21	202	4	4	6	5	1	1	1	9	7	0	1	2	283
"39"	37	225	38	""	30	35	147	297	13	14	4	7	3	3	9	24	16	6	4	20	632
"40"	37	225	39	""	7	34	549	24	3	4	4	1	2	2	4	2	3	9	4	3	655
"41"	37	225	40	""	43	37	147	156	7	3	5	0	2	6	3	20	8	13	8	12	470
"42"	37	225	41	""	115	15	90	173	1	0	0	2	1	1	0	3	3	0	1	4	409
"43"	37	225	42	""	55	11	89	321	5	4	4	1	1	0	1	0	1	0	1	0	494
"44"	37	225	43	""	13	13	119	79	1	1	47	2	1	0	1	3	0	3	0	0	283
"45"	37	225	44	""	22	17	96	163	2	1	1	4	1	1	1	3	5	3	2	4	326
"46"	37	225	45	""	23	2	0	122	3	1	12	0	1	2	2	5	1	0	0	1	175
"47"	37	225	46	""	2	35	2	381	4	3	1	0	1	0	2	4	0	2	2	0	439
"48"	37	225	47	""	6	19	44	108	0	0	3	1	0	1	5	6	6	6	1	6	212
"49"	37	225	48	""	94	3	52	74	3	0	1	3	1	0	1	4	0	0	1	2	239
"50"	37	225	49	""	112	19	42	143	2	2	0	0	0	0	1	3	0	0	0	2	326
"51"	37	225	50	""	29	3	624	26	1	0	0	2	0	0	0	2	0	1	1	1	690
"52"	37	225	51	""	55	24	261	32	6	3	2	25	2	1	2	6	1	2	1	3	426
"53"	37	225	52	""	79	17	227	7	4	1	2	0	0	0	0	0	0	1	0	0	338
"54"	37	225	53	""	155	86	75	224	2	0	2	2	1	1	0	5	4	2	0	5	564
"55"	37	225	54	""	24	27	46	443	6	3	1	1	0	0	2	5	4	0	4	2	568
"56"	37	225	55	""	14	3	36	42	1	2	2	0	0	0	0	1	2	1	0	2	106
"57"	37	225	56	""	23	23	70	95	6	6	3	0	1	2	1	4	3	1	2	1	241
"58"	37	225	57	""	38	18	42	217	1	3	28	3	1	0	2	4	1	0	1	3	362
"59"	37	225	58	""	119	25	107	102	4	3	7	4	1	2	3	9	5	8	3	8	410
"60"	37	225	59	""	136	4	45	200	2	3	0	1	0	0	0	0	0	0	0	1	392
"61"	37	225	60	""	138	21	48	242	7	2	1	1	2	2	3	5	8	0	1	10	491
"62"	37	225	61	""	26	5	61	179	2	2	1	1	0	0	0	2	2	1	2	7	291
"63"	37	225	62	""	20	8	692	85	2	0	2	0	1	0	1	5	0	1	0	0	817
"64"	37	225	63	""	119	10	234	66	3	1	0	0	0	3	1	4	4	2	4	8	459
"65"	37	225	64	""	8	61	37	86	4	3	1	3	3	2	0	4	2	3	1	5	223
"66"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"67"	37	225	65	""	3	7	55	431	0	0	1	1	0	0	0	1	0	2	0	0	501
"68"	37	225	66	""	60	7	29	629	4	2	0	1	0	0	2	5	2	4	2	7	754
"69"	37	225	67	""	11	16	83	308	1	2	0	0	0	0	0	2	1	2	1	0	427
"70"	37	225	68	""	2	13	6	275	2	1	0	0	0	0	1	0	0	0	0	1	301
"71"	37	225	69	""	13	2	102	311	3	2	1	2	1	0	0	2	2	1	1	1	444
"72"	37	225	70	""	43	26	83	112	3	10	3	7	2	3	5	11	7	4	6	15	340
"73"	37	225	71	""	14	8	81	170	1	0	2	0	0	0	1	5	1	1	1	1	286
"74"	37	225	72	""	1	38	103	10	0	1	0	0	0	0	0	1	0	1	3	2	160
"75"	37	225	73	""	72	54	103	261	4	0	0	0	1	0	0	0	2	12	0	7	516
"76"	37	225	74	""	3	84	14	276	1	1	1	2	0	2	1	2	3	0	2	0	392
"77"	37	225	75	""	32	37	8	229	2	5	3	3	0	0	1	5	4	3	3	6	341
"78"	37	225	76	""	66	16	55	248	4	3	0	4	1	1	1	9	10	3	5	15	441
"79"	37	225	77	""	73	30	183	178	3	1	0	2	1	0	2	6	3	4	2	8	496
"80"	37	225	78	""	3	7	103	103	0	0	0	0	1	0	0	0	0	0	0	1	218
"81"	37	225	79	""	2	8	214	3	1	1	1	0	0	0	0	0	0	2	0	1	233
"82"	37	225	80	""	35	5	69	456	4	1	1	1	1	0	1	8	0	0	0	3	585
"83"	37	225	81	""	37	24	71	143	7	4	5	3	1	2	1	7	12	4	10	8	339
"84"	37	225	82	""	28	43	30	33	0	1	2	28	0	1	0	6	4	3	6	0	185
"85"	37	225	83	""	0	0	5	169	1	1	2	0	0	0	0	0	0	0	1	0	179
"86"	37	225	84	""	63	18	48	427	6	7	11	1	0	2	4	13	2	1	2	0	605
"87"	37	225	85	""	8	5	27	188	3	0	2	2	0	0	4	14	4	4	1	3	265
"88"	37	225	86	""	5	15	23	93	1	1	5	0	1	0	0	1	2	0	0	1	148
"89"	37	225	87	""	75	5	128	154	11	6	2	13	3	2	2	3	2	5	2	16	429
"90"	37	225	88	""	43	15	189	59	3	2	0	1	4	1	0	0	5	2	0	1	325
"91"	37	225	89	""	21	14	147	341	6	5	0	4	0	1	0	6	1	3	1	2	552
"92"	37	225	90	""	20	8	170	21	0	0	0	0	0	0	0	1	0	0	0	0	220
"93"	37	225	91	""	12	18	226	53	4	2	4	1	2	1	2	3	1	1	2	1	333
"94"	37	225	92	""	24	28	74	102	2	1	3	3	0	0	0	4	6	6	0	4	257
"95"	37	225	93	""	37	47	59	237	2	2	1	24	4	2	1	4	5	2	4	6	437
"96"	37	225	94	""	161	15	23	94	3	0	1	4	1	1	1	3	0	0	2	3	312
"97"	37	225	95	""	21	5	149	88	2	1	4	15	7	1	0	4	1	3	1	8	310
"98"	37	225	96	""	44	1	205	168	0	1	2	28	0	0	0	1	2	0	1	0	453
"99"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	37	225	97	""	1	67	120	209	1	0	0	1	0	0	0	0	0	0	0	0	399
"101"	37	225	98	""	15	11	226	117	2	1	0	1	0	0	2	1	1	0	3	0	380
"102"	37	225	99	""	29	13	150	139	3	2	2	1	1	0	0	5	3	5	1	5	359
"103"	37	225	100	""	91	4	178	196	3	0	5	0	2	0	1	3	5	1	1	3	493
"104"	37	225	101	""	9	19	122	176	2	1	0	0	0	2	0	1	1	5	5	2	345
"105"	37	225	102	""	75	16	108	123	1	5	0	3	3	2	1	3	3	3	1	5	352
"106"	37	225	103	""	40	22	69	146	5	3	1	3	3	1	2	4	1	1	3	5	309
"107"	37	225	104	""	84	14	165	200	0	0	0	2	1	0	1	2	0	1	0	2	472
"108"	37	225	105	""	6	8	61	97	2	2	1	2	1	0	0	7	2	2	2	1	194
"109"	37	225	106	""	18	25	6	161	3	1	0	2	0	0	0	1	2	0	0	0	219
"110"	37	225	107	""	1	11	3	308	3	1	0	0	0	0	1	5	1	0	0	1	335
"111"	37	225	108	""	7	53	64	163	0	3	1	1	2	0	1	4	2	4	2	2	309
"112"	37	225	109	""	0	196	71	102	1	1	0	3	0	0	0	0	2	0	2	3	381
"113"	37	225	110	""	1	36	180	102	2	0	0	1	0	0	0	2	2	4	1	0	331
"114"	37	225	111	""	101	4	201	3	0	0	0	0	0	0	0	0	0	1	0	2	312
"115"	37	225	112	""	98	47	161	9	0	0	1	0	0	0	1	0	0	2	0	0	319
"116"	37	225	113	""	10	8	358	35	1	0	0	1	0	0	0	0	0	0	0	0	413
"117"	37	225	114	""	58	11	380	47	3	0	0	0	0	0	0	0	0	2	2	2	505
"118"	37	225	115	""	26	62	156	59	1	1	2	2	0	0	0	2	2	0	0	2	315
"119"	37	225	116	""	77	6	47	167	3	5	6	1	0	0	1	2	1	1	0	1	318
"120"	37	225	117	""	3	18	314	83	1	1	0	0	0	1	0	0	0	0	0	0	421
"121"	37	225	118	""	23	26	163	83	3	1	2	1	1	0	2	1	3	1	4	5	319
"122"	37	225	119	""	27	108	311	83	1	0	0	0	0	0	1	0	0	0	0	0	531
"123"	37	225	120	""	97	4	86	76	0	0	0	2	0	1	0	4	1	1	2	1	275
"124"	37	225	121	""	13	18	152	232	3	2	1	4	1	2	2	5	13	6	10	10	474
"125"	37	225	122	""	7	52	27	297	1	0	0	0	0	0	0	3	0	0	0	1	388
"126"	37	225	123	""	11	1	52	201	2	2	0	0	0	0	0	5	2	0	1	4	281
"127"	37	225	124	""	15	13	138	164	3	3	4	1	2	0	1	4	6	3	4	7	368
"128"	37	225	125	""	26	9	163	138	3	7	3	3	1	3	3	4	5	3	1	11	383
"129"	37	225	126	""	53	22	44	128	2	4	1	0	0	0	0	5	0	1	1	6	267
"130"	37	225	127	""	3	7	422	9	0	0	1	0	0	0	0	0	0	1	1	0	444
"131"	37	225	128	""	0	12	4	371	1	2	0	0	0	0	0	0	0	0	0	0	390
"132"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	37	225	129	""	20	14	219	19	1	0	0	7	0	0	0	1	1	2	0	0	284
"134"	37	225	130	""	0	16	1	338	0	0	0	0	0	0	0	0	0	0	0	0	355
"135"	37	225	131	""	47	8	23	229	1	1	0	3	1	0	3	1	1	0	3	10	331
"136"	37	225	132	""	19	1	24	219	0	1	0	0	0	0	0	2	2	1	0	1	270
"137"	37	225	133	""	2	596	25	110	1	1	0	0	1	0	0	0	0	0	0	0	736
"138"	37	225	134	""	51	203	13	93	1	6	1	0	1	0	0	0	0	0	0	1	370
"139"	37	225	135	""	0	10	4	274	0	1	0	0	0	0	0	0	1	0	0	0	290
"140"	37	225	136	""	3	11	9	239	3	1	1	1	1	1	1	0	1	1	1	4	278
"141"	37	225	137	""	3	12	195	37	1	0	0	0	0	0	0	1	0	2	0	0	251
"142"	37	225	138	""	1	35	430	43	1	3	0	2	1	1	1	1	1	1	0	3	524
"143"	37	225	139	""	16	6	37	52	2	1	1	0	0	1	2	1	0	0	1	1	121
"144"	37	225	140	""	7	1	789	4	0	0	0	0	0	0	0	0	0	0	0	0	801
"145"	37	225	141	""	5	21	216	70	1	0	0	1	0	0	0	0	0	1	0	0	315
"146"	37	225	142	""	8	8	137	104	4	2	1	2	3	3	6	4	10	10	2	8	312
"147"	37	225	143	""	23	7	75	77	5	6	1	3	3	1	1	7	4	4	5	10	232
"148"	37	225	144	""	7	13	206	135	5	2	1	1	1	1	3	7	5	10	2	3	402
"149"	37	225	145	""	6	4	106	57	2	1	3	0	0	2	0	2	2	6	4	2	197
"150"	37	225	146	""	47	4	179	13	0	1	0	0	0	0	0	0	3	2	2	1	252
"151"	37	225	147	""	22	149	76	161	5	5	2	5	4	2	0	6	7	5	0	3	452
"152"	37	225	148	""	8	116	17	55	1	0	0	0	1	0	1	4	3	1	0	1	208
"153"	37	225	149	""	1	20	214	7	2	0	0	0	0	0	0	1	0	0	0	0	245
"154"	37	225	150	""	1	22	161	33	5	2	2	1	1	1	2	1	2	8	4	8	254
"155"	37	225	151	""	4	71	190	21	1	4	2	1	4	0	0	3	1	3	3	9	317
